vars,sitename,X,Y
SAL,DWER_CSMWQ_6142837_Profile_1663,115.762013,-32.163896
SAL,DWER_CSMWQ_6142842_Profile_1681,115.755220,-32.153402
SAL,DWER_CSMWQ_6142843_Profile_1695,115.752674,-32.155803
SAL,DWER_CSMWQ_6142970_Fixed_1714,115.693841,-32.154551
SAL,DWER_CSMWQ_6142970_Floating_1715,115.693841,-32.154551
SAL,DWER_CSMWQ_6142970_Integrated_1716,115.693841,-32.154551
SAL,DWER_CSMWQ_6142970_Profile_1717,115.693841,-32.154551
SAL,DWER_CSMWQ_6142971_Fixed_1748,115.720158,-32.152366
SAL,DWER_CSMWQ_6142971_Floating_1749,115.720158,-32.152366
SAL,DWER_CSMWQ_6142971_Integrated_1750,115.720158,-32.152366
SAL,DWER_CSMWQ_6142971_Profile_1751,115.720158,-32.152366
SAL,DWER_CSMWQ_6142972_Fixed_1789,115.756724,-32.146480
SAL,DWER_CSMWQ_6142972_Floating_1790,115.756724,-32.146480
SAL,DWER_CSMWQ_6142972_Integrated_1791,115.756724,-32.146480
SAL,DWER_CSMWQ_6142972_Profile_1792,115.756724,-32.146480
SAL,DWER_CSMWQ_6142973_Fixed_1827,115.762483,-32.170703
SAL,DWER_CSMWQ_6142973_Floating_1828,115.762483,-32.170703
SAL,DWER_CSMWQ_6142973_Integrated_1829,115.762483,-32.170703
SAL,DWER_CSMWQ_6142973_Profile_1830,115.762483,-32.170703
SAL,DWER_CSMWQ_6142974_Fixed_1870,115.719833,-32.197565
SAL,DWER_CSMWQ_6142974_Floating_1871,115.719833,-32.197565
SAL,DWER_CSMWQ_6142974_Integrated_1872,115.719833,-32.197565
SAL,DWER_CSMWQ_6142974_Profile_1873,115.719833,-32.197565
SAL,DWER_CSMWQ_6142975_Fixed_1906,115.759566,-32.209851
SAL,DWER_CSMWQ_6142975_Floating_1907,115.759566,-32.209851
SAL,DWER_CSMWQ_6142975_Integrated_1908,115.759566,-32.209851
SAL,DWER_CSMWQ_6142975_Profile_1909,115.759566,-32.209851
SAL,DWER_CSMWQ_6142976_Fixed_1943,115.751412,-32.238934
SAL,DWER_CSMWQ_6142976_Floating_1944,115.751412,-32.238934
SAL,DWER_CSMWQ_6142976_Integrated_1945,115.751412,-32.238934
SAL,DWER_CSMWQ_6142976_Profile_1946,115.751412,-32.238934
SAL,DWER_CSMWQ_6142977_Fixed_1979,115.740864,-32.256500
SAL,DWER_CSMWQ_6142977_Floating_1980,115.740864,-32.256500
SAL,DWER_CSMWQ_6142977_Integrated_1981,115.740864,-32.256500
SAL,DWER_CSMWQ_6142977_Profile_1982,115.740864,-32.256500
SAL,DWER_CSMWQ_6142978_Fixed_2015,115.714178,-32.262401
SAL,DWER_CSMWQ_6142978_Floating_2016,115.714178,-32.262401
SAL,DWER_CSMWQ_6142978_Integrated_2017,115.714178,-32.262401
SAL,DWER_CSMWQ_6142978_Profile_2018,115.714178,-32.262401
SAL,DWER_CSMWQ_6142979_Fixed_2047,115.684285,-32.254165
SAL,DWER_CSMWQ_6142979_Floating_2048,115.684285,-32.254165
SAL,DWER_CSMWQ_6142979_Integrated_2049,115.684285,-32.254165
SAL,DWER_CSMWQ_6142979_Profile_2050,115.684285,-32.254165
SAL,DWER_CSMWQ_6142980_Fixed_2079,115.697969,-32.229518
SAL,DWER_CSMWQ_6142980_Floating_2080,115.697969,-32.229518
SAL,DWER_CSMWQ_6142980_Integrated_2081,115.697969,-32.229518
SAL,DWER_CSMWQ_6142980_Profile_2082,115.697969,-32.229518
SAL,DWER_CSMWQ_6142981_Integrated_2109,115.684831,-32.198595
