vars,sitename,X,Y
SAL,IMOS_amnmadcp_NRSROT_PROFILE_Fixed_2,115.400000,-32.000000
SAL,IMOS_amnmadcp_WACA20_PROFILE_Fixed_5,115.227600,-31.983300
SAL,IMOS_amnmprofile_NRSROT_PROFILE_Profile_11,115.400000,-32.000000
SAL,IMOS_BGC_NRSROT_BGC_Profile_61,115.416700,-32.000000
TEMP,IMOS_amnmadcp_NRSROT_PROFILE_Fixed_3,115.400000,-32.000000
TEMP,IMOS_amnmadcp_WACA20_PROFILE_Fixed_6,115.227600,-31.983300
TEMP,IMOS_amnmprofile_NRSROT_PROFILE_Profile_13,115.400000,-32.000000
TEMP,IMOS_SRS_L3S_IMOS_SRS_L3S_CS_Outer_10_16_Floating_69,115.449997,-31.709999
TEMP,IMOS_SRS_L3S_IMOS_SRS_L3S_CS_Outer_10_17_Floating_70,115.449997,-31.730000
TEMP,IMOS_SRS_L3S_IMOS_SRS_L3S_CS_Outer_10_18_Floating_71,115.449997,-31.750000
TEMP,IMOS_SRS_L3S_IMOS_SRS_L3S_CS_Outer_10_19_Floating_72,115.449997,-31.770000
TEMP,IMOS_SRS_L3S_IMOS_SRS_L3S_CS_Outer_10_20_Floating_73,115.449997,-31.790001
TEMP,IMOS_SRS_L3S_IMOS_SRS_L3S_CS_Outer_10_21_Floating_74,115.449997,-31.809999
TEMP,IMOS_SRS_L3S_IMOS_SRS_L3S_CS_Outer_10_22_Floating_75,115.449997,-31.830000
TEMP,IMOS_SRS_L3S_IMOS_SRS_L3S_CS_Outer_10_23_Floating_76,115.449997,-31.850000
TEMP,IMOS_SRS_L3S_IMOS_SRS_L3S_CS_Outer_10_24_Floating_77,115.449997,-31.870001
TEMP,IMOS_SRS_L3S_IMOS_SRS_L3S_CS_Outer_10_25_Floating_78,115.449997,-31.889999
TEMP,IMOS_SRS_L3S_IMOS_SRS_L3S_CS_Outer_10_26_Floating_79,115.449997,-31.910000
TEMP,IMOS_SRS_L3S_IMOS_SRS_L3S_CS_Outer_10_27_Floating_80,115.449997,-31.930000
TEMP,IMOS_SRS_L3S_IMOS_SRS_L3S_CS_Outer_10_28_Floating_81,115.449997,-31.950001
