Date,Salinity Surface,Salinity Bottom,Salinity Mean,Temperature Surface,Temperature Bottom,Temperature Mean
01-01-2096 00:00:00,35.5215,35.4844,35.4962,23.5059,22.6309,23.1313
01-01-2096 03:00:00,35.5254,35.4834,35.4963,23.9678,22.6533,23.2640
01-01-2096 06:00:00,35.5273,35.4824,35.4983,24.2275,22.6836,23.4442
01-01-2096 09:00:00,35.5303,35.4814,35.5004,24.3115,22.7158,23.5772
01-01-2096 12:00:00,35.5332,35.4805,35.5065,24.3545,22.7432,23.7456
01-01-2096 15:00:00,35.5342,35.4795,35.5092,24.3291,22.7764,23.7918
01-01-2096 18:00:00,35.5430,35.4775,35.5099,24.1260,22.8145,23.6250
01-01-2096 21:00:00,35.5566,35.4766,35.5136,23.9092,22.8428,23.4586
02-01-2096 00:00:00,35.5742,35.4756,35.5200,23.8740,22.8623,23.4263
02-01-2096 03:00:00,35.5830,35.4736,35.5234,23.9160,22.8750,23.4430
02-01-2096 06:00:00,35.5879,35.4717,35.5284,24.0059,22.8711,23.5146
02-01-2096 09:00:00,35.5811,35.4707,35.5333,24.1055,22.8730,23.6436
02-01-2096 12:00:00,35.5576,35.4697,35.5271,24.1279,22.9043,23.7559
02-01-2096 15:00:00,35.5488,35.4697,35.5247,24.1504,22.9551,23.8219
02-01-2096 18:00:00,35.5566,35.4707,35.5307,24.0986,23.0332,23.8214
02-01-2096 21:00:00,35.5713,35.4727,35.5339,24.0234,23.1611,23.7411
03-01-2096 00:00:00,35.5723,35.4736,35.5296,23.9629,23.2080,23.6893
03-01-2096 03:00:00,35.5771,35.4717,35.5296,24.0771,23.2148,23.7343
03-01-2096 06:00:00,35.5801,35.4707,35.5333,24.2490,23.2061,23.8341
03-01-2096 09:00:00,35.5693,35.4697,35.5395,24.3350,23.2715,24.0093
03-01-2096 12:00:00,35.5557,35.4736,35.5366,24.4590,23.3623,24.1234
03-01-2096 15:00:00,35.5586,35.4717,35.5361,24.4473,23.3818,24.1341
03-01-2096 18:00:00,35.5615,35.4707,35.5437,24.4766,23.4121,24.2205
03-01-2096 21:00:00,35.5654,35.4707,35.5455,24.4775,23.4424,24.2191
04-01-2096 00:00:00,35.5732,35.4697,35.5383,24.4355,23.4434,24.1406
04-01-2096 03:00:00,35.5771,35.4678,35.5346,24.6455,23.4443,24.1500
04-01-2096 06:00:00,35.5771,35.4668,35.5358,24.7432,23.4600,24.2313
04-01-2096 09:00:00,35.5693,35.4668,35.5407,24.8848,23.4863,24.3833
