Date,Salinity Surface,Salinity Bottom,Salinity Mean,Temperature Surface,Temperature Bottom,Temperature Mean
01-01-2022 00:00:00,34.7598,35.2744,35.1155,7.4131,24.8604,18.2402
01-01-2022 03:00:00,34.7588,35.2764,35.1183,7.3760,24.9238,18.2436
01-01-2022 06:00:00,34.7568,35.2783,35.1198,7.3828,25.0410,18.2336
01-01-2022 09:00:00,34.7549,35.2783,35.1177,7.3994,25.0898,18.2217
01-01-2022 12:00:00,34.7520,35.2773,35.1144,7.4355,25.0410,18.2190
01-01-2022 15:00:00,34.7480,35.2773,35.1146,7.4863,25.0117,18.2690
01-01-2022 18:00:00,34.7471,35.2773,35.1173,7.4834,24.9844,18.2969
01-01-2022 21:00:00,34.7471,35.2783,35.1170,7.4502,24.9824,18.2728
02-01-2022 00:00:00,34.7461,35.2793,35.1160,7.4316,24.9844,18.2554
02-01-2022 03:00:00,34.7461,35.2812,35.1148,7.4268,25.0576,18.2742
02-01-2022 06:00:00,34.7441,35.2832,35.1141,7.4404,25.1992,18.2846
02-01-2022 09:00:00,34.7432,35.2842,35.1123,7.4502,25.2207,18.2307
02-01-2022 12:00:00,34.7412,35.2861,35.1115,7.4648,25.1641,18.2071
02-01-2022 15:00:00,34.7402,35.2861,35.1114,7.4688,25.1201,18.2459
02-01-2022 18:00:00,34.7393,35.2881,35.1134,7.4746,25.1133,18.3198
02-01-2022 21:00:00,34.7383,35.2871,35.1125,7.4678,25.1035,18.3066
03-01-2022 00:00:00,34.7373,35.2861,35.1112,7.4561,25.0869,18.2489
03-01-2022 03:00:00,34.7354,35.2871,35.1100,7.4795,25.1514,18.2723
03-01-2022 06:00:00,34.7334,35.2881,35.1104,7.4922,25.2695,18.3100
03-01-2022 09:00:00,34.7314,35.2900,35.1080,7.4961,25.3008,18.2835
03-01-2022 12:00:00,34.7295,35.2900,35.1070,7.4902,25.2891,18.2362
03-01-2022 15:00:00,34.7275,35.2861,35.1061,7.4814,25.2354,18.2340
03-01-2022 18:00:00,34.7266,35.2842,35.1084,7.4326,25.1924,18.3012
03-01-2022 21:00:00,34.7246,35.2842,35.1079,7.4033,25.1543,18.3004
04-01-2022 00:00:00,34.7227,35.2852,35.1081,7.4092,25.1162,18.2592
04-01-2022 03:00:00,34.7197,35.2881,35.1106,7.4463,25.1846,18.2620
04-01-2022 06:00:00,34.7168,35.2900,35.1137,7.4473,25.2871,18.2863
04-01-2022 09:00:00,34.7148,35.2920,35.1154,7.4150,25.3232,18.2818
04-01-2022 12:00:00,34.7119,35.2959,35.1204,7.3887,25.3096,18.2516
04-01-2022 15:00:00,34.7100,35.2930,35.1284,7.3965,25.2119,18.2785
04-01-2022 18:00:00,34.7090,35.2920,35.1329,7.3945,25.1865,18.3481
04-01-2022 21:00:00,34.7080,35.2920,35.1343,7.3604,25.1797,18.3607
05-01-2022 00:00:00,34.7070,35.2920,35.1274,7.3281,25.1807,18.3008
05-01-2022 03:00:00,34.7051,35.2920,35.1203,7.3262,25.2637,18.2533
05-01-2022 06:00:00,34.7041,35.2930,35.1198,7.3613,25.4404,18.2986
05-01-2022 09:00:00,34.7021,35.2930,35.1193,7.3906,25.5449,18.3031
05-01-2022 12:00:00,34.7012,35.2930,35.1169,7.3672,25.5381,18.2577
05-01-2022 15:00:00,34.6992,35.2910,35.1157,7.3320,25.4922,18.2362
05-01-2022 18:00:00,34.6982,35.2910,35.1197,7.3408,25.4707,18.3295
05-01-2022 21:00:00,34.6973,35.2939,35.1229,7.3496,25.4824,18.3668
06-01-2022 00:00:00,34.6963,35.2949,35.1211,7.3271,25.4834,18.3034
06-01-2022 03:00:00,34.6953,35.2949,35.1189,7.3018,25.6289,18.2753
06-01-2022 06:00:00,34.6943,35.2949,35.1203,7.3135,25.8672,18.3603
06-01-2022 09:00:00,34.6934,35.2949,35.1186,7.3438,26.0381,18.3950
06-01-2022 12:00:00,34.6924,35.2939,35.1134,7.3535,26.0449,18.3201
06-01-2022 15:00:00,34.6914,35.2949,35.1094,7.3467,26.0322,18.2872
06-01-2022 18:00:00,34.6904,35.2959,35.1112,7.3389,26.0742,18.3832
06-01-2022 21:00:00,34.6895,35.2969,35.1149,7.3320,26.0381,18.4644
07-01-2022 00:00:00,34.6895,35.2969,35.1127,7.3076,26.0137,18.3865
07-01-2022 03:00:00,34.6885,35.2959,35.1088,7.2998,26.1338,18.3415
07-01-2022 06:00:00,34.6875,35.2949,35.1096,7.3047,26.3164,18.4283
07-01-2022 09:00:00,34.6855,35.2949,35.1112,7.3271,26.3828,18.4887
07-01-2022 12:00:00,34.6855,35.2949,35.1086,7.3350,26.3457,18.4392
07-01-2022 15:00:00,34.6846,35.2939,35.1066,7.3408,26.1553,18.3963
07-01-2022 18:00:00,34.6846,35.2959,35.1087,7.3193,26.1396,18.4526
07-01-2022 21:00:00,34.6836,35.3008,35.1129,7.3076,26.0635,18.4872
08-01-2022 00:00:00,34.6836,35.3037,35.1129,7.3018,26.0088,18.4337
08-01-2022 03:00:00,34.6826,35.3047,35.1134,7.2920,26.0605,18.3977
08-01-2022 06:00:00,34.6826,35.3057,35.1133,7.2578,26.1699,18.4262
08-01-2022 09:00:00,34.6816,35.3057,35.1166,7.2490,26.1592,18.4862
08-01-2022 12:00:00,34.6807,35.3076,35.1164,7.2842,26.0605,18.4789
