Site,Date,TSS
CS9,30/01/2013,
CS9,4/02/2013,
CS9,11/02/2013,
CS9,18/02/2013,
CS9,25/02/2013,
CS9,4/03/2013,
CS9,11/03/2013,
CS9,18/03/2013,
CS9,25/03/2013,
CS10,3/12/2012,
CS10,10/12/2012,
CS10,17/12/2012,
CS10,24/12/2012,
CS10,7/01/2013,
CS10,13/01/2013,
CS10,21/01/2013,
CS10,30/01/2013,
CS10,4/02/2013,
CS10,11/02/2013,
CS10,18/02/2013,
CS10,25/02/2013,
CS10,4/03/2013,
CS10,11/03/2013,
CS10,18/03/2013,
CS10,25/03/2013,
CS11,3/12/2012,
CS11,10/12/2012,
CS11,17/12/2012,
CS11,24/12/2012,
CS11,7/01/2013,
CS11,13/01/2013,
CS11,21/01/2013,
CS11,30/01/2013,
CS11,4/02/2013,1.8
CS11,11/02/2013,1.7
CS11,18/02/2013,2.0
CS11,25/02/2013,1.8
CS11,4/03/2013,2.1
CS11,11/03/2013,1.6
CS11,18/03/2013,1.5
CS11,25/03/2013,1.6
CS12,3/12/2012,
CS12,10/12/2012,
CS12,17/12/2012,
CS12,24/12/2012,
CS12,7/01/2013,
CS12,13/01/2013,
CS12,21/01/2013,
CS12,30/01/2013,
CS12,4/02/2013,
CS12,11/02/2013,
CS12,18/02/2013,
CS12,25/02/2013,
CS12,4/03/2013,
CS12,11/03/2013,
CS12,18/03/2013,
CS12,25/03/2013,
CS13,3/12/2012,
CS13,10/12/2012,
CS13,17/12/2012,
CS13,24/12/2012,
CS13,7/01/2013,
CS13,13/01/2013,
CS13,21/01/2013,
CS13,30/01/2013,
CS13,4/02/2013,
CS13,11/02/2013,
CS13,18/02/2013,
CS13,25/02/2013,
CS13,4/03/2013,
CS13,11/03/2013,
CS13,18/03/2013,
CS13,25/03/2013,
CS13,17/04/2013,
CS13-Bot,3/12/2012,
CS13-Bot,10/12/2012,
CS13-Bot,17/12/2012,
CS13-Bot,24/12/2012,
CS13-Bot,7/01/2013,
CS13-Bot,13/01/2013,
CS13-Bot,21/01/2013,
CS13-Bot,30/01/2013,
CS13-Bot,4/02/2013,
CS13-Bot,11/02/2013,
CS13-Bot,18/02/2013,
CS13-Bot,25/02/2013,
CS13-Bot,4/03/2013,
CS13-Bot,11/03/2013,
CS13-Bot,18/03/2013,
CS13-Bot,25/03/2013,
CS13-Bot,17/04/2013,
CS13-Top,3/12/2012,
CS13-Top,10/12/2012,
CS13-Top,17/12/2012,
CS13-Top,24/12/2012,
CS13-Top,7/01/2013,
CS13-Top,13/01/2013,
CS13-Top,21/01/2013,
CS13-Top,30/01/2013,
CS13-Top,4/02/2013,
CS13-Top,11/02/2013,
CS13-Top,18/02/2013,
CS13-Top,25/02/2013,
CS13-Top,4/03/2013,
CS13-Top,11/03/2013,
CS13-Top,18/03/2013,
CS13-Top,25/03/2013,
CS13-Top,17/04/2013,
CS9A,3/12/2012,
CS9A,10/12/2012,
CS9A,17/12/2012,
CS9A,24/12/2012,
CS9A,7/01/2013,
CS9A,13/01/2013,
CS9A,21/01/2013,
CS9A,30/01/2013,
CS9A,4/02/2013,
CS9A,11/02/2013,
CS9A,18/02/2013,
CS9A,25/02/2013,
CS9A,4/03/2013,
CS9A,11/03/2013,
CS9A,18/03/2013,
CS9A,25/03/2013,
CSCB,3/12/2012,
CSCB,10/12/2012,
CSCB,17/12/2012,
CSCB,24/12/2012,
CSCB,7/01/2013,
CSCB,13/01/2013,
CSCB,21/01/2013,
CSCB,30/01/2013,
CSCB,4/02/2013,
CSCB,11/02/2013,
CSCB,18/02/2013,
CSCB,25/02/2013,
CSCB,4/03/2013,
CSCB,11/03/2013,
CSCB,18/03/2013,
CSCB,25/03/2013,
CSG1,3/12/2012,
CSG1,10/12/2012,
CSG1,17/12/2012,
CSG1,24/12/2012,
CSG1,7/01/2013,
CSG1,13/01/2013,
CSG1,21/01/2013,
CSG1,30/01/2013,
CSG1,4/02/2013,
CSG1,11/02/2013,
CSG1,18/02/2013,
CSG1,25/02/2013,
CSG1,4/03/2013,
CSG1,11/03/2013,
CSG1,18/03/2013,
CSG1,25/03/2013,
CSG2,3/12/2012,
CSG2,10/12/2012,
CSG2,17/12/2012,
CSG2,24/12/2012,
CSG2,7/01/2013,
CSG2,13/01/2013,
CSG2,21/01/2013,
CSG2,30/01/2013,
CSG2,4/02/2013,
CSG2,11/02/2013,
CSG2,18/02/2013,
CSG2,25/02/2013,
CSG2,4/03/2013,
CSG2,11/03/2013,
CSG2,18/03/2013,
CSG2,25/03/2013,
CSG3,3/12/2012,
CSG3,10/12/2012,
CSG3,17/12/2012,
CSG3,24/12/2012,
CSG3,7/01/2013,
CSG3,13/01/2013,
CSG3,21/01/2013,
CSG3,30/01/2013,
CSG3,4/02/2013,
CSG3,11/02/2013,
CSG3,18/02/2013,
CSG3,25/02/2013,
CSG3,4/03/2013,
CSG3,11/03/2013,
CSG3,18/03/2013,
CSG3,25/03/2013,
CSSF,3/12/2012,
CSSF,10/12/2012,
CSSF,17/12/2012,
CSSF,24/12/2012,
CSSF,7/01/2013,
CSSF,13/01/2013,
CSSF,21/01/2013,
CSSF,30/01/2013,
CSSF,4/02/2013,
CSSF,11/02/2013,
CSSF,18/02/2013,
CSSF,25/02/2013,
CSSF,4/03/2013,
CSSF,11/03/2013,
CSSF,18/03/2013,
CSSF,25/03/2013,
MB,3/12/2012,
MB,10/12/2012,
