Site,Date,TSS
CS4,4/12/2014,
CS4,8/12/2014,
CS4,15/12/2014,
CS4,22/12/2014,
CS4,5/01/2015,
CS4,12/01/2015,
CS4,19/01/2015,
CS4,27/01/2015,
CS4,2/02/2015,
CS4,9/02/2015,
CS4,16/02/2015,
CS4,23/02/2015,
CS4,2/03/2015,
CS4,9/03/2015,
CS4,16/03/2015,
CS4,23/03/2015,
CS5,4/12/2014,
CS5,8/12/2014,
CS5,15/12/2014,
CS5,22/12/2014,
CS5,5/01/2015,
CS5,12/01/2015,
CS5,19/01/2015,
CS5,27/01/2015,
CS5,2/02/2015,
CS5,9/02/2015,
CS5,16/02/2015,
CS5,23/02/2015,
CS5,2/03/2015,
CS5,9/03/2015,
CS5,16/03/2015,
CS5,23/03/2015,
CS6A,4/12/2014,1.6
CS6A,8/12/2014,2.1
CS6A,15/12/2014,1.9
CS6A,22/12/2014,1.2
CS6A,5/01/2015,1.6
CS6A,12/01/2015,1.9
CS6A,19/01/2015,1.1
CS6A,27/01/2015,1.2
CS6A,2/02/2015,1.9
CS6A,9/02/2015,1.0
CS6A,16/02/2015,1.8
CS6A,23/02/2015,1.6
CS6A,2/03/2015,1.9
CS6A,9/03/2015,1.4
CS6A,16/03/2015,1.5
CS6A,23/03/2015,3.0
CS7,4/12/2014,1.0
CS7,8/12/2014,2.7
CS7,15/12/2014,1.5
CS7,22/12/2014,0.9
CS7,5/01/2015,0.9
CS7,12/01/2015,1.4
CS7,19/01/2015,1.9
CS7,27/01/2015,0.8
CS7,2/02/2015,2.4
CS7,9/02/2015,1.3
CS7,16/02/2015,1.5
CS7,23/02/2015,1.2
CS7,2/03/2015,1.5
CS7,9/03/2015,3.0
CS7,16/03/2015,1.1
CS7,23/03/2015,2.2
CS8,4/12/2014,
CS8,8/12/2014,
CS8,15/12/2014,
CS8,22/12/2014,
CS8,5/01/2015,
CS8,12/01/2015,
CS8,19/01/2015,
CS8,27/01/2015,
CS8,2/02/2015,
CS8,9/02/2015,
CS8,16/02/2015,
CS8,23/02/2015,
CS8,2/03/2015,
CS8,9/03/2015,
CS8,16/03/2015,
CS8,23/03/2015,
CS9,4/12/2014,
CS9,8/12/2014,
CS9,15/12/2014,
CS9,22/12/2014,
CS9,5/01/2015,
CS9,12/01/2015,
CS9,19/01/2015,
CS9,27/01/2015,
CS9,2/02/2015,
CS9,9/02/2015,
CS9,16/02/2015,
CS9,23/02/2015,
CS9,2/03/2015,
CS9,9/03/2015,
CS9,16/03/2015,
CS9,23/03/2015,
CS10,4/12/2014,
CS10,8/12/2014,
CS10,15/12/2014,
CS10,22/12/2014,
CS10,5/01/2015,
CS10,12/01/2015,
CS10,19/01/2015,
CS10,27/01/2015,
CS10,2/02/2015,
CS10,9/02/2015,
CS10,16/02/2015,
CS10,23/02/2015,
CS10,2/03/2015,
CS10,9/03/2015,
CS10,16/03/2015,
CS10,23/03/2015,
CS11,4/12/2014,1.1
CS11,8/12/2014,2.3
CS11,15/12/2014,2.1
CS11,22/12/2014,1.7
CS11,5/01/2015,1.3
CS11,12/01/2015,2.0
CS11,19/01/2015,1.2
CS11,27/01/2015,1.0
CS11,2/02/2015,1.7
CS11,9/02/2015,2.4
CS11,16/02/2015,1.0
CS11,23/02/2015,1.9
CS11,2/03/2015,1.2
CS11,9/03/2015,2.4
CS11,16/03/2015,1.9
CS11,23/03/2015,2.4
CS12,4/12/2014,
CS12,8/12/2014,
CS12,15/12/2014,
CS12,22/12/2014,
CS12,5/01/2015,
CS12,12/01/2015,
CS12,19/01/2015,
CS12,27/01/2015,
CS12,2/02/2015,
CS12,9/02/2015,
CS12,16/02/2015,
CS12,23/02/2015,
CS12,2/03/2015,
CS12,9/03/2015,
CS12,16/03/2015,
CS12,23/03/2015,
CS13,4/12/2014,
CS13,8/12/2014,
CS13,15/12/2014,
CS13,22/12/2014,
CS13,5/01/2015,
CS13,12/01/2015,
CS13,19/01/2015,
CS13,27/01/2015,
CS13,2/02/2015,
CS13,9/02/2015,
CS13,16/02/2015,
CS13,23/02/2015,
CS13,2/03/2015,
CS13,9/03/2015,
CS13,16/03/2015,
CS13,23/03/2015,
CS13-Bot,4/12/2014,
CS13-Bot,8/12/2014,
CS13-Bot,15/12/2014,
CS13-Bot,22/12/2014,
CS13-Bot,5/01/2015,
CS13-Bot,12/01/2015,
CS13-Bot,19/01/2015,
CS13-Bot,27/01/2015,
CS13-Bot,2/02/2015,
CS13-Bot,9/02/2015,
CS13-Bot,16/02/2015,
CS13-Bot,23/02/2015,
CS13-Bot,2/03/2015,
CS13-Bot,9/03/2015,
CS13-Bot,16/03/2015,
CS13-Bot,23/03/2015,
CS13-Top,4/12/2014,
CS13-Top,8/12/2014,
CS13-Top,15/12/2014,
CS13-Top,22/12/2014,
CS13-Top,5/01/2015,
CS13-Top,12/01/2015,
CS13-Top,19/01/2015,
CS13-Top,27/01/2015,
CS13-Top,2/02/2015,
CS13-Top,9/02/2015,
CS13-Top,16/02/2015,
CS13-Top,23/02/2015,
CS13-Top,2/03/2015,
CS13-Top,9/03/2015,
CS13-Top,16/03/2015,
CS13-Top,23/03/2015,
CS9A,4/12/2014,
CS9A,8/12/2014,
CS9A,15/12/2014,
CS9A,22/12/2014,
CS9A,5/01/2015,
CS9A,12/01/2015,
CS9A,19/01/2015,
CS9A,27/01/2015,
CS9A,2/02/2015,
CS9A,9/02/2015,
CS9A,16/02/2015,
CS9A,23/02/2015,
CS9A,2/03/2015,
CS9A,9/03/2015,
CS9A,16/03/2015,
CS9A,23/03/2015,
CSCB,4/12/2014,
CSCB,8/12/2014,
CSCB,15/12/2014,
CSCB,22/12/2014,
CSCB,5/01/2015,
CSCB,12/01/2015,
CSCB,19/01/2015,
CSCB,27/01/2015,
CSCB,2/02/2015,
CSCB,9/02/2015,
CSCB,16/02/2015,
CSCB,23/02/2015,
CSCB,2/03/2015,
CSCB,9/03/2015,
CSCB,16/03/2015,
