Date,SAL,TSS,DO,AMM,NIT,FRP,FRPADS,POC,DOC,PON,DON,POP,DOP,CHLA,ZEROS,ONES
01/01/1980 00:00:00,36.4000,0.8223,223.7280,0.0408,0.0841,0.0949,0.0095,14.1685,14.1685,2.1386,2.1386,0.1337,0.1337,1.5523,0,1
01/02/1980 00:00:00,37.2000,0.7128,221.4003,0.0240,0.0708,0.0670,0.0067,12.7517,12.7517,1.9248,1.9248,0.1203,0.1203,1.6385,0,1
01/03/1980 00:00:00,37.1000,0.7564,221.0906,0.0239,0.0596,0.0761,0.0076,13.2618,13.2618,2.0018,2.0018,0.1251,0.1251,1.8466,0,1
01/04/1980 00:00:00,36.6000,0.9436,223.2258,0.0382,0.0886,0.1000,0.0100,10.2013,10.2013,1.5398,1.5398,0.0962,0.0962,2.2674,0,1
01/05/1980 00:00:00,36.3000,1.4472,226.1130,0.0463,0.0985,0.0940,0.0094,18.4409,18.4409,2.7835,2.7835,0.1740,0.1740,2.4940,0,1
01/06/1980 00:00:00,35.7000,1.6596,232.4933,0.0510,0.1236,0.0910,0.0091,12.3874,12.3874,1.8698,1.8698,0.1169,0.1169,2.2609,0,1
01/07/1980 00:00:00,35.5000,2.0716,236.6552,0.0369,0.0785,0.0894,0.0089,22.3155,22.3155,3.3684,3.3684,0.2105,0.2105,2.3154,0,1
01/08/1980 00:00:00,35.4000,2.1613,240.8624,0.0297,0.0442,0.0917,0.0092,17.8524,17.8524,2.6947,2.6947,0.1684,0.1684,2.2203,0,1
01/09/1980 00:00:00,34.7000,2.0074,241.2515,0.0198,0.0407,0.0839,0.0084,20.4027,20.4027,3.0797,3.0797,0.1925,0.1925,2.8526,0,1
01/10/1980 00:00:00,34.6000,1.8823,240.4135,0.0222,0.0338,0.0896,0.0090,18.8725,18.8725,2.8487,2.8487,0.1780,0.1780,1.6442,0,1
01/11/1980 00:00:00,35.0000,1.4081,235.9911,0.0146,0.0339,0.0807,0.0081,13.9109,13.9109,2.0998,2.0998,0.1312,0.1312,1.4894,0,1
01/12/1980 00:00:00,35.5000,1.0061,228.5151,0.0207,0.0388,0.0851,0.0085,14.7353,14.7353,2.2242,2.2242,0.1390,0.1390,1.3303,0,1
01/01/1981 00:00:00,36.4000,0.8223,223.7280,0.0408,0.0841,0.0949,0.0095,14.1685,14.1685,2.1386,2.1386,0.1337,0.1337,1.5523,0,1
01/02/1981 00:00:00,37.2000,0.7128,221.4003,0.0240,0.0708,0.0670,0.0067,12.7517,12.7517,1.9248,1.9248,0.1203,0.1203,1.6385,0,1
01/03/1981 00:00:00,37.1000,0.7564,221.0906,0.0239,0.0596,0.0761,0.0076,13.2618,13.2618,2.0018,2.0018,0.1251,0.1251,1.8466,0,1
01/04/1981 00:00:00,36.6000,0.9436,223.2258,0.0382,0.0886,0.1000,0.0100,10.2013,10.2013,1.5398,1.5398,0.0962,0.0962,2.2674,0,1
01/05/1981 00:00:00,36.3000,1.4472,226.1130,0.0463,0.0985,0.0940,0.0094,18.4409,18.4409,2.7835,2.7835,0.1740,0.1740,2.4940,0,1
01/06/1981 00:00:00,35.7000,1.6596,232.4933,0.0510,0.1236,0.0910,0.0091,12.3874,12.3874,1.8698,1.8698,0.1169,0.1169,2.2609,0,1
01/07/1981 00:00:00,35.5000,2.0716,236.6552,0.0369,0.0785,0.0894,0.0089,22.3155,22.3155,3.3684,3.3684,0.2105,0.2105,2.3154,0,1
01/08/1981 00:00:00,35.4000,2.1613,240.8624,0.0297,0.0442,0.0917,0.0092,17.8524,17.8524,2.6947,2.6947,0.1684,0.1684,2.2203,0,1
01/09/1981 00:00:00,34.7000,2.0074,241.2515,0.0198,0.0407,0.0839,0.0084,20.4027,20.4027,3.0797,3.0797,0.1925,0.1925,2.8526,0,1
01/10/1981 00:00:00,34.6000,1.8823,240.4135,0.0222,0.0338,0.0896,0.0090,18.8725,18.8725,2.8487,2.8487,0.1780,0.1780,1.6442,0,1
01/11/1981 00:00:00,35.0000,1.4081,235.9911,0.0146,0.0339,0.0807,0.0081,13.9109,13.9109,2.0998,2.0998,0.1312,0.1312,1.4894,0,1
01/12/1981 00:00:00,35.5000,1.0061,228.5151,0.0207,0.0388,0.0851,0.0085,14.7353,14.7353,2.2242,2.2242,0.1390,0.1390,1.3303,0,1
01/01/1982 00:00:00,36.4000,0.8223,223.7280,0.0408,0.0841,0.0949,0.0095,14.1685,14.1685,2.1386,2.1386,0.1337,0.1337,1.5523,0,1
01/02/1982 00:00:00,37.2000,0.7128,221.4003,0.0240,0.0708,0.0670,0.0067,12.7517,12.7517,1.9248,1.9248,0.1203,0.1203,1.6385,0,1
01/03/1982 00:00:00,37.1000,0.7564,221.0906,0.0239,0.0596,0.0761,0.0076,13.2618,13.2618,2.0018,2.0018,0.1251,0.1251,1.8466,0,1
01/04/1982 00:00:00,36.6000,0.9436,223.2258,0.0382,0.0886,0.1000,0.0100,10.2013,10.2013,1.5398,1.5398,0.0962,0.0962,2.2674,0,1
01/05/1982 00:00:00,36.3000,1.4472,226.1130,0.0463,0.0985,0.0940,0.0094,18.4409,18.4409,2.7835,2.7835,0.1740,0.1740,2.4940,0,1
01/06/1982 00:00:00,35.7000,1.6596,232.4933,0.0510,0.1236,0.0910,0.0091,12.3874,12.3874,1.8698,1.8698,0.1169,0.1169,2.2609,0,1
01/07/1982 00:00:00,35.5000,2.0716,236.6552,0.0369,0.0785,0.0894,0.0089,22.3155,22.3155,3.3684,3.3684,0.2105,0.2105,2.3154,0,1
