Date,salinity,oxygen,ammonium,nitrate,phosphate,POC settling,PHY setting,DOC,DON,DOP
Unit,PSU,mmol/m3,mmol/m3,mmol/m3,mmol/m3,mmol/m2/d,mmol/m2/d,mmol/m3,mmol/m3,mmol/m3
2022-11-02 04:00:00,36.0037,237.6087,0.1514,0.0746,0.0602,-0.7002,-0.1733,115.8680,6.3076,0.3505
2022-11-02 08:00:00,36.0110,235.5940,0.1597,0.0776,0.0608,-0.7008,-0.1647,115.4949,6.3011,0.3501
2022-11-02 12:00:00,36.0139,234.6342,0.1680,0.0814,0.0613,-0.7004,-0.1598,115.0487,6.2903,0.3494
2022-11-02 16:00:00,36.0179,233.9070,0.1757,0.0867,0.0618,-0.6979,-0.1549,114.3751,6.2709,0.3479
2022-11-02 20:00:00,36.0615,232.8422,0.1826,0.0968,0.0621,-0.6910,-0.1515,112.9592,6.2333,0.3447
2022-11-03 00:00:00,36.0878,231.6766,0.1896,0.1061,0.0626,-0.6865,-0.1490,112.0071,6.2166,0.3429
2022-11-03 04:00:00,36.0977,228.8464,0.1974,0.1204,0.0630,-0.6814,-0.1332,111.1754,6.2293,0.3420
2022-11-03 08:00:00,36.1216,227.5828,0.2040,0.1438,0.0635,-0.6732,-0.1278,109.6407,6.2341,0.3393
2022-11-03 12:00:00,36.1708,225.6732,0.2099,0.1854,0.0640,-0.6612,-0.1219,107.5742,6.2828,0.3367
2022-11-03 16:00:00,36.2390,223.7843,0.2184,0.2079,0.0648,-0.6606,-0.1193,107.3439,6.3560,0.3382
2022-11-03 20:00:00,36.2652,222.8221,0.2271,0.2010,0.0653,-0.6669,-0.1210,108.0662,6.3629,0.3399
2022-11-04 00:00:00,36.2458,222.2454,0.2345,0.1919,0.0658,-0.6712,-0.1236,108.4401,6.3400,0.3403
2022-11-04 04:00:00,36.1791,221.9879,0.2397,0.1630,0.0664,-0.6822,-0.1191,109.9999,6.3181,0.3430
2022-11-04 08:00:00,36.1509,221.7367,0.2457,0.1465,0.0671,-0.6898,-0.1092,111.0686,6.3144,0.3449
2022-11-04 12:00:00,36.1603,221.1969,0.2528,0.1550,0.0675,-0.6864,-0.1050,110.3154,6.2931,0.3432
2022-11-04 16:00:00,36.1701,220.3766,0.2586,0.1658,0.0679,-0.6811,-0.1008,109.2974,6.2666,0.3410
2022-11-04 20:00:00,36.1769,219.4399,0.2629,0.1774,0.0681,-0.6746,-0.0974,108.0985,6.2386,0.3384
2022-11-05 00:00:00,36.1942,218.1942,0.2667,0.1938,0.0683,-0.6666,-0.0934,106.6609,6.2274,0.3354
2022-11-05 04:00:00,36.2255,217.1006,0.2735,0.2140,0.0688,-0.6640,-0.0920,106.0583,6.2738,0.3353
2022-11-05 08:00:00,36.2518,216.2551,0.2812,0.2375,0.0696,-0.6628,-0.0900,105.6573,6.3321,0.3357
2022-11-05 12:00:00,36.2658,215.4684,0.2876,0.2648,0.0702,-0.6582,-0.0870,104.7549,6.3764,0.3350
2022-11-05 16:00:00,36.2757,214.7941,0.2933,0.2864,0.0707,-0.6546,-0.0853,104.0121,6.4094,0.3343
2022-11-05 20:00:00,36.2849,214.1214,0.2990,0.3003,0.0711,-0.6540,-0.0869,103.6621,6.4376,0.3342
2022-11-06 00:00:00,36.2458,213.4719,0.3030,0.3121,0.0711,-0.6516,-0.0842,103.1008,6.4500,0.3329
2022-11-06 04:00:00,36.2451,213.1848,0.3083,0.3247,0.0714,-0.6524,-0.0839,102.9756,6.4882,0.3327
2022-11-06 08:00:00,36.2538,212.8783,0.3151,0.3468,0.0719,-0.6523,-0.0821,102.7287,6.5442,0.3325
2022-11-06 12:00:00,36.3019,212.1344,0.3242,0.4283,0.0725,-0.6498,-0.0815,102.1336,6.8219,0.3331
2022-11-06 16:00:00,36.3526,211.3797,0.3358,0.4876,0.0732,-0.6563,-0.0832,102.9611,7.1137,0.3365
2022-11-06 20:00:00,36.3426,211.0277,0.3422,0.4649,0.0736,-0.6696,-0.0882,104.7222,7.1283,0.3398
2022-11-07 00:00:00,36.2572,211.4864,0.3382,0.3892,0.0735,-0.6742,-0.0866,105.1806,6.8526,0.3382
2022-11-07 04:00:00,36.2484,211.7917,0.3407,0.3732,0.0740,-0.6803,-0.0852,105.9223,6.8294,0.3396
2022-11-07 08:00:00,36.2590,211.5591,0.3476,0.3918,0.0747,-0.6806,-0.0830,105.7814,6.8844,0.3401
2022-11-07 12:00:00,36.2609,211.2204,0.3540,0.4047,0.0753,-0.6805,-0.0805,105.5888,6.9120,0.3401
2022-11-07 16:00:00,36.2637,210.6616,0.3588,0.4298,0.0757,-0.6776,-0.0795,104.9829,6.9716,0.3394
2022-11-07 20:00:00,36.2686,210.0830,0.3619,0.4415,0.0759,-0.6752,-0.0822,104.4260,6.9908,0.3386
2022-11-08 00:00:00,36.2543,209.7254,0.3621,0.4368,0.0761,-0.6722,-0.0835,103.8339,6.9362,0.3373
2022-11-08 04:00:00,36.2408,209.7875,0.3591,0.4038,0.0761,-0.6757,-0.0780,104.2145,6.7965,0.3370
2022-11-08 08:00:00,36.2663,209.1339,0.3637,0.4945,0.0764,-0.6591,-0.0735,101.6244,7.0253,0.3339
2022-11-08 12:00:00,36.3083,208.4709,0.3713,0.5380,0.0773,-0.6585,-0.0725,101.3933,7.1933,0.3353
