Date,salinity,oxygen,ammonium,nitrate,phosphate,POC settling,PHY setting
Unit,PSU,mmol/m3,mmol/m3,mmol/m3,mmol/m3,mmol/m2/d,mmol/m2/d
2015-01-01 04:00:00,35.9999,235.5639,0.2047,0.0479,0.0629,-0.6950,0.0930
2015-01-01 08:00:00,35.9998,234.0985,0.2538,0.0455,0.0657,-0.6918,0.0914
2015-01-01 12:00:00,36.0000,232.4384,0.3019,0.0408,0.0686,-0.6877,0.0890
2015-01-01 16:00:00,36.0001,230.1815,0.3529,0.0281,0.0715,-0.6830,0.0844
2015-01-01 20:00:00,35.9999,228.3809,0.3938,0.0240,0.0741,-0.6779,0.0819
2015-01-02 00:00:00,36.0007,224.4175,0.4587,0.0063,0.0777,-0.6725,0.0760
2015-01-02 04:00:00,36.0152,224.1834,0.4637,0.0704,0.0791,-0.6660,0.0964
2015-01-02 08:00:00,36.0177,222.4415,0.5039,0.0734,0.0817,-0.6609,0.0962
2015-01-02 12:00:00,36.0201,220.9793,0.5335,0.0753,0.0840,-0.6558,0.0957
2015-01-02 16:00:00,36.0224,218.5831,0.5678,0.0665,0.0865,-0.6506,0.0924
2015-01-02 20:00:00,36.0262,217.6977,0.5868,0.0795,0.0884,-0.6455,0.0950
2015-01-03 00:00:00,36.0314,216.1573,0.6250,0.0879,0.0911,-0.6405,0.0959
2015-01-03 04:00:00,36.0356,214.8177,0.6640,0.0958,0.0937,-0.6357,0.0964
2015-01-03 08:00:00,36.0400,213.2892,0.6980,0.0995,0.0962,-0.6308,0.0959
2015-01-03 12:00:00,36.0443,210.1303,0.7302,0.0800,0.0985,-0.6260,0.0898
2015-01-03 16:00:00,36.0485,207.8955,0.7466,0.0694,0.1000,-0.6211,0.0876
2015-01-03 20:00:00,36.0527,207.0859,0.7740,0.0708,0.1022,-0.6166,0.0855
2015-01-04 00:00:00,36.0543,205.6710,0.8098,0.0699,0.1048,-0.6122,0.0829
2015-01-04 04:00:00,36.0562,204.1609,0.8464,0.0708,0.1073,-0.6076,0.0815
2015-01-04 08:00:00,36.0602,202.6440,0.8778,0.0679,0.1093,-0.6030,0.0801
2015-01-04 12:00:00,36.0626,197.1149,0.9371,0.0241,0.1114,-0.5987,0.0657
2015-01-04 16:00:00,36.0628,203.3014,0.8904,0.1069,0.1120,-0.5951,0.0833
2015-01-04 20:00:00,36.0629,201.6398,0.9192,0.1034,0.1143,-0.5909,0.0790
2015-01-05 00:00:00,36.0681,202.5760,0.9178,0.1204,0.1158,-0.5860,0.0828
2015-01-05 04:00:00,36.0722,202.6909,0.9368,0.1399,0.1177,-0.5818,0.0859
2015-01-05 08:00:00,36.0757,200.0189,0.9822,0.1252,0.1200,-0.5776,0.0804
2015-01-05 12:00:00,36.0775,195.9601,1.0373,0.0935,0.1224,-0.5736,0.0708
2015-01-05 16:00:00,36.0773,191.0757,1.1065,0.0591,0.1258,-0.5699,0.0591
2015-01-05 20:00:00,36.0743,194.2989,1.0892,0.1280,0.1273,-0.5664,0.0686
2015-01-06 00:00:00,36.0777,194.3628,1.1013,0.1458,0.1281,-0.5622,0.0703
2015-01-06 04:00:00,36.0795,192.3589,1.1365,0.1392,0.1297,-0.5578,0.0665
2015-01-06 08:00:00,36.0798,190.1556,1.1751,0.1362,0.1323,-0.5539,0.0626
2015-01-06 12:00:00,36.0766,186.8717,1.2210,0.1300,0.1363,-0.5508,0.0559
2015-01-06 16:00:00,36.0818,188.8820,1.1803,0.1490,0.1361,-0.5460,0.0592
2015-01-06 20:00:00,36.0891,189.6948,1.1611,0.1208,0.1297,-0.5408,0.0614
2015-01-07 00:00:00,36.0883,190.8118,1.1519,0.1125,0.1287,-0.5357,0.0606
2015-01-07 04:00:00,36.1001,196.6992,1.1264,0.2027,0.1343,-0.5329,0.0746
2015-01-07 08:00:00,36.1042,196.7013,1.1463,0.2113,0.1361,-0.5288,0.0743
2015-01-07 12:00:00,36.1078,195.5574,1.1655,0.2081,0.1384,-0.5242,0.0702
2015-01-07 16:00:00,36.1139,197.1624,1.1464,0.2141,0.1390,-0.5194,0.0691
2015-01-07 20:00:00,36.1217,198.3818,1.1452,0.2214,0.1402,-0.5151,0.0680
2015-01-08 00:00:00,36.1276,198.4801,1.1626,0.2313,0.1421,-0.5108,0.0686
2015-01-08 04:00:00,36.1001,196.5069,1.1773,0.1969,0.1410,-0.4986,0.0611
2015-01-08 08:00:00,36.1228,197.8621,1.1905,0.2241,0.1433,-0.4954,0.0645
2015-01-08 12:00:00,36.1221,197.9701,1.1934,0.2173,0.1435,-0.4881,0.0611
2015-01-08 16:00:00,36.1158,198.1372,1.1758,0.2111,0.1419,-0.4788,0.0589
2015-01-08 20:00:00,36.1084,198.4753,1.1523,0.2017,0.1389,-0.4657,0.0567
2015-01-09 00:00:00,36.1329,197.7971,1.1873,0.2400,0.1439,-0.4762,0.0582
2015-01-09 04:00:00,36.1393,198.5752,1.2066,0.2564,0.1456,-0.4717,0.0596
2015-01-09 08:00:00,36.1396,198.5855,1.2194,0.2608,0.1461,-0.4643,0.0589
2015-01-09 12:00:00,36.1389,198.4532,1.2297,0.2645,0.1465,-0.4541,0.0565
2015-01-09 16:00:00,36.1362,198.6198,1.2270,0.2620,0.1442,-0.4365,0.0542
2015-01-09 20:00:00,36.1154,200.3619,1.1942,0.2367,0.1330,-0.3907,0.0497
2015-01-10 00:00:00,36.1194,201.1603,1.1955,0.2683,0.1386,-0.4025,0.0521
2015-01-10 04:00:00,36.1234,201.0701,1.2144,0.2839,0.1413,-0.4025,0.0527
