Date,POC settling,PHY setting,DOC,DON,DOP
Unit,mmol/m2/d,mmol/m2/d,mmol/m3,mmol/m3,mmol/m3
2022-01-01 04:00:00,-0.6948,0.0993,11.9615,3.4958,0.1613
2022-01-01 08:00:00,-0.6913,0.0993,11.9325,3.5081,0.1614
2022-01-01 12:00:00,-0.6872,0.0952,11.9439,3.5467,0.1643
2022-01-01 16:00:00,-0.6822,0.0940,11.8729,3.7099,0.1661
2022-01-01 20:00:00,-0.6769,0.0982,11.7706,3.7059,0.1659
2022-01-02 00:00:00,-0.6718,0.0983,11.7929,3.6380,0.1648
2022-01-02 04:00:00,-0.6668,0.0979,11.7693,3.6519,0.1650
2022-01-02 08:00:00,-0.6619,0.0970,11.7331,3.6885,0.1656
2022-01-02 12:00:00,-0.6572,0.0918,11.7168,3.6656,0.1651
2022-01-02 16:00:00,-0.6526,0.0867,11.7118,3.4673,0.1613
2022-01-02 20:00:00,-0.6477,0.0861,11.7001,3.4038,0.1599
2022-01-03 00:00:00,-0.6425,0.0930,11.6731,3.3510,0.1585
2022-01-03 04:00:00,-0.6378,0.0928,11.6763,3.3217,0.1580
2022-01-03 08:00:00,-0.6331,0.0921,11.6897,3.4180,0.1602
2022-01-03 12:00:00,-0.6289,0.0813,11.6789,3.4817,0.1614
2022-01-03 16:00:00,-0.6242,0.0769,11.6647,3.4815,0.1615
2022-01-03 20:00:00,-0.6195,0.0800,11.6438,3.4768,0.1614
2022-01-04 00:00:00,-0.6144,0.0837,11.5730,3.4924,0.1613
2022-01-04 04:00:00,-0.6096,0.0891,11.5148,3.5020,0.1612
2022-01-04 08:00:00,-0.6053,0.0886,11.5064,3.5207,0.1616
2022-01-04 12:00:00,-0.6013,0.0832,11.4870,3.5321,0.1619
2022-01-04 16:00:00,-0.5974,0.0769,11.4560,3.5173,0.1613
2022-01-04 20:00:00,-0.5936,0.0695,11.4766,3.3870,0.1589
2022-01-05 00:00:00,-0.5895,0.0590,11.4488,3.4198,0.1597
2022-01-05 04:00:00,-0.5853,0.0526,11.4178,3.4951,0.1611
2022-01-05 08:00:00,-0.5813,0.0522,11.3755,3.5187,0.1613
