Date,salinity,oxygen,ammonium,nitrate,phosphate,POC settling,PHY setting,DOC,DON,DOP
Unit,PSU,mmol/m3,mmol/m3,mmol/m3,mmol/m3,mmol/m2/d,mmol/m2/d,mmol/m3,mmol/m3,mmol/m3
2022-11-02 04:00:00,36.0038,237.6101,0.1514,0.0746,0.0602,-0.7003,-0.1734,115.8695,6.3077,0.3505
2022-11-02 08:00:00,36.0111,235.5785,0.1598,0.0776,0.0608,-0.7008,-0.1647,115.4986,6.3013,0.3501
2022-11-02 12:00:00,36.0143,234.5961,0.1681,0.0810,0.0614,-0.7009,-0.1599,115.1342,6.2933,0.3496
2022-11-02 16:00:00,36.0172,233.9120,0.1761,0.0854,0.0619,-0.6994,-0.1552,114.6204,6.2787,0.3486
2022-11-02 20:00:00,36.0484,232.9497,0.1829,0.0942,0.0622,-0.6931,-0.1520,113.3019,6.2405,0.3455
2022-11-03 00:00:00,36.0764,231.7225,0.1896,0.1034,0.0625,-0.6876,-0.1488,112.2042,6.2156,0.3433
2022-11-03 04:00:00,36.0947,228.9033,0.1971,0.1183,0.0630,-0.6814,-0.1332,111.1714,6.2169,0.3418
2022-11-03 08:00:00,36.1189,227.6190,0.2037,0.1416,0.0634,-0.6731,-0.1275,109.6283,6.2216,0.3391
2022-11-03 12:00:00,36.1700,225.7158,0.2100,0.1858,0.0639,-0.6610,-0.1215,107.5550,6.2804,0.3366
2022-11-03 16:00:00,36.2416,223.7810,0.2186,0.2129,0.0647,-0.6602,-0.1189,107.2965,6.3723,0.3383
2022-11-03 20:00:00,36.2684,222.7943,0.2275,0.2063,0.0651,-0.6667,-0.1208,108.0524,6.3833,0.3400
2022-11-04 00:00:00,36.2491,222.2187,0.2349,0.1960,0.0656,-0.6711,-0.1235,108.4431,6.3558,0.3404
2022-11-04 04:00:00,36.1821,221.9496,0.2397,0.1663,0.0663,-0.6815,-0.1191,109.8989,6.3260,0.3429
2022-11-04 08:00:00,36.1533,221.6778,0.2451,0.1469,0.0668,-0.6896,-0.1085,111.0484,6.3191,0.3449
2022-11-04 12:00:00,36.1629,221.1107,0.2522,0.1557,0.0672,-0.6853,-0.1042,110.1744,6.2913,0.3428
2022-11-04 16:00:00,36.1756,220.2443,0.2579,0.1684,0.0675,-0.6786,-0.0995,108.9351,6.2593,0.3401
2022-11-04 20:00:00,36.1885,219.2651,0.2624,0.1827,0.0677,-0.6713,-0.0960,107.6085,6.2353,0.3373
2022-11-05 00:00:00,36.2036,218.0599,0.2667,0.1986,0.0680,-0.6655,-0.0926,106.5182,6.2413,0.3353
2022-11-05 04:00:00,36.2302,216.9994,0.2740,0.2177,0.0686,-0.6645,-0.0915,106.1482,6.2933,0.3357
2022-11-05 08:00:00,36.2550,216.1497,0.2820,0.2414,0.0693,-0.6637,-0.0897,105.7997,6.3549,0.3364
2022-11-05 12:00:00,36.2703,215.3309,0.2884,0.2695,0.0698,-0.6591,-0.0869,104.8971,6.4024,0.3357
2022-11-05 16:00:00,36.2839,214.5972,0.2942,0.2924,0.0703,-0.6550,-0.0852,104.0599,6.4370,0.3349
2022-11-05 20:00:00,36.3008,213.8791,0.3001,0.3051,0.0706,-0.6545,-0.0870,103.7245,6.4610,0.3347
2022-11-06 00:00:00,36.2501,213.3448,0.3040,0.3095,0.0704,-0.6521,-0.0837,103.1699,6.4495,0.3328
2022-11-06 04:00:00,36.2462,213.1186,0.3102,0.3233,0.0708,-0.6543,-0.0828,103.2754,6.5055,0.3331
2022-11-06 08:00:00,36.2522,212.8639,0.3171,0.3388,0.0713,-0.6548,-0.0807,103.1338,6.5486,0.3331
2022-11-06 12:00:00,36.2863,212.2138,0.3255,0.4124,0.0718,-0.6506,-0.0793,102.2831,6.7778,0.3328
2022-11-06 16:00:00,36.3551,211.2752,0.3404,0.5163,0.0725,-0.6557,-0.0809,102.9144,7.2115,0.3369
2022-11-06 20:00:00,36.3550,210.7254,0.3507,0.5361,0.0731,-0.6688,-0.0859,104.6589,7.3920,0.3412
2022-11-07 00:00:00,36.2789,211.1042,0.3463,0.4462,0.0730,-0.6729,-0.0854,105.0233,7.0612,0.3393
2022-11-07 04:00:00,36.2511,211.6554,0.3468,0.4050,0.0734,-0.6800,-0.0825,105.8989,6.9415,0.3403
2022-11-07 08:00:00,36.2617,211.4120,0.3540,0.4306,0.0740,-0.6796,-0.0802,105.6609,7.0195,0.3408
2022-11-07 12:00:00,36.2662,211.0291,0.3608,0.4524,0.0746,-0.6787,-0.0778,105.3548,7.0768,0.3408
2022-11-07 16:00:00,36.2711,210.4320,0.3662,0.4817,0.0750,-0.6752,-0.0764,104.6609,7.1517,0.3401
2022-11-07 20:00:00,36.2767,209.8695,0.3694,0.4866,0.0752,-0.6741,-0.0795,104.2854,7.1526,0.3395
2022-11-08 00:00:00,36.2685,209.4365,0.3714,0.4903,0.0754,-0.6710,-0.0829,103.6263,7.1268,0.3383
2022-11-08 04:00:00,36.2460,209.7498,0.3643,0.4260,0.0754,-0.6775,-0.0742,104.5128,6.8783,0.3382
2022-11-08 08:00:00,36.2731,209.0527,0.3690,0.5201,0.0757,-0.6607,-0.0698,101.9039,7.1234,0.3352
2022-11-08 12:00:00,36.3186,208.3816,0.3754,0.5505,0.0764,-0.6615,-0.0692,101.8611,7.2388,0.3367
2022-11-08 16:00:00,36.3393,207.9230,0.3790,0.5506,0.0768,-0.6641,-0.0691,102.0857,7.2370,0.3374
2022-11-08 20:00:00,36.3441,207.5699,0.3806,0.5156,0.0771,-0.6717,-0.0740,102.9646,7.1337,0.3383
2022-11-09 00:00:00,36.2775,207.9952,0.3774,0.4602,0.0770,-0.6753,-0.0725,103.3584,6.9153,0.3372
2022-11-09 04:00:00,36.2882,208.0592,0.3799,0.4478,0.0774,-0.6822,-0.0730,104.1342,6.8868,0.3385
2022-11-09 08:00:00,36.3134,207.6203,0.3853,0.4697,0.0780,-0.6833,-0.0717,104.1070,6.9556,0.3392
2022-11-09 12:00:00,36.3223,207.1866,0.3889,0.4947,0.0784,-0.6797,-0.0691,103.4202,7.0028,0.3381
2022-11-09 16:00:00,36.3213,206.8972,0.3922,0.5064,0.0788,-0.6776,-0.0668,102.9610,7.0084,0.3372
2022-11-09 20:00:00,36.3144,206.8111,0.3940,0.5027,0.0790,-0.6775,-0.0686,102.7657,6.9746,0.3366
2022-11-10 00:00:00,36.3010,207.1306,0.3940,0.4742,0.0794,-0.6825,-0.0695,103.3195,6.8749,0.3373
2022-11-10 04:00:00,36.2843,207.4748,0.3921,0.4611,0.0795,-0.6795,-0.0673,102.7058,6.7645,0.3348
2022-11-10 08:00:00,36.2762,207.3109,0.3927,0.4734,0.0794,-0.6688,-0.0629,100.9774,6.7091,0.3305
2022-11-10 12:00:00,36.2770,206.7955,0.3980,0.4847,0.0798,-0.6653,-0.0598,100.3171,6.7124,0.3292
2022-11-10 16:00:00,36.2816,206.2910,0.4044,0.4900,0.0803,-0.6675,-0.0591,100.4825,6.7343,0.3300
2022-11-10 20:00:00,36.2878,205.8746,0.4089,0.4916,0.0808,-0.6713,-0.0619,100.8719,6.7642,0.3316
2022-11-11 00:00:00,36.3000,205.5512,0.4113,0.4776,0.0814,-0.6808,-0.0646,102.1460,6.7842,0.3354
2022-11-11 04:00:00,36.3032,205.5344,0.4124,0.4580,0.0817,-0.6879,-0.0654,103.0387,6.7603,0.3375
2022-11-11 08:00:00,36.3069,205.5753,0.4149,0.4397,0.0822,-0.6932,-0.0639,103.6520,6.7172,0.3384
2022-11-11 12:00:00,36.3085,205.7514,0.4165,0.4191,0.0825,-0.6973,-0.0622,104.0960,6.6622,0.3390
2022-11-11 16:00:00,36.3062,206.0570,0.4077,0.3837,0.0827,-0.7015,-0.0620,104.5444,6.5844,0.3393
2022-11-11 20:00:00,36.3092,206.5554,0.3967,0.3579,0.0828,-0.7029,-0.0641,104.6034,6.5389,0.3393
2022-11-12 00:00:00,36.3176,207.8957,0.3907,0.3508,0.0829,-0.7013,-0.0653,104.2728,6.5129,0.3387
2022-11-12 04:00:00,36.3252,208.8459,0.3888,0.3514,0.0831,-0.6983,-0.0653,103.7085,6.4918,0.3374
2022-11-12 08:00:00,36.3321,209.1403,0.3916,0.3585,0.0834,-0.6959,-0.0630,103.2107,6.4829,0.3365
2022-11-12 12:00:00,36.3359,209.1066,0.3947,0.3659,0.0838,-0.6938,-0.0609,102.7771,6.4767,0.3356
2022-11-12 16:00:00,36.3380,208.9032,0.3979,0.3704,0.0841,-0.6932,-0.0599,102.5391,6.4718,0.3352
2022-11-12 20:00:00,36.3420,208.5287,0.3985,0.3743,0.0842,-0.6920,-0.0622,102.1985,6.4695,0.3346
2022-11-13 00:00:00,36.3692,208.6534,0.3981,0.4337,0.0833,-0.6670,-0.0597,98.5332,6.4716,0.3266
2022-11-13 04:00:00,36.3872,208.9474,0.4052,0.4801,0.0835,-0.6595,-0.0593,97.2977,6.5690,0.3247
2022-11-13 08:00:00,36.4048,208.6468,0.4128,0.5276,0.0840,-0.6534,-0.0574,96.2655,6.6835,0.3236
2022-11-13 12:00:00,36.4597,207.9303,0.4256,0.6393,0.0846,-0.6435,-0.0558,94.7211,7.0215,0.3235
2022-11-13 16:00:00,36.5411,206.9636,0.4425,0.7648,0.0853,-0.6373,-0.0552,93.7469,7.4460,0.3254
2022-11-13 20:00:00,36.5935,206.1247,0.4561,0.8251,0.0860,-0.6417,-0.0583,94.1847,7.6896,0.3286
2022-11-14 00:00:00,36.4895,207.5565,0.4466,0.7590,0.0856,-0.6438,-0.0577,94.3791,7.4271,0.3267
2022-11-14 04:00:00,36.4735,208.4677,0.4503,0.7337,0.0864,-0.6584,-0.0592,96.1675,7.4021,0.3299
2022-11-14 08:00:00,36.4932,208.3710,0.4566,0.7711,0.0871,-0.6603,-0.0587,96.2647,7.5495,0.3316
2022-11-14 12:00:00,36.5365,207.8797,0.4609,0.8173,0.0878,-0.6597,-0.0585,96.0389,7.7220,0.3331
2022-11-14 16:00:00,36.5659,207.5819,0.4630,0.8013,0.0883,-0.6671,-0.0583,96.9081,7.6903,0.3345
2022-11-14 20:00:00,36.5580,207.5741,0.4614,0.7294,0.0888,-0.6824,-0.0616,98.6966,7.4877,0.3359
2022-11-15 00:00:00,36.5189,207.7861,0.4581,0.6786,0.0892,-0.6897,-0.0657,99.3677,7.3185,0.3358
2022-11-15 04:00:00,36.4212,210.2900,0.4387,0.6119,0.0891,-0.6846,-0.0624,98.3990,7.0185,0.3311
2022-11-15 08:00:00,36.4396,209.9636,0.4413,0.6311,0.0894,-0.6813,-0.0616,97.7440,7.0510,0.3301
2022-11-15 12:00:00,36.4860,209.6443,0.4425,0.6509,0.0899,-0.6797,-0.0612,97.3067,7.1046,0.3299
2022-11-15 16:00:00,36.5201,209.6062,0.4428,0.6541,0.0906,-0.6841,-0.0616,97.6533,7.1415,0.3311
2022-11-15 20:00:00,36.4916,209.9422,0.4416,0.6356,0.0912,-0.6913,-0.0648,98.2991,7.1115,0.3318
2022-11-16 00:00:00,36.4681,210.3511,0.4385,0.6158,0.0916,-0.6928,-0.0690,98.2087,7.0318,0.3312
2022-11-16 04:00:00,36.4215,212.1189,0.4210,0.5489,0.0913,-0.6849,-0.0671,96.8150,6.7192,0.3258
2022-11-16 08:00:00,36.4464,211.9242,0.4197,0.6031,0.0913,-0.6709,-0.0635,94.7635,6.8283,0.3229
2022-11-16 12:00:00,36.4688,211.2948,0.4223,0.6366,0.0918,-0.6668,-0.0636,93.9841,6.9249,0.3225
2022-11-16 16:00:00,36.4925,210.9280,0.4222,0.6246,0.0925,-0.6704,-0.0640,94.1361,6.8911,0.3227
2022-11-16 20:00:00,36.4809,210.8345,0.4199,0.5980,0.0929,-0.6750,-0.0677,94.4065,6.8075,0.3224
2022-11-17 00:00:00,36.4308,211.2700,0.4146,0.5663,0.0930,-0.6739,-0.0702,94.0179,6.6709,0.3206
2022-11-17 04:00:00,36.4005,212.6356,0.4031,0.5255,0.0930,-0.6719,-0.0670,93.3420,6.4872,0.3168
2022-11-17 08:00:00,36.4216,212.4650,0.4071,0.5772,0.0932,-0.6646,-0.0649,92.2429,6.6296,0.3156
2022-11-17 12:00:00,36.4470,212.3932,0.4131,0.6272,0.0938,-0.6617,-0.0636,91.7509,6.7987,0.3162
2022-11-17 16:00:00,36.4591,212.5862,0.4179,0.6538,0.0942,-0.6602,-0.0631,91.4394,6.8806,0.3165
2022-11-17 20:00:00,36.4618,212.8684,0.4205,0.6638,0.0944,-0.6595,-0.0655,91.1897,6.9107,0.3165
2022-11-18 00:00:00,36.4565,213.3550,0.4219,0.6677,0.0945,-0.6581,-0.0677,90.8361,6.9197,0.3160
2022-11-18 04:00:00,36.4562,213.5774,0.4246,0.6791,0.0946,-0.6565,-0.0675,90.4610,6.9454,0.3155
2022-11-18 08:00:00,36.4564,213.6642,0.4285,0.6937,0.0949,-0.6548,-0.0656,90.1110,6.9748,0.3150
2022-11-18 12:00:00,36.4558,213.5887,0.4331,0.6981,0.0953,-0.6555,-0.0643,90.0833,6.9701,0.3150
2022-11-18 16:00:00,36.4307,213.1566,0.4395,0.7030,0.0954,-0.6541,-0.0637,89.8325,6.9449,0.3144
2022-11-18 20:00:00,36.3576,214.6324,0.4442,0.6987,0.0954,-0.6522,-0.0643,89.3605,6.8865,0.3126
2022-11-19 00:00:00,36.3403,215.7351,0.4428,0.7055,0.0950,-0.6454,-0.0652,88.2599,6.8581,0.3097
2022-11-19 04:00:00,36.3434,216.2676,0.4421,0.7287,0.0948,-0.6377,-0.0640,87.0172,6.8944,0.3073
