Date,Depth
Units:,m
2022-01-01 04:00:00,4.8051
2022-01-01 08:00:00,4.9342
2022-01-01 12:00:00,5.1869
2022-01-01 16:00:00,5.5024
2022-01-01 20:00:00,5.6959
2022-01-02 00:00:00,5.4195
2022-01-02 04:00:00,4.9458
2022-01-02 08:00:00,4.8324
2022-01-02 12:00:00,5.1513
2022-01-02 16:00:00,5.4902
2022-01-02 20:00:00,5.7207
2022-01-03 00:00:00,5.5428
2022-01-03 04:00:00,5.0498
2022-01-03 08:00:00,4.8705
2022-01-03 12:00:00,5.1586
2022-01-03 16:00:00,5.4788
2022-01-03 20:00:00,5.7398
2022-01-04 00:00:00,5.6222
2022-01-04 04:00:00,5.1503
2022-01-04 08:00:00,4.8977
2022-01-04 12:00:00,5.1265
2022-01-04 16:00:00,5.4271
2022-01-04 20:00:00,5.6807
2022-01-05 00:00:00,5.6342
2022-01-05 04:00:00,5.2451
2022-01-05 08:00:00,4.9726
2022-01-05 12:00:00,5.1299
2022-01-05 16:00:00,5.3921
2022-01-05 20:00:00,5.6344
2022-01-06 00:00:00,5.6682
2022-01-06 04:00:00,5.3846
2022-01-06 08:00:00,5.1227
2022-01-06 12:00:00,5.1778
2022-01-06 16:00:00,5.3722
2022-01-06 20:00:00,5.5574
2022-01-07 00:00:00,5.5583
2022-01-07 04:00:00,5.3434
2022-01-07 08:00:00,5.1536
2022-01-07 12:00:00,5.1937
2022-01-07 16:00:00,5.3585
2022-01-07 20:00:00,5.4991
2022-01-08 00:00:00,5.5056
2022-01-08 04:00:00,5.3845
2022-01-08 08:00:00,5.2791
2022-01-08 12:00:00,5.3319
2022-01-08 16:00:00,5.4255
2022-01-08 20:00:00,5.4324
2022-01-09 00:00:00,5.3498
2022-01-09 04:00:00,5.2240
2022-01-09 08:00:00,5.1709
2022-01-09 12:00:00,5.2762
2022-01-09 16:00:00,5.3847
2022-01-09 20:00:00,5.3985
2022-01-10 00:00:00,5.2741
2022-01-10 04:00:00,5.1453
2022-01-10 08:00:00,5.1315
2022-01-10 12:00:00,5.3005
2022-01-10 16:00:00,5.4304
2022-01-10 20:00:00,5.3975
2022-01-11 00:00:00,5.2437
2022-01-11 04:00:00,5.0798
2022-01-11 08:00:00,5.1182
2022-01-11 12:00:00,5.3681
2022-01-11 16:00:00,5.5157
2022-01-11 20:00:00,5.4852
2022-01-12 00:00:00,5.2872
2022-01-12 04:00:00,5.1435
2022-01-12 08:00:00,5.1990
2022-01-12 12:00:00,5.4384
2022-01-12 16:00:00,5.5985
2022-01-12 20:00:00,5.5689
2022-01-13 00:00:00,5.3256
2022-01-13 04:00:00,5.1064
2022-01-13 08:00:00,5.1089
2022-01-13 12:00:00,5.3493
2022-01-13 16:00:00,5.5704
2022-01-13 20:00:00,5.6082
2022-01-14 00:00:00,5.3246
2022-01-14 04:00:00,5.0477
2022-01-14 08:00:00,5.0217
2022-01-14 12:00:00,5.2637
2022-01-14 16:00:00,5.5277
2022-01-14 20:00:00,5.6148
2022-01-15 00:00:00,5.3134
2022-01-15 04:00:00,4.9942
2022-01-15 08:00:00,4.9596
2022-01-15 12:00:00,5.2234
2022-01-15 16:00:00,5.4862
2022-01-15 20:00:00,5.5923
2022-01-16 00:00:00,5.3058
2022-01-16 04:00:00,4.9343
2022-01-16 08:00:00,4.8899
2022-01-16 12:00:00,5.1450
2022-01-16 16:00:00,5.4308
2022-01-16 20:00:00,5.5828
2022-01-17 00:00:00,5.3018
2022-01-17 04:00:00,4.9109
2022-01-17 08:00:00,4.8446
2022-01-17 12:00:00,5.1236
2022-01-17 16:00:00,5.3992
2022-01-17 20:00:00,5.5655
2022-01-18 00:00:00,5.3787
2022-01-18 04:00:00,4.9589
2022-01-18 08:00:00,4.8634
2022-01-18 12:00:00,5.1444
2022-01-18 16:00:00,5.4180
2022-01-18 20:00:00,5.5939
2022-01-19 00:00:00,5.4579
2022-01-19 04:00:00,5.0600
2022-01-19 08:00:00,4.9474
2022-01-19 12:00:00,5.2130
2022-01-19 16:00:00,5.4341
2022-01-19 20:00:00,5.5923
2022-01-20 00:00:00,5.5268
2022-01-20 04:00:00,5.1964
2022-01-20 08:00:00,5.0591
2022-01-20 12:00:00,5.2519
2022-01-20 16:00:00,5.4283
2022-01-20 20:00:00,5.5635
2022-01-21 00:00:00,5.5714
2022-01-21 04:00:00,5.2810
2022-01-21 08:00:00,5.1158
2022-01-21 12:00:00,5.2676
2022-01-21 16:00:00,5.4137
2022-01-21 20:00:00,5.5150
2022-01-22 00:00:00,5.5430
2022-01-22 04:00:00,5.3471
