Date,Depth
Units:,m
2022-01-01 04:00:00,3.5777
2022-01-01 08:00:00,3.8154
2022-01-01 12:00:00,4.0542
2022-01-01 16:00:00,4.3717
2022-01-01 20:00:00,4.5750
2022-01-02 00:00:00,4.3165
2022-01-02 04:00:00,3.8286
2022-01-02 08:00:00,3.6852
2022-01-02 12:00:00,4.0269
2022-01-02 16:00:00,4.3550
2022-01-02 20:00:00,4.5891
2022-01-03 00:00:00,4.4377
2022-01-03 04:00:00,3.9304
2022-01-03 08:00:00,3.7206
2022-01-03 12:00:00,4.0299
2022-01-03 16:00:00,4.3409
2022-01-03 20:00:00,4.5998
2022-01-04 00:00:00,4.5129
2022-01-04 04:00:00,4.0220
2022-01-04 08:00:00,3.7555
2022-01-04 12:00:00,3.9978
2022-01-04 16:00:00,4.2840
2022-01-04 20:00:00,4.5343
2022-01-05 00:00:00,4.5236
2022-01-05 04:00:00,4.1179
2022-01-05 08:00:00,3.8354
2022-01-05 12:00:00,3.9975
2022-01-05 16:00:00,4.2477
2022-01-05 20:00:00,4.4953
2022-01-06 00:00:00,4.5487
2022-01-06 04:00:00,4.2458
2022-01-06 08:00:00,3.9894
2022-01-06 12:00:00,4.0375
2022-01-06 16:00:00,4.2360
2022-01-06 20:00:00,4.4140
2022-01-07 00:00:00,4.4284
2022-01-07 04:00:00,4.2015
2022-01-07 08:00:00,4.0161
2022-01-07 12:00:00,4.0593
2022-01-07 16:00:00,4.2230
2022-01-07 20:00:00,4.3653
2022-01-08 00:00:00,4.3806
2022-01-08 04:00:00,4.2502
2022-01-08 08:00:00,4.1440
2022-01-08 12:00:00,4.1971
2022-01-08 16:00:00,4.2837
2022-01-08 20:00:00,4.2728
2022-01-09 00:00:00,4.2048
2022-01-09 04:00:00,4.0829
2022-01-09 08:00:00,4.0396
2022-01-09 12:00:00,4.1473
2022-01-09 16:00:00,4.2520
2022-01-09 20:00:00,4.2662
2022-01-10 00:00:00,4.1423
2022-01-10 04:00:00,4.0209
2022-01-10 08:00:00,3.9996
2022-01-10 12:00:00,4.1827
2022-01-10 16:00:00,4.3036
2022-01-10 20:00:00,4.2764
2022-01-11 00:00:00,4.1161
2022-01-11 04:00:00,3.9612
2022-01-11 08:00:00,3.9904
2022-01-11 12:00:00,4.2515
2022-01-11 16:00:00,4.3780
2022-01-11 20:00:00,4.3600
2022-01-12 00:00:00,4.1566
2022-01-12 04:00:00,4.0222
2022-01-12 08:00:00,4.0594
2022-01-12 12:00:00,4.3174
2022-01-12 16:00:00,4.4602
2022-01-12 20:00:00,4.4504
2022-01-13 00:00:00,4.1962
2022-01-13 04:00:00,3.9869
2022-01-13 08:00:00,3.9646
2022-01-13 12:00:00,4.2186
2022-01-13 16:00:00,4.4301
2022-01-13 20:00:00,4.4851
2022-01-14 00:00:00,4.1893
2022-01-14 04:00:00,3.9271
2022-01-14 08:00:00,3.8814
2022-01-14 12:00:00,4.1270
2022-01-14 16:00:00,4.3923
2022-01-14 20:00:00,4.4919
2022-01-15 00:00:00,4.1853
2022-01-15 04:00:00,3.8795
2022-01-15 08:00:00,3.8179
2022-01-15 12:00:00,4.0910
2022-01-15 16:00:00,4.3515
2022-01-15 20:00:00,4.4672
2022-01-16 00:00:00,4.1871
2022-01-16 04:00:00,3.8177
2022-01-16 08:00:00,3.7520
2022-01-16 12:00:00,4.0147
2022-01-16 16:00:00,4.3011
2022-01-16 20:00:00,4.4565
2022-01-17 00:00:00,4.1919
2022-01-17 04:00:00,3.8016
2022-01-17 08:00:00,3.7065
2022-01-17 12:00:00,4.0081
2022-01-17 16:00:00,4.2732
2022-01-17 20:00:00,4.4425
2022-01-18 00:00:00,4.2736
2022-01-18 04:00:00,3.8511
2022-01-18 08:00:00,3.7297
2022-01-18 12:00:00,4.0288
2022-01-18 16:00:00,4.2821
2022-01-18 20:00:00,4.4601
2022-01-19 00:00:00,4.3418
2022-01-19 04:00:00,3.9377
2022-01-19 08:00:00,3.8134
2022-01-19 12:00:00,4.0986
2022-01-19 16:00:00,4.2943
2022-01-19 20:00:00,4.4534
2022-01-20 00:00:00,4.4065
2022-01-20 04:00:00,4.0666
2022-01-20 08:00:00,3.9241
2022-01-20 12:00:00,4.1252
2022-01-20 16:00:00,4.2816
2022-01-20 20:00:00,4.4133
2022-01-21 00:00:00,4.4519
2022-01-21 04:00:00,4.1488
2022-01-21 08:00:00,3.9832
2022-01-21 12:00:00,4.1387
2022-01-21 16:00:00,4.2612
2022-01-21 20:00:00,4.3662
2022-01-22 00:00:00,4.4192
2022-01-22 04:00:00,4.2078
2022-01-22 08:00:00,4.0739
2022-01-22 12:00:00,4.2010
2022-01-22 16:00:00,4.2782
2022-01-22 20:00:00,4.3290
2022-01-23 00:00:00,4.3773
2022-01-23 04:00:00,4.2455
2022-01-23 08:00:00,4.1632
2022-01-23 12:00:00,4.2776
2022-01-23 16:00:00,4.3199
2022-01-23 20:00:00,4.2870
2022-01-24 00:00:00,4.2360
2022-01-24 04:00:00,4.1290
2022-01-24 08:00:00,4.0448
2022-01-24 12:00:00,4.1706
2022-01-24 16:00:00,4.2718
2022-01-24 20:00:00,4.2247
2022-01-25 00:00:00,4.0687
2022-01-25 04:00:00,4.0194
2022-01-25 08:00:00,4.0254
2022-01-25 12:00:00,4.2151
2022-01-25 16:00:00,4.3385
2022-01-25 20:00:00,4.2703
2022-01-26 00:00:00,4.0386
2022-01-26 04:00:00,3.9695
2022-01-26 08:00:00,4.0365
2022-01-26 12:00:00,4.2927
2022-01-26 16:00:00,4.4400
2022-01-26 20:00:00,4.3697
2022-01-27 00:00:00,4.0334
2022-01-27 04:00:00,3.9237
2022-01-27 08:00:00,4.0169
2022-01-27 12:00:00,4.3203
2022-01-27 16:00:00,4.4879
2022-01-27 20:00:00,4.4390
2022-01-28 00:00:00,4.0251
2022-01-28 04:00:00,3.8289
2022-01-28 08:00:00,3.9344
2022-01-28 12:00:00,4.2919
2022-01-28 16:00:00,4.5173
2022-01-28 20:00:00,4.5334
2022-01-29 00:00:00,4.1315
2022-01-29 04:00:00,3.8673
2022-01-29 08:00:00,3.9405
2022-01-29 12:00:00,4.3306
2022-01-29 16:00:00,4.5673
2022-01-29 20:00:00,4.6664
2022-01-30 00:00:00,4.3061
2022-01-30 04:00:00,3.9421
2022-01-30 08:00:00,3.9172
2022-01-30 12:00:00,4.2736
2022-01-30 16:00:00,4.5388
2022-01-30 20:00:00,4.7031
2022-01-31 00:00:00,4.4063
2022-01-31 04:00:00,3.9252
2022-01-31 08:00:00,3.7999
2022-01-31 12:00:00,4.1218
2022-01-31 16:00:00,4.3877
2022-01-31 20:00:00,4.5582
2022-02-01 00:00:00,4.3811
2022-02-01 04:00:00,3.9023
2022-02-01 08:00:00,3.7285
2022-02-01 12:00:00,4.0157
2022-02-01 16:00:00,4.2929
2022-02-01 20:00:00,4.5109
2022-02-02 00:00:00,4.4135
2022-02-02 04:00:00,3.9766
2022-02-02 08:00:00,3.7657
2022-02-02 12:00:00,4.0443
2022-02-02 16:00:00,4.2654
2022-02-02 20:00:00,4.4623
2022-02-03 00:00:00,4.4559
2022-02-03 04:00:00,4.0990
2022-02-03 08:00:00,3.9300
2022-02-03 12:00:00,4.1566
2022-02-03 16:00:00,4.3240
2022-02-03 20:00:00,4.4559
2022-02-04 00:00:00,4.4582
2022-02-04 04:00:00,4.2101
2022-02-04 08:00:00,4.1019
2022-02-04 12:00:00,4.2514
2022-02-04 16:00:00,4.3135
2022-02-04 20:00:00,4.3565
2022-02-05 00:00:00,4.3496
2022-02-05 04:00:00,4.2012
2022-02-05 08:00:00,4.1364
2022-02-05 12:00:00,4.2708
2022-02-05 16:00:00,4.3087
2022-02-05 20:00:00,4.3364
2022-02-06 00:00:00,4.3140
2022-02-06 04:00:00,4.2223
2022-02-06 08:00:00,4.2189
2022-02-06 12:00:00,4.3834
2022-02-06 16:00:00,4.4135
2022-02-06 20:00:00,4.4016
2022-02-07 00:00:00,4.2617
2022-02-07 04:00:00,4.1319
2022-02-07 08:00:00,4.1647
