Date,Currnet Speed,Stress,salinity,Tempeature,PAR,PAR fraction
Units:,m/s,N/m2,PSU,degrees,W/m2,%
2022-01-01 04:00:00,0.0262,0.0029,36.0053,23.8473,0.0000,   NaN
2022-01-01 08:00:00,0.0099,0.0004,36.0110,23.6859,0.0000,   NaN
2022-01-01 12:00:00,0.0238,0.0918,36.0127,23.7444,279.6942,0.5738
2022-01-01 16:00:00,0.0105,0.0653,36.0152,24.0771,232.8210,0.5640
2022-01-01 20:00:00,0.0256,0.1387,36.0164,23.9884,14.1601,0.5569
2022-01-02 00:00:00,0.0468,0.0851,36.0169,23.7583,0.0000,   NaN
2022-01-02 04:00:00,0.0237,0.0683,36.0175,23.6348,0.0000,   NaN
2022-01-02 08:00:00,0.0081,0.0564,36.0198,23.5536,89.1661,0.5947
2022-01-02 12:00:00,0.0377,0.0470,36.0209,23.6954,279.1768,0.5795
2022-01-02 16:00:00,0.0371,0.1080,36.0248,23.9484,227.3515,0.5590
2022-01-02 20:00:00,0.0088,0.1138,36.0276,23.9827,13.7691,0.5454
2022-01-03 00:00:00,0.0369,0.0744,36.0300,23.7918,0.0000,   NaN
2022-01-03 04:00:00,0.0256,0.0667,36.0306,23.6681,0.0000,   NaN
2022-01-03 08:00:00,0.0129,0.0563,36.0318,23.6088,84.1439,0.5841
2022-01-03 12:00:00,0.0440,0.0967,36.0323,23.7410,263.6957,0.5613
2022-01-03 16:00:00,0.0393,0.1065,36.0363,23.9168,211.2196,0.5297
2022-01-03 20:00:00,0.0169,0.1151,36.0414,24.0356,12.7491,0.5148
2022-01-04 00:00:00,0.0327,0.0640,36.0431,23.8548,0.0000,   NaN
2022-01-04 04:00:00,0.0215,0.0623,36.0440,23.7096,0.0000,   NaN
2022-01-04 08:00:00,0.0130,0.0512,36.0457,23.6236,79.0823,0.5506
2022-01-04 12:00:00,0.0019,0.0384,36.0463,23.7841,252.2389,0.5340
2022-01-04 16:00:00,0.0173,0.1123,36.0464,23.9335,206.0526,0.5119
2022-01-04 20:00:00,0.0289,0.0520,36.0486,23.9274,12.3705,0.4941
2022-01-05 00:00:00,0.0118,0.0860,36.0542,23.8895,0.0000,   NaN
2022-01-05 04:00:00,0.0033,0.0582,36.0573,23.7801,0.0000,   NaN
2022-01-05 08:00:00,0.0039,0.0451,36.0601,23.7029,74.8407,0.5250
2022-01-05 12:00:00,0.0253,0.0322,36.0605,23.8252,243.3852,0.5154
2022-01-05 16:00:00,0.0542,0.0676,36.0675,24.1962,195.6848,0.4851
2022-01-05 20:00:00,0.0333,0.0477,36.0629,24.1084,11.9012,0.4690
2022-01-06 00:00:00,0.0121,0.0478,36.0610,23.9815,0.0000,   NaN
2022-01-06 04:00:00,0.0110,0.0337,36.0637,23.9294,0.0000,   NaN
2022-01-06 08:00:00,0.0124,0.0275,36.0648,23.8870,71.2361,0.5022
2022-01-06 12:00:00,0.0488,0.0526,36.0680,24.0707,236.1232,0.5003
2022-01-06 16:00:00,0.0358,0.0881,36.0714,24.2456,194.9244,0.4827
2022-01-06 20:00:00,0.0149,0.1164,36.0728,24.2272,11.9716,0.4701
2022-01-07 00:00:00,0.0296,0.0586,36.0749,23.9761,0.0000,   NaN
2022-01-07 04:00:00,0.0180,0.0402,36.0770,23.8434,0.0000,   NaN
2022-01-07 08:00:00,0.0042,0.0256,36.0798,23.7625,67.5758,0.4855
2022-01-07 12:00:00,0.0343,0.0213,36.0841,23.9206,216.4326,0.4610
2022-01-07 16:00:00,0.0593,0.0808,36.1080,24.5425,172.3795,0.4286
2022-01-07 20:00:00,0.0227,0.0672,36.1180,24.9278,10.6421,0.4163
2022-01-08 00:00:00,0.0207,0.0813,36.1107,24.3669,0.0000,   NaN
2022-01-08 04:00:00,0.0322,0.0551,36.1232,24.4827,0.0000,   NaN
2022-01-08 08:00:00,0.0276,0.0446,36.1296,24.4531,57.1005,0.4068
2022-01-08 12:00:00,0.0552,0.1117,36.1289,24.5905,190.3619,0.4004
2022-01-08 16:00:00,0.0428,0.2503,36.1225,24.7459,160.3712,0.3959
2022-01-08 20:00:00,0.0466,0.2609,36.1249,24.5304,10.4871,0.4070
2022-01-09 00:00:00,0.0542,0.1815,36.1185,24.2571,0.0000,   NaN
2022-01-09 04:00:00,0.0434,0.1365,36.1215,24.1736,0.0000,   NaN
2022-01-09 08:00:00,0.0321,0.0951,36.1325,24.2262,58.8894,0.4088
2022-01-09 12:00:00,0.0221,0.1769,36.1389,24.4445,189.4395,0.3897
2022-01-09 16:00:00,0.0471,0.2380,36.1525,24.7437,155.9197,0.3765
2022-01-09 20:00:00,0.0500,0.2185,36.1659,24.4917,9.8173,0.3694
2022-01-10 00:00:00,0.0302,0.0848,36.1824,24.2975,0.0000,   NaN
2022-01-10 04:00:00,0.0118,0.0679,36.1902,24.1402,0.0000,   NaN
2022-01-10 08:00:00,0.0039,0.0668,36.1969,24.0082,51.9285,0.3686
2022-01-10 12:00:00,0.0416,0.0450,36.1997,24.0931,165.2593,0.3438
2022-01-10 16:00:00,0.0758,0.1412,36.2146,24.3936,124.1107,0.3017
2022-01-10 20:00:00,0.0279,0.0695,36.2328,24.6225,6.4999,0.2937
2022-01-11 00:00:00,0.0323,0.0421,36.2379,24.5704,0.0000,   NaN
2022-01-11 04:00:00,0.0142,0.1822,36.2407,24.3270,0.0000,   NaN
2022-01-11 08:00:00,0.0048,0.0214,36.2463,24.1440,44.9411,0.3230
2022-01-11 12:00:00,0.0290,0.0304,36.2614,24.2710,130.5973,0.2741
2022-01-11 16:00:00,0.0501,0.0395,36.2768,24.6621,106.5969,0.2577
2022-01-11 20:00:00,0.0270,0.0417,36.2687,24.5939,6.7299,0.2565
2022-01-12 00:00:00,0.0049,0.0238,36.2547,24.4121,0.0000,   NaN
2022-01-12 04:00:00,0.0258,0.0243,36.2575,24.3051,0.0000,   NaN
2022-01-12 08:00:00,0.0250,0.0223,36.2539,24.2064,41.1280,0.3101
2022-01-12 12:00:00,0.0352,0.0478,36.2518,24.2692,138.3089,0.2957
2022-01-12 16:00:00,0.0492,0.0587,36.2537,24.4503,114.0747,0.2822
2022-01-12 20:00:00,0.0219,0.0642,36.2414,24.3201,7.2506,0.2856
