Date,EXTC,wave height,wave period,wave direction
Units:,/m,m,seconds,degress
2022-01-01 04:00:00,0.0931,0.0000,0.0000,0.0000
2022-01-01 08:00:00,0.0918,0.0000,0.0000,0.0000
2022-01-01 12:00:00,0.0905,0.6545,3.9711,210.9846
2022-01-01 16:00:00,0.0901,0.7861,3.4924,208.0535
2022-01-01 20:00:00,0.0906,0.7492,5.0570,210.5993
2022-01-02 00:00:00,0.0927,0.6461,8.1799,217.8070
2022-01-02 04:00:00,0.0932,0.4237,10.2006,287.7268
2022-01-02 08:00:00,0.0936,0.3529,11.3653,293.9601
2022-01-02 12:00:00,0.0928,0.4027,11.4595,262.2751
2022-01-02 16:00:00,0.0944,0.6300,11.3579,217.7908
2022-01-02 20:00:00,0.0972,0.6972,11.3348,214.9821
2022-01-03 00:00:00,0.1021,0.5598,11.0803,240.8696
2022-01-03 04:00:00,0.1043,0.4103,10.9829,288.7251
2022-01-03 08:00:00,0.1071,0.3824,11.4200,280.8743
2022-01-03 12:00:00,0.1025,0.5586,11.4551,227.0762
2022-01-03 16:00:00,0.1032,0.6360,11.3820,219.7746
2022-01-03 20:00:00,0.1095,0.7251,10.4505,218.0045
2022-01-04 00:00:00,0.1128,0.4389,9.5168,283.4445
2022-01-04 04:00:00,0.1124,0.3877,10.4585,292.1616
2022-01-04 08:00:00,0.1155,0.3353,11.3221,293.8130
2022-01-04 12:00:00,0.1143,0.2942,11.7171,289.5519
2022-01-04 16:00:00,0.1159,0.6995,11.1214,214.2243
2022-01-04 20:00:00,0.1180,0.5040,12.5322,240.4052
2022-01-05 00:00:00,0.1222,0.5541,12.6068,125.6472
2022-01-05 04:00:00,0.1275,0.3925,13.5846,297.5633
2022-01-05 08:00:00,0.1386,0.3419,13.7840,301.8127
2022-01-05 12:00:00,0.1475,0.2665,13.6958,294.4484
2022-01-05 16:00:00,0.1527,0.4975,13.0885,214.8289
2022-01-05 20:00:00,0.1534,0.4503,12.6355,222.8889
2022-01-06 00:00:00,0.1577,0.4475,12.1597,230.2586
2022-01-06 04:00:00,0.1578,0.2733,9.6470,289.1068
2022-01-06 08:00:00,0.1537,0.2533,9.1559,276.9808
2022-01-06 12:00:00,0.1534,0.4291,9.0501,217.4027
2022-01-06 16:00:00,0.1444,0.5165,5.1033,213.4933
2022-01-06 20:00:00,0.1386,0.7691,3.7732,208.9665
2022-01-07 00:00:00,0.1366,0.4414,8.4830,267.5482
2022-01-07 04:00:00,0.1360,0.3726,8.4513,251.2482
2022-01-07 08:00:00,0.1359,0.2429,8.2893,290.6428
2022-01-07 12:00:00,0.1371,0.1922,9.6374,299.5731
2022-01-07 16:00:00,0.1398,0.5668,12.8788,210.0983
2022-01-07 20:00:00,0.1417,0.5966,12.9270,217.5747
2022-01-08 00:00:00,0.1452,0.5072,11.3549,76.6027
2022-01-08 04:00:00,0.1460,0.4153,12.0908,314.2188
2022-01-08 08:00:00,0.1478,0.3168,12.5565,294.7514
2022-01-08 12:00:00,0.1494,0.6340,12.3517,217.4785
2022-01-08 16:00:00,0.1520,0.9495,10.1736,213.7540
2022-01-08 20:00:00,0.1494,1.0938,4.8001,208.6861
2022-01-09 00:00:00,0.1520,0.9001,8.6680,213.4328
2022-01-09 04:00:00,0.1568,0.8048,9.4446,216.4074
2022-01-09 08:00:00,0.1619,0.6091,10.2007,241.2771
2022-01-09 12:00:00,0.1710,0.7143,10.3544,229.2576
2022-01-09 16:00:00,0.1867,0.8390,9.9627,221.1064
2022-01-09 20:00:00,0.1884,0.9573,6.6776,211.7967
2022-01-10 00:00:00,0.1842,0.5899,9.4221,246.7792
2022-01-10 04:00:00,0.1803,0.4217,10.3302,294.8283
2022-01-10 08:00:00,0.1806,0.4148,11.0003,323.9678
2022-01-10 12:00:00,0.1801,0.3100,11.3371,296.4678
2022-01-10 16:00:00,0.1780,0.5748,11.0436,224.3722
2022-01-10 20:00:00,0.1822,0.5262,11.0227,224.0948
2022-01-11 00:00:00,0.1797,0.3728,10.6403,329.1365
2022-01-11 04:00:00,0.1797,0.5269,10.4059,74.8033
2022-01-11 08:00:00,0.1818,0.4190,10.3903,63.0775
2022-01-11 12:00:00,0.1787,0.2098,10.4868,301.5445
2022-01-11 16:00:00,0.1795,0.4812,8.9774,211.3178
2022-01-11 20:00:00,0.1782,0.4871,9.8319,208.7848
2022-01-12 00:00:00,0.1777,0.2598,10.6313,278.0757
2022-01-12 04:00:00,0.1724,0.2374,10.7633,279.5921
2022-01-12 08:00:00,0.1698,0.2069,10.8104,292.1181
2022-01-12 12:00:00,0.1696,0.3365,10.8725,233.2822
