Date,Currnet Speed,Stress,salinity,Tempeature,PAR,PAR fraction
Units:,m/s,N/m2,PSU,degrees,W/m2,%
2022-01-01 04:00:00,0.0338,0.0048,36.0045,23.8808,0.0000,   NaN
2022-01-01 08:00:00,0.0571,0.0139,36.0102,23.7257,0.0000,   NaN
2022-01-01 12:00:00,0.0134,0.2677,36.0134,23.7878,261.5804,0.5404
2022-01-01 16:00:00,0.0633,0.1690,36.0148,24.0458,221.3244,0.5393
2022-01-01 20:00:00,0.0713,0.4856,36.0149,23.9543,13.2341,0.5286
2022-01-02 00:00:00,0.0770,0.5047,36.0175,23.8526,0.0000,   NaN
2022-01-02 04:00:00,0.0563,0.2876,36.0198,23.7695,0.0000,   NaN
2022-01-02 08:00:00,0.0509,0.2170,36.0221,23.7200,82.1635,0.5516
2022-01-02 12:00:00,0.0370,0.2420,36.0207,23.8253,257.9135,0.5383
2022-01-02 16:00:00,0.0448,0.4882,36.0262,24.1367,210.9094,0.5219
2022-01-02 20:00:00,0.0644,0.5664,36.0279,24.0097,12.4753,0.5024
2022-01-03 00:00:00,0.0654,0.4056,36.0297,23.8665,0.0000,   NaN
2022-01-03 04:00:00,0.0500,0.2662,36.0317,23.7756,0.0000,   NaN
2022-01-03 08:00:00,0.0410,0.2405,36.0346,23.7245,72.0134,0.5041
2022-01-03 12:00:00,0.0212,0.4131,36.0342,23.8445,227.0622,0.4866
2022-01-03 16:00:00,0.0603,0.4962,36.0368,24.2024,193.0799,0.4872
2022-01-03 20:00:00,0.0727,0.6054,36.0380,24.0511,11.2274,0.4611
2022-01-04 00:00:00,0.0555,0.2750,36.0412,23.9532,0.0000,   NaN
2022-01-04 04:00:00,0.0558,0.2403,36.0463,23.8836,0.0000,   NaN
2022-01-04 08:00:00,0.0571,0.1977,36.0503,23.8941,68.4809,0.4804
2022-01-04 12:00:00,0.0522,0.1525,36.0485,23.9435,222.1702,0.4734
2022-01-04 16:00:00,0.0227,0.5829,36.0492,24.0138,173.4242,0.4338
2022-01-04 20:00:00,0.0321,0.3356,36.0478,23.9976,10.3026,0.4177
