Date,Currnet Speed,Stress,salinity,Tempeature,PAR,PAR fraction
Units:,m/s,N/m2,PSU,degrees,W/m2,%
2022-01-01 04:00:00,0.1142,0.1387,36.0034,23.9069,0.0000,   NaN
2022-01-01 08:00:00,0.1565,0.2500,36.0094,23.7459,0.0000,   NaN
2022-01-01 12:00:00,0.0863,1.0000,36.0122,23.9722,363.9734,0.7521
2022-01-01 16:00:00,0.1944,1.0000,36.0153,24.0484,303.0439,0.7385
2022-01-01 20:00:00,0.2120,1.0000,36.0191,23.9639,18.2085,0.7265
2022-01-02 00:00:00,0.2874,1.0000,36.0259,23.8811,0.0000,   NaN
2022-01-02 04:00:00,0.1607,1.0000,36.0353,23.7856,0.0000,   NaN
2022-01-02 08:00:00,0.1496,1.0000,36.0391,23.7125,109.9944,0.7397
2022-01-02 12:00:00,0.0720,1.0000,36.0391,23.9658,344.7517,0.7194
2022-01-02 16:00:00,0.1595,1.0000,36.0407,24.1681,283.8597,0.7019
2022-01-02 20:00:00,0.1947,1.0000,36.0418,24.0145,17.1694,0.6918
2022-01-03 00:00:00,0.1863,1.0000,36.0442,23.9554,0.0000,   NaN
2022-01-03 04:00:00,0.0956,1.0000,36.0453,23.9113,0.0000,   NaN
2022-01-03 08:00:00,0.0903,1.0000,36.0476,23.9043,100.7024,0.7061
2022-01-03 12:00:00,0.0250,1.0000,36.0535,24.1080,322.0069,0.6901
2022-01-03 16:00:00,0.0899,1.0000,36.0550,24.5301,263.9792,0.6656
2022-01-03 20:00:00,0.1074,1.0000,36.0546,24.3497,15.8484,0.6505
2022-01-04 00:00:00,0.0535,1.0000,36.0612,24.2066,0.0000,   NaN
2022-01-04 04:00:00,0.0771,1.0000,36.0774,24.3407,0.0000,   NaN
2022-01-04 08:00:00,0.0808,1.0000,36.0821,24.3294,96.9233,0.6811
2022-01-04 12:00:00,0.0508,0.9531,36.0890,24.3586,320.1763,0.6823
2022-01-04 16:00:00,0.0529,1.0000,36.0982,24.3625,269.6592,0.6742
2022-01-04 20:00:00,0.0362,1.0000,36.0883,24.5326,16.1935,0.6560
2022-01-05 00:00:00,0.0408,1.0000,36.0942,24.6382,0.0000,   NaN
2022-01-05 04:00:00,0.0689,1.0000,36.0911,24.5951,0.0000,   NaN
2022-01-05 08:00:00,0.0979,1.0000,36.0921,24.4575,95.2168,0.6752
2022-01-05 12:00:00,0.0153,0.7566,36.0958,24.6995,308.5161,0.6572
2022-01-05 16:00:00,0.0298,1.0000,36.0997,24.9681,259.5732,0.6456
2022-01-05 20:00:00,0.0253,1.0000,36.1033,25.0831,15.6224,0.6243
2022-01-06 00:00:00,0.0170,1.0000,36.0999,24.8294,0.0000,   NaN
2022-01-06 04:00:00,0.0373,0.7585,36.1064,24.8768,0.0000,   NaN
2022-01-06 08:00:00,0.0376,0.6602,36.1060,24.9887,91.8584,0.6528
2022-01-06 12:00:00,0.0263,0.8194,36.1010,24.9119,307.5598,0.6535
2022-01-06 16:00:00,0.1067,1.0000,36.1095,25.3734,253.2008,0.6296
2022-01-06 20:00:00,0.1489,1.0000,36.1093,25.1981,15.3136,0.6107
2022-01-07 00:00:00,0.0771,1.0000,36.1119,25.0967,0.0000,   NaN
2022-01-07 04:00:00,0.0661,1.0000,36.1221,24.9864,0.0000,   NaN
2022-01-07 08:00:00,0.0943,0.6447,36.1355,24.9376,82.6281,0.5985
2022-01-07 12:00:00,0.0650,0.4579,36.1366,25.1327,278.1588,0.5960
2022-01-07 16:00:00,0.0960,1.0000,36.1173,25.0057,242.0852,0.6045
2022-01-07 20:00:00,0.1081,1.0000,36.1324,25.5548,14.6315,0.5801
2022-01-08 00:00:00,0.0737,1.0000,36.1407,25.2313,0.0000,   NaN
2022-01-08 04:00:00,0.0519,1.0000,36.1506,25.1716,0.0000,   NaN
2022-01-08 08:00:00,0.0412,1.0000,36.1517,24.9783,85.3257,0.6122
2022-01-08 12:00:00,0.0243,1.0000,36.1463,25.3148,282.6520,0.5976
2022-01-08 16:00:00,0.2053,1.0000,36.1488,25.3996,236.4599,0.5872
2022-01-08 20:00:00,0.3176,1.0000,36.1540,25.2861,13.8589,0.5461
2022-01-09 00:00:00,0.2524,1.0000,36.1634,25.0982,0.0000,   NaN
2022-01-09 04:00:00,0.2543,1.0000,36.1622,24.8717,0.0000,   NaN
2022-01-09 08:00:00,0.2270,1.0000,36.1382,24.5874,82.8330,0.5810
2022-01-09 12:00:00,0.1930,1.0000,36.1246,24.4899,286.1441,0.5916
2022-01-09 16:00:00,0.2148,1.0000,36.1336,24.5409,236.0903,0.5732
2022-01-09 20:00:00,0.2381,1.0000,36.1530,24.5318,14.2998,0.5453
2022-01-10 00:00:00,0.2049,1.0000,36.1687,24.5199,0.0000,   NaN
2022-01-10 04:00:00,0.1195,1.0000,36.1661,24.3506,0.0000,   NaN
2022-01-10 08:00:00,0.1231,1.0000,36.1487,24.1486,76.7283,0.5495
2022-01-10 12:00:00,0.1599,1.0000,36.1251,24.1159,255.9700,0.5491
2022-01-10 16:00:00,0.2263,1.0000,36.1011,23.9421,225.4673,0.5604
2022-01-10 20:00:00,0.2502,1.0000,36.1492,24.2096,13.7097,0.5218
2022-01-11 00:00:00,0.1641,1.0000,36.1645,24.1470,0.0000,   NaN
2022-01-11 04:00:00,0.1086,1.0000,36.2114,23.9224,0.0000,   NaN
2022-01-11 08:00:00,0.1016,0.7831,36.1464,23.6196,79.8095,0.5911
2022-01-11 12:00:00,0.0981,0.4953,36.0913,23.7038,243.6319,0.5857
2022-01-11 16:00:00,0.1788,0.9675,36.1172,23.8552,227.4725,0.5550
2022-01-11 20:00:00,0.1932,1.0000,36.1731,24.2522,14.2277,0.5516
2022-01-12 00:00:00,0.1586,0.7407,36.1899,24.1266,0.0000,   NaN
2022-01-12 04:00:00,0.0695,0.6305,36.1483,23.8419,0.0000,   NaN
2022-01-12 08:00:00,0.0348,0.5113,36.2540,24.0276,72.7996,0.5534
2022-01-12 12:00:00,0.0328,0.5862,36.2657,24.3422,244.9516,0.5264
2022-01-12 16:00:00,0.0559,0.6767,36.2297,25.0030,213.4605,0.5301
2022-01-12 20:00:00,0.1161,0.9678,36.2136,24.8545,13.3528,0.5328
2022-01-13 00:00:00,0.1389,1.0000,36.2222,24.9581,0.0000,   NaN
2022-01-13 04:00:00,0.0765,1.0000,36.2449,24.9588,0.0000,   NaN
2022-01-13 08:00:00,0.0844,1.0000,36.2437,24.8429,74.9246,0.5705
2022-01-13 12:00:00,0.0633,1.0000,36.2265,24.9250,255.9017,0.5509
2022-01-13 16:00:00,0.0959,1.0000,36.2192,24.9805,211.8141,0.5284
2022-01-13 20:00:00,0.1557,1.0000,36.2074,24.7094,12.8499,0.5140
2022-01-14 00:00:00,0.2299,1.0000,36.1969,24.5117,0.0000,   NaN
2022-01-14 04:00:00,0.1267,1.0000,36.1868,24.3362,0.0000,   NaN
2022-01-14 08:00:00,0.1174,1.0000,36.1854,24.2871,70.0063,0.5348
