Date,EXTC,wave height,wave period,wave direction
Units:,/m,m,seconds,degress
2022-01-01 04:00:00,0.0931,0.0000,0.0000,0.0000
2022-01-01 08:00:00,0.0913,0.0000,0.0000,0.0000
2022-01-01 12:00:00,0.0900,0.8499,5.1385,230.6442
2022-01-01 16:00:00,0.0894,0.9996,4.6788,230.6048
2022-01-01 20:00:00,0.0901,1.0206,6.4783,234.0612
2022-01-02 00:00:00,0.0908,0.9411,8.3963,244.1755
2022-01-02 04:00:00,0.0911,0.7882,10.0866,267.9845
2022-01-02 08:00:00,0.0912,0.6483,11.3195,272.4376
2022-01-02 12:00:00,0.0917,0.6345,11.4383,266.1215
2022-01-02 16:00:00,0.0923,0.8829,11.3539,239.1704
2022-01-02 20:00:00,0.0927,0.9671,11.3325,238.2929
2022-01-03 00:00:00,0.1004,0.8705,11.0933,255.3776
2022-01-03 04:00:00,0.1010,0.7653,10.9176,269.0158
2022-01-03 08:00:00,0.1000,0.6824,11.3812,267.8231
2022-01-03 12:00:00,0.1016,0.7834,11.4631,247.7351
2022-01-03 16:00:00,0.1011,0.8884,11.3982,241.9639
2022-01-03 20:00:00,0.0994,1.0320,10.5581,238.5280
2022-01-04 00:00:00,0.1026,0.8344,9.4386,263.9410
2022-01-04 04:00:00,0.0998,0.7213,10.3908,270.5170
2022-01-04 08:00:00,0.1013,0.6246,11.2899,272.5511
2022-01-04 12:00:00,0.1033,0.5529,11.6987,269.9003
2022-01-04 16:00:00,0.1052,0.9177,11.6353,234.4713
2022-01-04 20:00:00,0.1083,0.8133,12.4940,251.3484
2022-01-05 00:00:00,0.1067,0.7804,12.6061,266.0184
2022-01-05 04:00:00,0.1072,0.6902,13.5785,272.7187
2022-01-05 08:00:00,0.1069,0.5784,13.7763,274.4130
2022-01-05 12:00:00,0.1093,0.4653,13.6910,275.7008
2022-01-05 16:00:00,0.1116,0.6512,13.1462,238.6425
2022-01-05 20:00:00,0.1158,0.6790,12.6212,239.9778
2022-01-06 00:00:00,0.1172,0.6793,12.2241,249.2917
2022-01-06 04:00:00,0.1157,0.5266,9.7169,270.3247
2022-01-06 08:00:00,0.1150,0.4706,9.1769,265.9055
2022-01-06 12:00:00,0.1173,0.5791,9.3729,239.0611
2022-01-06 16:00:00,0.1268,0.6861,7.0201,238.3301
2022-01-06 20:00:00,0.1366,1.0416,5.0800,230.1626
2022-01-07 00:00:00,0.1397,0.8106,8.3859,261.3063
2022-01-07 04:00:00,0.1391,0.6418,8.4200,259.3543
2022-01-07 08:00:00,0.1391,0.4598,8.2829,266.8413
2022-01-07 12:00:00,0.1391,0.3705,9.5680,271.4229
2022-01-07 16:00:00,0.1364,0.7239,13.0521,232.4065
2022-01-07 20:00:00,0.1393,0.8563,12.9225,237.4127
2022-01-08 00:00:00,0.1340,0.7473,11.3712,267.8853
2022-01-08 04:00:00,0.1330,0.6707,12.0259,272.5273
2022-01-08 08:00:00,0.1337,0.5894,12.5333,272.4962
2022-01-08 12:00:00,0.1362,0.8519,12.3735,238.5162
2022-01-08 16:00:00,0.1392,1.2328,11.2028,236.0013
2022-01-08 20:00:00,0.1572,1.3595,6.5336,230.9400
2022-01-09 00:00:00,0.1763,1.1932,9.0947,237.6595
2022-01-09 04:00:00,0.1862,1.1066,9.5561,240.6411
2022-01-09 08:00:00,0.1762,0.9455,10.1356,253.6165
2022-01-09 12:00:00,0.1663,1.0182,10.3103,246.5578
2022-01-09 16:00:00,0.1557,1.1427,10.2646,241.9680
2022-01-09 20:00:00,0.1794,1.2466,8.1264,235.6313
2022-01-10 00:00:00,0.1918,0.9440,9.3313,256.4052
2022-01-10 04:00:00,0.1892,0.7668,10.2445,269.8626
2022-01-10 08:00:00,0.1851,0.6256,10.9670,272.9767
2022-01-10 12:00:00,0.1885,0.5491,11.3107,273.8598
2022-01-10 16:00:00,0.1833,0.7953,10.9788,245.0837
2022-01-10 20:00:00,0.1884,0.7705,11.0172,244.6148
2022-01-11 00:00:00,0.1977,0.5751,10.6302,270.3105
2022-01-11 04:00:00,0.1973,0.5422,10.4270,274.2391
2022-01-11 08:00:00,0.1974,0.3964,10.4446,285.3829
2022-01-11 12:00:00,0.1886,0.3633,10.4816,274.3158
2022-01-11 16:00:00,0.1742,0.6030,9.5323,228.8896
2022-01-11 20:00:00,0.1811,0.7007,9.2411,226.2314
2022-01-12 00:00:00,0.1807,0.4538,10.6288,265.4514
2022-01-12 04:00:00,0.1801,0.4231,10.7683,267.8499
2022-01-12 08:00:00,0.1776,0.3888,10.8174,272.0363
2022-01-12 12:00:00,0.1771,0.4693,10.8794,252.9537
