field_1,field_2,field_3
"10595","555","559"
"10596","13","14"
"10597","0","0"
"10598","0","0"
"10599","435","441"
"10600","2","2"
"10601","16","15"
"10602","6","6"
"10603","33","29"
"10604","123","113"
"10605","0","0"
"10606","70","81"
"10607","0","0"
"10608","29","25"
"10609","55","70"
"10610","72","83"
"10611","105","106"
"10612","0","0"
"10613","0","0"
"10614","23","19"
"10615","30","24"
"10616","0","0"
"10617","0","0"
"10618","0","0"
"10619","77664","83542"
"10621","0","0"
"10622","0","0"
"10623","144454","154603"
"10625","0","0"
"10626","25406","27451"
"10629","11340","11665"
"10630","92495","98988"
"11105","0","0"
"11106","0","0"
"11107","0","0"
"11108","0","0"
"11109","0","0"
"11110","0","0"
"11111","0","0"
"11112","0","0"
"11113","0","0"
"11114","0","0"
"11115","0","0"
"11116","0","0"
"11117","0","0"
"11118","0","0"
"11119","0","0"
"11120","0","0"
"11121","348","353"
"11122","323","329"
"11123","0","0"
"11124","0","0"
"11125","188","194"
"11126","0","6"
"11127","0","0"
"11128","0","0"
"11129","0","0"
"11130","0","0"
"11131","0","0"
"11132","0","0"
"11133","180","186"
"11134","387","393"
"11135","0","0"
"11136","0","0"
"11137","7","16"
"11138","7","16"
"11139","0","0"
"11140","0","0"
"11141","0","0"
"11142","0","0"
"11143","0","0"
"11144","0","0"
"11145","0","0"
"11146","0","0"
"11147","0","0"
"11148","0","0"
"11149","0","0"
"11150","0","0"
"11151","0","0"
"11152","0","0"
"11153","0","0"
"11154","0","0"
"11155","0","0"
"11156","96","101"
"11157","0","0"
"11158","0","0"
"11159","0","0"
"11160","7","19"
"11161","0","0"
"11162","0","0"
"11163","0","0"
"11164","0","0"
"11165","0","0"
"11166","0","0"
"11167","0","3"
"11168","0","0"
"11169","0","0"
"11170","0","0"
"11171","106","116"
"11172","85","100"
"11173","0","0"
"11174","161","173"
"11175","0","0"
"11176","0","0"
"11177","0","0"
"11178","0","4"
"11179","0","0"
"11180","0","0"
"11181","0","0"
"11182","15","32"
"11183","0","0"
"11184","50","55"
"11185","21","20"
"11186","4","5"
"11187","33","24"
"11188","0","0"
"11189","363","396"
"11190","485","546"
"11191","341","394"
"11192","0","0"
"11193","0","0"
"11194","235","287"
"11195","502","621"
"11196","0","0"
"11197","28","29"
"11198","121","119"
"11199","0","0"
"11200","2467","2736"
"11201","21722","23602"
"11205","41295","44323"
"11209","46511","50095"
"11213","89760","95653"
"11689","0","0"
"11690","0","0"
"11691","0","0"
"11692","0","0"
"11693","0","0"
"11694","0","0"
"11695","0","0"
"11696","0","0"
"11697","0","0"
"11698","0","0"
"11699","0","0"
"11700","0","0"
"11701","0","0"
"11702","0","0"
"11703","0","0"
"11704","0","0"
"11705","0","0"
"11706","606","613"
"11707","0","0"
"11708","0","0"
"11709","0","0"
"11710","0","0"
"11711","0","2"
"11712","0","0"
"11713","0","0"
"11714","0","0"
"11715","0","0"
"11716","0","0"
"11717","0","0"
"11718","0","0"
"11719","78","87"
"11720","0","0"
"11721","0","0"
"11722","0","0"
"11723","0","0"
"11724","0","0"
"11725","0","0"
"11726","0","0"
"11727","0","0"
"11728","0","0"
"11729","0","0"
"11730","0","0"
"11731","0","0"
"11732","0","0"
"11733","0","0"
"11734","0","0"
"11735","0","0"
"11736","0","0"
"11737","0","0"
"11738","0","0"
"11739","0","0"
"11740","0","0"
"11741","0","0"
"11742","0","0"
"11743","0","0"
"11744","0","0"
"11745","0","0"
"11746","0","0"
"11747","0","0"
"11748","419","455"
"11749","0","0"
"11750","0","1"
"11751","56","67"
"11752","0","0"
"11753","34","52"
"11754","0","0"
"11755","58","67"
"11756","64","68"
"11757","76","92"
"11758","135","159"
"11759","233","274"
"11760","325","389"
"11761","402","456"
"11762","895","971"
"11763","1272","1380"
"11764","1417","1550"
"11765","132","141"
"11766","0","0"
"11767","37","26"
"11768","0","0"
"11769","241","287"
"11770","133","130"
"11771","0","0"
"11772","12496","13506"
"11773","289","319"
"11774","0","0"
"11775","2919","3111"
"11776","41881","44295"
"11777","403","435"
"11778","0","0"
"11779","22623","23810"
"11781","0","0"
"11782","0","0"
"11783","67419","70725"
"12276","0","0"
"12277","0","0"
"12278","0","0"
"12279","0","0"
"12280","0","0"
"12281","0","0"
"12282","0","0"
"12283","0","0"
"12284","0","0"
"12285","0","0"
"12286","0","0"
"12287","0","0"
"12288","0","0"
"12289","0","0"
"12290","0","0"
"12291","0","0"
"12292","0","0"
"12293","0","0"
"12294","339","346"
"12295","0","0"
"12296","0","0"
"12297","0","0"
"12298","292","298"
"12299","567","575"
"12300","0","0"
"12301","0","0"
"12302","0","0"
"12303","116","123"
"12304","0","0"
"12305","0","0"
"12306","0","0"
"12307","915","922"
"12308","0","0"
"12309","0","0"
"12310","0","0"
"12311","0","0"
"12312","0","0"
"12313","0","0"
"12314","0","0"
"12315","45","55"
"12316","0","0"
"12317","0","0"
"12318","0","0"
"12319","0","3"
"12320","0","0"
"12321","0","0"
"12322","0","0"
"12323","25","29"
"12324","0","0"
"12325","0","0"
"12326","176","183"
"12327","112","131"
"12328","4","11"
"12329","1053","1075"
"12330","0","0"
"12331","466","568"
"12332","139","162"
"12333","440","493"
"12334","2147","2546"
"12335","6019","7193"
"12336","49","57"
"12337","521","568"
"12338","446","485"
"12339","604","649"
"12340","419","475"
"12341","1419","1502"
"12342","0","0"
"12343","0","0"
"12344","147","169"
"12345","68","55"
"12346","0","0"
"12347","29223","29371"
"12348","654","742"
"12349","250","300"
"12350","0","0"
"12351","0","0"
"12352","121969","145109"
"12353","6826","7899"
"12354","0","0"
"12355","0","0"
"12356","0","0"
"12357","0","0"
"12358","236781","250166"
"12360","19008","19213"
"12361","243586","253108"
"12364","1776","689"
"12368","424576","437299"
"12890","0","0"
"12891","0","0"
"12892","0","0"
"12893","0","0"
"12894","0","0"
"12895","0","0"
"12896","0","0"
"12897","0","0"
"12898","0","0"
"12899","0","0"
"12900","0","0"
"12901","0","0"
"12902","0","0"
"12903","0","0"
"12904","0","0"
"12905","0","0"
"12906","0","0"
"12907","0","0"
"12908","0","0"
"12909","103","110"
"12910","0","0"
"12911","0","0"
"12912","0","0"
"12913","0","0"
"12914","0","0"
"12915","0","0"
"12916","0","0"
"12917","0","0"
"12918","0","0"
"12919","0","0"
"12920","0","0"
"12921","0","0"
"12922","0","0"
"12923","0","0"
"12924","0","0"
"12925","699","713"
"12926","561","570"
"12927","46","58"
"12928","562","575"
"12929","198","211"
"12930","812","823"
"12931","469","482"
"12932","0","0"
"12933","0","0"
"12934","42","49"
"12935","1459","1476"
"12936","1081","1103"
"12937","17","9"
"12938","618","634"
"12939","92","110"
"12940","415","444"
"12941","903","939"
"12942","159","171"
"12943","887","960"
"12944","0","0"
"12945","2716","3013"
"12946","10388","12216"
"12947","45247","51203"
"12948","5926","6666"
"12949","0","0"
"12950","957","1052"
"12951","0","0"
"12952","231","250"
"12953","0","0"
"12954","0","0"
"12955","0","0"
"12956","0","0"
"12957","225620","232291"
"12958","0","0"
"12959","262","270"
"12960","153077","155874"
"12962","11855","11941"
"12963","0","0"
"12964","259945","267137"
"12966","0","0"
"12967","71973","74103"
"13504","0","0"
"13505","0","0"
"13506","0","0"
"13507","0","0"
"13508","0","0"
"13509","0","0"
"13510","0","0"
"13511","0","0"
"13512","0","0"
"13513","0","0"
"13514","0","0"
"13515","0","0"
"13516","0","0"
"13517","0","0"
"13518","0","0"
"13519","0","0"
"13520","0","0"
"13521","0","0"
"13522","0","0"
"13523","0","0"
"13524","0","0"
"13525","0","0"
"13526","0","0"
"13527","0","0"
"13528","0","0"
"13529","0","0"
"13530","0","0"
"13531","0","0"
"13532","0","0"
"13533","0","0"
"13534","0","0"
"13535","0","0"
"13536","0","0"
"13537","54","50"
"13538","132","143"
"13539","0","0"
"13540","92","93"
"13541","15","8"
"13542","1332","1370"
"13543","995","1045"
"13544","0","0"
"13545","602","631"
"13546","1509","1554"
"13547","1796","1857"
"13548","972","992"
"13549","332","365"
"13550","1100","1151"
"13551","3047","3115"
"13552","114","90"
"13553","1191","1258"
"13554","1556","1637"
"13555","0","0"
"13556","988","1056"
"13557","0","0"
"13558","838","937"
"13559","40097","40395"
"13560","0","0"
"13561","0","0"
"13562","0","0"
"13563","167081","167834"
"13564","503","581"
"13565","5723","5832"
"13566","107707","107414"
"13568","44759","45082"
"13569","287389","293182"
"14103","0","0"
"14104","0","0"
"14105","0","0"
"14106","0","0"
"14107","0","0"
"14108","0","0"
"14109","0","0"
"14110","0","0"
"14111","0","0"
"14112","0","0"
"14113","0","0"
"14114","0","0"
"14115","0","0"
"14116","0","0"
"14117","0","0"
"14118","0","0"
"14119","0","0"
"14120","0","0"
"14121","0","0"
"14122","0","0"
"14123","0","0"
"14124","0","0"
"14125","0","0"
"14126","12","5"
"14127","0","0"
"14128","0","0"
"14129","0","0"
"14130","20","11"
"14131","0","0"
"14132","0","0"
"14133","0","0"
"14134","13","8"
"14135","1713","1737"
"14136","67","47"
"14137","1323","1380"
"14138","3322","3398"
"14139","1912","1936"
"14140","0","0"
"14141","2410","2469"
"14142","0","0"
"14143","0","0"
"14144","3122","3159"
"14145","0","0"
"14146","0","0"
"14147","456","446"
"14148","716","797"
"14149","2511","2568"
"14150","0","0"
"14151","4191","4287"
"14152","31570","31380"
"14155","0","0"
"14156","50502","50291"
"14159","0","0"
"14160","154491","153299"
"14163","30773","30341"
"14703","0","0"
"14704","0","0"
"14705","0","0"
"14706","0","0"
"14707","0","0"
"14708","0","0"
"14709","0","0"
"14710","0","0"
"14711","0","0"
"14712","0","0"
"14713","0","0"
"14714","0","0"
"14715","0","0"
"14716","0","0"
"14717","0","0"
"14718","4","3"
"14719","280","203"
"14720","2329","2662"
"14721","494","543"
"14722","2520","2601"
"14723","110","76"
"14724","642","623"
"14725","8507","9183"
"14726","0","0"
"14727","1","2"
"14728","1261","1205"
"14729","3573","4028"
"14730","1048","1108"
"14731","0","0"
"14732","109","113"
"14733","4868","4827"
"14734","0","0"
"14735","28015","27500"
"14739","35163","34647"
"14743","0","0"
"14744","54371","53931"
"14747","3003","3094"
"14748","14819","14898"
"15288","0","0"
"15289","33","35"
"15290","4252","4727"
"15291","2249","2361"
"15292","0","0"
"15293","0","0"
"15294","1514","1544"
"15295","16400","17803"
"15296","8","3"
"15297","0","0"
"15298","1295","1343"
"15299","6912","7272"
"15300","10","4"
"15301","64","65"
"15302","621","631"
"15303","5007","3666"
"15304","895","970"
"15305","152","59"
"15306","83532","84254"
"15308","760","815"
"15309","520","433"
"15310","55859","56939"
"15312","2627","2672"
"15313","921","998"
"15314","74190","75360"
"15316","0","0"
"15317","7105","7163"
"15318","60485","61630"
"15860","34","23"
"15861","69","68"
"15862","269","269"
"15863","13137","13618"
"15864","23","16"
"15865","63","62"
"15866","876","796"
"15867","11320","11022"
"15868","58","35"
"15869","149","143"
"15870","0","0"
"15871","649","649"
"15872","129","91"
"15873","248","232"
"15874","443","436"
"15875","1507","1485"
"15876","0","0"
"15877","4220","4264"
"15878","76346","77422"
"15880","0","0"
"15881","0","0"
"15882","79672","80502"
"15884","0","0"
"15885","0","0"
"15886","0","0"
"15887","274740","278443"
"15888","2265","2242"
"15889","0","0"
"15890","20974","20956"
"15891","83386","85489"
"16459","86","59"
"16460","229","222"
"16461","693","673"
"16462","1594","1545"
"16463","91","63"
"16464","155","148"
"16465","2025","1892"
"16466","9274","8801"
"16467","88","62"
"16468","162","153"
"16469","0","0"
"16470","6386","5848"
"16471","301","269"
"16472","387","361"
"16473","975","752"
"16474","15302","13585"
"16475","0","0"
"16476","0","0"
"16477","6987","6899"
"16478","175736","177460"
"16479","0","0"
"16480","1197","1120"
"16481","6334","6189"
"16482","176720","178104"
"16483","0","0"
"16484","5025","4917"
"16485","7502","7289"
"16486","172873","173831"
"16487","3360","3277"
"16488","0","0"
"16489","13342","13120"
"16490","321006","322218"
"17073","156","129"
"17074","655","497"
"17075","1220","939"
"17076","13054","11514"
"17077","542","451"
"17078","538","430"
"17079","6466","5579"
"17080","0","0"
"17081","118","59"
"17082","2448","1704"
"17083","1439","1290"
"17084","3683","3554"
"17085","0","0"
"17086","12612","10816"
"17087","0","0"
"17088","48","0"
"17089","0","0"
"17090","0","0"
"17091","56132","55944"
"17093","5952","5790"
"17094","0","0"
"17095","135774","135817"
"17097","0","0"
"17098","0","0"
"17099","217742","217244"
"17101","60","0"
"17102","86989","85661"
"17701","212","187"
"17702","166","142"
"17703","533","407"
"17704","88","13"
"17705","203","164"
"17706","593","430"
"17707","93","16"
"17708","6973","5735"
"17709","455","378"
"17710","179","69"
"17711","9529","8093"
"17712","35","0"
"17713","936","744"
"17714","11423","9668"
"17715","314","258"
"17716","1515","1408"
"17717","7457","6167"
"17718","0","0"
"17719","2114","1972"
"17720","0","0"
"17721","442","382"
"17722","1600","1482"
"17723","1822","1633"
"17724","604","331"
"17725","1443","1335"
"17726","1482","1317"
"17727","1591","1359"
"17728","803","522"
"17729","1896","1727"
"17730","1756","1526"
"17731","2073","1786"
"17732","724","381"
"17733","23299","22593"
"17737","2084","1790"
"17738","88725","87633"
"17741","0","0"
"17742","153483","152678"
"17745","76728","75579"
"18329","236","174"
"18330","633","586"
"18331","780","661"
"18332","1580","1332"
"18333","880","673"
"18334","2798","2583"
"18335","0","0"
"18336","1636","869"
"18337","330","267"
"18338","956","413"
"18339","866","553"
"18340","6643","6014"
"18341","2822","2665"
"18342","0","0"
"18343","11725","10680"
"18344","393","351"
"18345","4608","3964"
"18346","173","119"
"18347","1359","1262"
"18348","1580","1425"
"18349","254","205"
"18350","1193","1107"
"18351","1802","1656"
"18352","2212","2002"
"18353","809","741"
"18354","1357","1241"
"18355","2115","1927"
"18356","2183","1925"
"18357","1493","1402"
"18358","1816","1666"
"18359","2628","2381"
"18360","1258","925"
"18361","2189","1958"
"18362","1570","1280"
"18363","2188","1854"
"18364","17724","17058"
"18365","2294","2005"
"18366","926","542"
"18367","3585","3198"
"18368","93738","92116"
"18369","687","266"
"18370","8","0"
"18371","89077","86485"
"18373","1194","720"
"18374","85569","82251"
"18973","805","761"
"18974","3732","3322"
"18975","352","328"
"18976","953","896"
"18977","0","0"
"18978","8259","7711"
"18979","772","739"
"18980","1293","1222"
"18981","3912","3696"
"18982","4244","4098"
"18983","951","913"
"18984","1497","1418"
"18985","11319","11060"
"18986","639","622"
"18987","1376","1332"
"18988","1954","1866"
"18989","1616","1505"
"18990","2074","1896"
"18991","2237","1958"
"18992","0","0"
"18993","2162","2026"
"18994","2399","2183"
"18995","2334","1993"
"18996","31432","29802"
"18997","2513","2362"
"18998","1595","1364"
"18999","5283","4940"
"19000","78220","73892"
"19001","2548","2373"
"19002","4217","3941"
"19003","54334","51591"
"19005","93289","89071"
"19474","166","174"
"19475","130","137"
"19476","366","372"
"19478","0","0"
"19479","169","175"
"19480","184","189"
"19489","39","43"
"19490","443","498"
"19491","72","75"
"19492","302","307"
"19493","57","59"
"19494","985","1012"
"19495","850","885"
"19496","2100","2188"
"19505","176","184"
"19506","130","141"
"19507","190","202"
"19508","313","326"
"19509","218","224"
"19510","266","275"
"19511","359","369"
"19512","217","229"
"19521","505","519"
"19522","183","199"
"19523","248","265"
"19524","569","587"
"19525","281","293"
"19526","514","528"
"19527","65","60"
"19528","1852","1867"
"19537","16","10"
"19538","502","523"
"19539","586","608"
"19540","1006","1029"
"19541","109","113"
"19542","248","268"
"19543","745","766"
"19544","957","977"
"19553","0","0"
"19554","31","22"
"19555","25","16"
"19556","40","29"
"19557","0","0"
"19558","39","29"
"19559","43","32"
"19560","56","44"
"19577","592","620"
"19578","2273","2340"
"19579","865","870"
"19580","0","0"
"19581","720","757"
"19582","2424","2523"
"19583","5298","5386"
"19584","3078","3081"
"19585","943","1000"
"19586","922","964"
"19587","2876","2934"
"19588","644","649"
"19589","1175","1248"
"19590","13004","13446"
"19591","678","689"
"19592","1114","1127"
"19593","572","566"
"19594","955","937"
"19595","1620","1575"
"19596","1846","1755"
"19597","867","863"
"19598","1250","1234"
"19599","1805","1763"
"19600","2745","2659"
"19601","1109","1111"
"19602","1381","1373"
"19603","2151","2121"
"19604","3502","3431"
"19605","1502","1515"
"19606","1758","1763"
"19607","2846","2836"
"19608","20542","20828"
"19609","3978","3792"
"19610","30097","28992"
"19613","14000","13614"
"19617","29628","29421"
"20087","827","833"
"20088","5","1"
"20101","6717","6512"
"20102","2330","2156"
"20103","380","417"
"20104","73","76"
"20107","4472","4096"
"20108","86","89"
"20112","7003","6567"
"20117","167","172"
"20118","214","221"
"20119","172","182"
"20120","264","275"
"20121","0","0"
"20122","4905","5026"
"20123","362","370"
"20124","315","325"
"20125","151","140"
"20126","176","177"
"20127","388","395"
"20128","376","385"
"20130","8722","8210"
"20131","463","473"
"20132","764","840"
"20133","194","206"
"20134","376","388"
"20135","389","404"
"20136","209","225"
"20137","329","339"
"20138","480","490"
"20139","48","40"
"20140","34","25"
"20141","344","351"
"20142","486","489"
"20143","99","90"
"20144","471","482"
"20145","1331","1419"
"20146","2759","2427"
"20147","1153","1147"
"20148","485","489"
"20149","405","423"
"20150","530","549"
"20151","826","845"
"20152","820","838"
"20153","1081","1097"
"20154","215","234"
"20155","1237","1255"
"20156","0","0"
"20157","320","334"
"20158","466","483"
"20159","648","666"
"20160","14","9"
"20161","400","412"
"20162","580","597"
"20163","536","555"
"20164","297","317"
"20165","54","46"
"20166","47","36"
"20167","43","33"
"20168","54","42"
"20169","146","88"
"20170","315","247"
"20171","47","35"
"20172","56","44"
"20173","13","8"
"20174","612","519"
"20175","55","43"
"20176","47","35"
"20177","152","172"
"20178","41","34"
"20179","234","258"
"20180","342","371"
"20181","58","45"
"20182","65","51"
"20183","71","57"
"20184","0","0"
"20185","48","35"
"20186","64","51"
"20187","0","0"
"20188","511","536"
"20189","0","0"
"20190","0","0"
"20191","993","1019"
"20192","697","723"
"20193","878","906"
"20194","1688","1717"
"20195","0","0"
"20196","364","391"
"20197","7","4"
"20198","40","30"
"20199","57","46"
"20200","134","118"
"20201","199","222"
"20202","17","9"
"20203","150","128"
"20204","0","0"
"20205","434","458"
"20206","18","10"
"20207","220","197"
"20208","163","155"
"20209","0","0"
"20210","94","88"
"20211","248","232"
"20212","241","242"
"20217","619","633"
"20218","3764","4125"
"20219","618","651"
"20220","4077","4415"
"20221","976","1063"
"20222","0","0"
"20223","4466","4877"
"20224","9380","10153"
"20225","1172","1304"
"20226","1664","1815"
"20227","6075","6606"
"20228","7432","7921"
"20229","5090","5696"
"20230","4914","5474"
"20231","11209","12440"
"20232","0","0"
"20233","3548","3706"
"20234","268","284"
"20235","1200","1222"
"20236","1314","1340"
"20237","79","51"
"20238","1430","1458"
"20239","1502","1540"
"20240","930","977"
"20241","804","835"
"20242","1085","1128"
"20243","178","101"
"20244","2168","2243"
"20245","0","0"
"20246","0","0"
"20247","21300","21891"
"20248","66992","69487"
"20249","1438","1468"
"20250","2587","2615"
"20251","17698","18129"
"20253","3263","3323"
"20254","24296","25006"
"20257","34922","36099"
"20791","5029","4317"
"20792","583","577"
"20796","2070","1808"
"20799","593","573"
"20800","541","551"
"20803","18179","19540"
"20804","0","0"
"20805","478","489"
"20806","557","574"
"20807","527","547"
"20808","287","310"
"20809","537","548"
"20810","515","535"
"20811","583","605"
"20812","388","413"
"20813","606","630"
"20814","584","614"
"20815","591","621"
"20816","484","516"
"20817","549","592"
"20818","615","659"
"20819","784","827"
"20820","677","721"
"20821","799","824"
"20822","746","773"
"20823","757","788"
"20824","725","757"
"20825","582","611"
"20826","827","860"
"20827","1285","1321"
"20828","939","976"
"20829","545","582"
"20830","790","832"
"20831","909","954"
"20832","1298","1343"
"20833","604","654"
"20834","768","821"
"20835","855","912"
"20836","1532","1590"
"20837","1312","1343"
"20838","1013","1043"
"20839","0","0"
"20840","468","498"
"20841","617","652"
"20842","1099","1131"
"20843","0","0"
"20844","17","11"
"20845","593","637"
"20846","2101","2141"
"20847","0","0"
"20848","0","0"
"20849","498","555"
"20850","612","669"
"20851","4608","4669"
"20852","2724","2786"
"20853","0","0"
"20854","198","200"
"20855","186","183"
"20856","1637","1714"
"20857","135","132"
"20858","345","364"
"20859","1969","2081"
"20860","254","286"
"20861","149","135"
"20862","531","584"
"20863","3199","3557"
"20864","2539","2863"
"20865","0","0"
"20866","215","212"
"20867","1342","1527"
"20868","971","1107"
"20869","1942","2159"
"20870","535","604"
"20871","970","1079"
"20872","6229","6959"
"20873","0","0"
"20874","605","684"
"20875","1041","1166"
"20876","1227","1373"
"20877","267","297"
"20878","3710","4205"
"20879","4634","5190"
"20880","16784","18704"
"20881","4921","5579"
"20882","1375","1559"
"20883","17925","20044"
"20884","10262","11462"
"20885","0","0"
"20886","6955","7599"
"20887","12152","12543"
"20888","43455","46048"
"20889","13567","15340"
"20890","3808","4030"
"20891","146449","157564"
"20892","0","0"
"20893","10815","11963"
"20894","31401","34556"
"20895","0","0"
"20896","148591","153477"
"20897","0","0"
"20898","0","0"
"20899","141368","146035"
"20901","0","0"
"20902","58897","60704"
"20905","117619","121073"
"21458","1367","1539"
"21459","1351","1436"
"21460","693","754"
"21461","411","472"
"21464","10970","12438"
"21465","9039","10596"
"21474","502","565"
"21475","0","0"
"21476","652","719"
"21477","10518","10808"
"21478","15736","17941"
"21479","22173","24566"
"21480","44386","47058"
"21490","14399","14680"
"21491","13697","13882"
"21492","17802","17919"
"21493","20271","20279"
"21506","0","0"
"21507","0","0"
"21508","3753","4261"
"21509","3041","3457"
"21510","75949","76291"
"21511","58934","59168"
"21512","0","0"
"21513","1969","2166"
"21517","143016","143682"
"21522","18194","20605"
"21523","0","0"
"21524","12204","13592"
"21525","0","0"
"21526","12717","14113"
"21527","20681","22605"
"21528","35425","35662"
"21529","139356","141022"
"21530","74001","74532"
"21531","138355","139196"
"21538","65734","66538"
"21539","140080","144267"
