field_1,field_2,field_3
"3379","0","0"
"3380","29","17"
"3381","69","70"
"3382","0","0"
"3383","243","245"
"3384","13","6"
"3385","2","0"
"3386","0","0"
"3387","0","0"
"3388","21","16"
"3389","12","3"
"3390","13","4"
"3391","692","699"
"3392","145","117"
"3393","95","82"
"3394","172","173"
"3395","115","97"
"3396","182","174"
"3397","40","31"
"3398","37","26"
"3399","30","19"
"3400","21","10"
"3401","32","26"
"3402","24","17"
"3403","108","110"
"3404","19","12"
"3405","79","50"
"3406","56","28"
"3407","58","27"
"3408","0","0"
"3409","237","242"
"3410","114","96"
"3411","6749","5703"
"3412","56471","56477"
"3413","347","351"
"3414","156","159"
"3415","5191","3312"
"3416","0","0"
"3417","50","43"
"3418","3","1"
"3419","101","101"
"3420","0","0"
"3421","319","0"
"3422","57826","57005"
"3423","91402","90707"
"3425","115737","109193"
"3426","44114","43763"
"3427","74857","74353"
"3429","3366","2337"
"3430","0","0"
"3431","3166","2047"
"3433","7123","6567"
"3434","79633","81268"
"3435","0","0"
"3436","103407","102940"
"3852","0","0"
"3853","0","0"
"3854","0","0"
"3855","21","21"
"3856","0","0"
"3857","0","0"
"3858","13","13"
"3859","0","0"
"3860","0","0"
"3861","0","0"
"3862","0","0"
"3863","129","129"
"3864","0","0"
"3865","0","0"
"3866","195","195"
"3867","1888","1888"
"3868","533","533"
"3869","205","205"
"3870","0","0"
"3871","0","0"
"3872","153","153"
"3873","86","86"
"3874","231","231"
"3875","0","0"
"3876","0","0"
"3877","202","202"
"3878","240","240"
"3879","0","0"
"3880","0","0"
"3881","0","0"
"3882","0","0"
"3883","0","0"
"3884","108","108"
"3885","20","20"
"3886","12","10"
"3887","18","17"
"3888","0","0"
"3889","0","0"
"3890","0","0"
"3891","5","4"
"3892","0","0"
"3893","17","17"
"3894","0","0"
"3895","2","1"
"3896","19","19"
"3897","0","0"
"3898","61","61"
"3899","0","0"
"3900","0","0"
"3901","6","3"
"3902","7","4"
"3903","1","0"
"3904","11","10"
"3905","48","48"
"3906","16","14"
"3907","21","21"
"3908","45","45"
"3909","0","0"
"3910","47","47"
"3911","34","35"
"3912","0","0"
"3913","33","33"
"3914","1","1"
"3915","78","78"
"3916","31","29"
"3917","28","25"
"3918","11","7"
"3919","72","74"
"3920","35","35"
"3921","85","85"
"3922","0","0"
"3923","119","120"
"3924","0","0"
"3925","85","86"
"3926","10","8"
"3927","69","69"
"3928","0","0"
"3929","44","44"
"3930","0","0"
"3931","0","0"
"3932","9","5"
"3933","21","18"
"3934","0","0"
"3935","0","0"
"3936","232","233"
"3937","0","0"
"3938","0","0"
"3939","3102","3102"
"3940","14","13"
"3941","144","145"
"3942","0","0"
"3943","0","0"
"3944","68","68"
"3945","132","133"
"3946","0","0"
"3947","39","39"
"3948","0","0"
"3949","22879","20702"
"3950","0","0"
"3951","20851","20735"
"3952","1457","1267"
"3953","1330","1116"
"3954","14800","15309"
"3955","21655","21916"
"3956","0","0"
"3957","0","0"
"3958","54266","56090"
"3959","18928","18986"
"3960","1093","896"
"3961","720","568"
"3962","172","98"
"3963","21375","21482"
"4424","0","0"
"4425","0","0"
"4426","39","39"
"4427","816","816"
"4428","4","4"
"4429","0","0"
"4430","0","0"
"4431","206","206"
"4432","0","0"
"4433","0","0"
"4434","0","0"
"4435","1884","1884"
"4436","0","0"
"4437","0","0"
"4438","0","0"
"4439","0","0"
"4440","0","0"
"4441","0","0"
"4442","0","0"
"4443","0","0"
"4444","0","0"
"4445","82","82"
"4446","58","58"
"4447","50","49"
"4448","0","0"
"4449","58","58"
"4450","0","0"
"4451","0","0"
"4452","106","106"
"4453","0","0"
"4454","0","0"
"4455","0","0"
"4456","0","0"
"4457","10","10"
"4458","0","0"
"4459","0","0"
"4460","34","34"
"4461","0","0"
"4462","53","53"
"4463","15","15"
"4464","6","6"
"4465","13","13"
"4466","8","8"
"4467","21","21"
"4468","13","13"
"4469","0","0"
"4470","39","39"
"4471","0","0"
"4472","46","46"
"4473","12","12"
"4474","0","0"
"4475","0","0"
"4476","0","0"
"4477","15","15"
"4478","37","37"
"4479","165","165"
"4480","9","9"
"4481","0","0"
"4482","0","0"
"4483","0","0"
"4484","35","35"
"4485","0","0"
"4486","0","0"
"4487","145","145"
"4488","0","0"
"4489","18","18"
"4490","0","0"
"4491","0","0"
"4492","0","0"
"4493","36","36"
"4494","14","14"
"4495","0","0"
"4496","0","0"
"4497","0","0"
"4498","0","0"
"4499","0","0"
"4500","270","270"
"4501","0","0"
"4502","0","0"
"4503","0","0"
"4504","27","28"
"4505","8","7"
"4506","2","1"
"4507","24","20"
"4508","0","0"
"4509","4","3"
"4510","0","0"
"4511","0","0"
"4512","0","0"
"4513","15","14"
"4514","1","0"
"4515","0","0"
"4516","61","61"
"4517","7","5"
"4518","0","0"
"4519","327","332"
"4520","26","16"
"4521","1079","904"
"4522","402","277"
"4523","21738","22029"
"4524","1037","1045"
"4525","1025","866"
"4526","425","289"
"4527","25070","25420"
"4528","2431","2441"
"4529","209","163"
"4530","549","427"
"4531","22467","22762"
"4532","0","0"
"4533","219","172"
"4534","600","477"
"4535","20649","20979"
"5038","0","0"
"5039","0","0"
"5040","0","0"
"5041","2168","2168"
"5042","0","0"
"5043","0","0"
"5044","0","0"
"5045","701","701"
"5046","18","18"
"5047","0","0"
"5048","0","0"
"5049","0","0"
"5050","0","0"
"5051","0","0"
"5052","0","0"
"5053","0","0"
"5054","0","0"
"5055","0","0"
"5056","0","0"
"5057","0","0"
"5058","0","0"
"5059","0","0"
"5060","0","0"
"5061","0","0"
"5062","256","256"
"5063","24","24"
"5064","0","0"
"5065","45","45"
"5066","379","379"
"5067","0","0"
"5068","33","33"
"5069","0","0"
"5070","23","23"
"5071","9","9"
"5072","31","31"
"5073","0","0"
"5074","0","0"
"5075","25","25"
"5076","22","22"
"5077","0","0"
"5078","0","0"
"5079","66","66"
"5080","0","0"
"5081","27","27"
"5082","0","0"
"5083","0","0"
"5084","179","179"
"5085","15","15"
"5086","3","3"
"5087","0","0"
"5088","0","0"
"5089","0","0"
"5090","21","21"
"5091","7","7"
"5092","19","19"
"5093","0","0"
"5094","0","0"
"5095","0","0"
"5096","47","47"
"5097","0","0"
"5098","0","0"
"5099","0","0"
"5100","20","20"
"5101","7","7"
"5102","485","485"
"5103","12","12"
"5104","63","63"
"5105","0","0"
"5106","463","463"
"5107","88","88"
"5108","0","0"
"5109","0","0"
"5110","3","2"
"5111","0","0"
"5112","0","0"
"5113","11","11"
"5114","0","0"
"5115","0","0"
"5116","3","3"
"5117","0","0"
"5118","11","12"
"5119","11","9"
"5120","14","10"
"5121","3","1"
"5122","0","0"
"5123","0","0"
"5124","62","64"
"5125","2","0"
"5126","9","9"
"5127","17","18"
"5128","79","80"
"5129","8","4"
"5130","0","0"
"5131","35","36"
"5132","0","0"
"5133","7","4"
"5134","152","141"
"5135","106","65"
"5136","697","592"
"5137","21845","22094"
"5138","127","124"
"5139","130","99"
"5140","0","0"
"5141","23853","24096"
"5142","42","39"
"5143","3084","2733"
"5144","0","0"
"5145","47512","47843"
"5146","82","85"
"5147","116","104"
"5148","0","0"
"5149","71510","71775"
"5652","0","0"
"5653","0","0"
"5654","0","0"
"5655","0","0"
"5656","0","0"
"5657","0","0"
"5658","0","0"
"5659","0","0"
"5660","0","0"
"5661","0","0"
"5662","0","0"
"5663","0","0"
"5664","0","0"
"5665","0","0"
"5666","0","0"
"5667","0","0"
"5668","74","74"
"5669","0","0"
"5670","14","14"
"5671","341","341"
"5672","1216","1216"
"5673","0","0"
"5674","0","0"
"5675","0","0"
"5676","1208","1208"
"5677","390","390"
"5678","0","0"
"5679","0","0"
"5680","608","608"
"5681","1060","1060"
"5682","0","0"
"5683","0","0"
"5684","0","0"
"5685","0","0"
"5686","17","17"
"5687","290","290"
"5688","94","94"
"5689","0","0"
"5690","0","0"
"5691","0","0"
"5692","0","0"
"5693","45","44"
"5694","3","3"
"5695","15","15"
"5696","0","0"
"5697","17","17"
"5698","0","0"
"5699","0","0"
"5700","36","36"
"5701","0","0"
"5702","0","0"
"5703","14","14"
"5704","0","0"
"5705","0","0"
"5706","0","0"
"5707","0","0"
"5708","0","0"
"5709","0","0"
"5710","0","0"
"5711","11","11"
"5712","76","76"
"5713","399","399"
"5714","0","0"
"5715","0","0"
"5716","0","0"
"5717","35","35"
"5718","0","0"
"5719","0","0"
"5720","0","0"
"5721","0","0"
"5722","0","0"
"5723","0","0"
"5724","41","41"
"5725","18","18"
"5726","0","0"
"5727","21","21"
"5728","0","0"
"5729","7","7"
"5730","0","0"
"5731","74","74"
"5732","0","0"
"5733","0","0"
"5734","2113","2114"
"5735","0","0"
"5736","5","5"
"5737","0","0"
"5738","0","0"
"5739","0","0"
"5740","10","10"
"5741","0","0"
"5742","4048","4048"
"5743","0","0"
"5744","0","0"
"5745","7","7"
"5746","0","0"
"5747","89","91"
"5748","63","64"
"5749","2554","2377"
"5750","25555","25403"
"5752","99","101"
"5753","297","304"
"5754","735","650"
"5756","289","231"
"5757","0","0"
"5758","2502","1836"
"5759","5551","4520"
"5760","0","0"
"5761","18222","17510"
"6281","23","23"
"6282","0","0"
"6283","0","0"
"6284","0","0"
"6285","32","32"
"6286","0","0"
"6287","0","0"
"6288","0","0"
"6289","51","51"
"6290","16","16"
"6291","0","0"
"6292","0","0"
"6293","0","0"
"6294","0","0"
"6295","0","0"
"6296","0","0"
"6297","197","197"
"6298","222","222"
"6299","163","163"
"6300","182","182"
"6301","248","248"
"6302","0","0"
"6303","0","0"
"6304","0","0"
"6305","650","649"
"6306","346","346"
"6307","0","0"
"6308","47","47"
"6309","43","43"
"6310","849","849"
"6311","0","0"
"6312","0","0"
"6313","0","0"
"6314","0","0"
"6315","0","0"
"6316","0","0"
"6317","294","294"
"6318","0","0"
"6319","0","0"
"6320","32","32"
"6321","192","192"
"6322","7","7"
"6323","0","0"
"6324","0","0"
"6325","0","0"
"6326","0","0"
"6327","1","1"
"6328","0","0"
"6329","0","0"
"6330","0","0"
"6331","0","0"
"6332","16","15"
"6333","101","101"
"6334","0","0"
"6335","0","0"
"6336","0","0"
"6337","28","28"
"6338","0","0"
"6339","0","0"
"6340","0","0"
"6341","4","4"
"6342","86","86"
"6343","0","0"
"6344","4","4"
