ISOTime,wl,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
01/01/2013 00:00:00,0.324000,33.279340,25.338145,1.000000,0.000000,5.039846,157.530602,65.325236,0.761438,1.196742,0.205045,413.346139,62.533846,13.139993,17.642965,0.876334,3.191982,23.543144,1.101884
01/01/2013 01:00:00,0.324000,33.283705,25.341412,1.000000,0.000000,5.042824,157.426659,65.420597,0.761402,1.198125,0.205909,413.098024,62.523921,13.161260,17.633112,0.875768,3.191383,23.541017,1.102268
01/01/2013 02:00:00,0.284000,33.288071,25.344679,1.000000,0.000000,5.045801,157.322717,65.515958,0.761367,1.199507,0.206774,412.849910,62.513996,13.182527,17.623258,0.875201,3.190784,23.538890,1.102652
01/01/2013 03:00:00,0.224000,33.292436,25.347946,1.000000,0.000000,5.048778,157.218774,65.611318,0.761331,1.200889,0.207638,412.601796,62.504072,13.203794,17.613405,0.874634,3.190185,23.536763,1.103036
01/01/2013 04:00:00,0.154000,33.296802,25.351212,1.000000,0.000000,5.051756,157.114831,65.706679,0.761296,1.202272,0.208502,412.353681,62.494147,13.225061,17.603551,0.874068,3.189586,23.534637,1.103420
01/01/2013 05:00:00,0.074000,33.301168,25.354479,1.000000,0.000000,5.054733,157.010889,65.802040,0.761260,1.203654,0.209367,412.105567,62.484223,13.246328,17.593697,0.873501,3.188987,23.532510,1.103805
01/01/2013 06:00:00,0.004000,33.305533,25.357746,1.000000,0.000000,5.057711,156.906946,65.897400,0.761225,1.205036,0.210231,411.857453,62.474298,13.267595,17.583844,0.872934,3.188388,23.530383,1.104189
01/01/2013 07:00:00,-0.056000,33.309899,25.361013,1.000000,0.000000,5.060688,156.803003,65.992761,0.761190,1.206418,0.211096,411.609338,62.464374,13.288862,17.573990,0.872368,3.187789,23.528257,1.104573
01/01/2013 08:00:00,-0.106000,33.314264,25.364280,1.000000,0.000000,5.063665,156.699061,66.088122,0.761154,1.207801,0.211960,411.361224,62.454449,13.310129,17.564137,0.871801,3.187190,23.526130,1.104957
01/01/2013 09:00:00,-0.146000,33.318630,25.367546,1.000000,0.000000,5.066643,156.595118,66.183482,0.761119,1.209183,0.212824,411.113110,62.444524,13.331396,17.554283,0.871234,3.186590,23.524003,1.105341
01/01/2013 10:00:00,-0.146000,33.322996,25.370813,1.000000,0.000000,5.069620,156.491176,66.278843,0.761083,1.210565,0.213689,410.864995,62.434600,13.352663,17.544429,0.870668,3.185991,23.521877,1.105726
01/01/2013 11:00:00,-0.106000,33.327361,25.374080,1.000000,0.000000,5.072597,156.387233,66.374204,0.761048,1.211947,0.214553,410.616881,62.424675,13.373930,17.534576,0.870101,3.185392,23.519750,1.106110
01/01/2013 12:00:00,-0.076000,33.331727,25.377347,1.000000,0.000000,5.075575,156.283290,66.469564,0.761012,1.213330,0.215418,410.368767,62.414751,13.395197,17.524722,0.869534,3.184793,23.517623,1.106494
01/01/2013 13:00:00,-0.016000,33.336092,25.380613,1.000000,0.000000,5.078552,156.179348,66.564925,0.760977,1.214712,0.216282,410.120652,62.404826,13.416463,17.514869,0.868968,3.184194,23.515497,1.106878
01/01/2013 14:00:00,0.014000,33.340458,25.383880,1.000000,0.000000,5.081530,156.075405,66.660286,0.760942,1.216094,0.217146,409.872538,62.394902,13.437730,17.505015,0.868401,3.183595,23.513370,1.107262
01/01/2013 15:00:00,0.034000,33.344824,25.387147,1.000000,0.000000,5.084507,155.971462,66.755646,0.760906,1.217476,0.218011,409.624424,62.384977,13.458997,17.495161,0.867834,3.182996,23.511243,1.107646
01/01/2013 16:00:00,0.054000,33.349189,25.390414,1.000000,0.000000,5.087484,155.867520,66.851007,0.760871,1.218859,0.218875,409.376309,62.375052,13.480264,17.485308,0.867268,3.182397,23.509116,1.108031
01/01/2013 17:00:00,0.064000,33.353555,25.393680,1.000000,0.000000,5.090462,155.763577,66.946368,0.760835,1.220241,0.219740,409.128195,62.365128,13.501531,17.475454,0.866701,3.181798,23.506990,1.108415
01/01/2013 18:00:00,0.094000,33.357920,25.396947,1.000000,0.000000,5.093439,155.659634,67.041728,0.760800,1.221623,0.220604,408.880081,62.355203,13.522798,17.465601,0.866134,3.181198,23.504863,1.108799
01/01/2013 19:00:00,0.134000,33.362286,25.400214,1.000000,0.000000,5.096416,155.555692,67.137089,0.760764,1.223006,0.221468,408.631966,62.345279,13.544065,17.455747,0.865568,3.180599,23.502736,1.109183
01/01/2013 20:00:00,0.174000,33.366652,25.403481,1.000000,0.000000,5.099394,155.451749,67.232450,0.760729,1.224388,0.222333,408.383852,62.335354,13.565332,17.445893,0.865001,3.180000,23.500610,1.109567
01/01/2013 21:00:00,0.224000,33.371017,25.406748,1.000000,0.000000,5.102371,155.347806,67.327810,0.760694,1.225770,0.223197,408.135738,62.325430,13.586599,17.436040,0.864434,3.179401,23.498483,1.109951
01/01/2013 22:00:00,0.254000,33.375383,25.410014,1.000000,0.000000,5.105349,155.243864,67.423171,0.760658,1.227152,0.224062,407.887624,62.315505,13.607866,17.426186,0.863868,3.178802,23.496356,1.110336
01/01/2013 23:00:00,0.294000,33.379748,25.413281,1.000000,0.000000,5.108326,155.139921,67.518532,0.760623,1.228535,0.224926,407.639509,62.305580,13.629133,17.416332,0.863301,3.178203,23.494230,1.110720
02/01/2013 00:00:00,0.314000,33.384114,25.416548,1.000000,0.000000,5.111303,155.035979,67.613892,0.760587,1.229917,0.225790,407.391395,62.295656,13.650400,17.406479,0.862735,3.177604,23.492103,1.111104
