Date,pressure,SW_radiation,LW_ratidation,Air_temperature,WINDU,WINDV,Rain,Relative_humidity
Unit,Pa,W/m2,W/m2,degrees,m/s,m/s,m/day,percentage
2022-11-01 08:00:00,102698.0078,0.0000,0.0000,13.5446,-2.9415,1.8342,0.0000,68.0810
2022-11-01 08:30:00,102656.7422,660.8981,296.1727,14.1946,-2.2548,2.5053,0.0000,68.6197
2022-11-01 09:00:00,102632.5547,758.3553,299.2290,14.9685,-1.6092,2.3172,0.0000,65.3756
2022-11-01 09:30:00,102569.0547,844.7133,301.9461,15.5803,-0.7056,1.5504,0.0000,63.1462
2022-11-01 10:00:00,102582.4062,917.3237,304.1952,15.6656,2.2915,0.6066,0.0000,65.8979
2022-11-01 10:30:00,102569.7656,976.2047,304.6857,15.7002,2.7377,3.4295,0.0000,68.2347
2022-11-01 11:00:00,102506.3516,1019.6741,304.8584,15.5527,3.1446,4.0075,0.0000,69.9648
2022-11-01 11:30:00,102486.4922,1046.3657,306.5279,15.8593,3.7317,3.6403,0.0000,69.2151
2022-11-01 12:00:00,102482.7500,1055.9976,308.6151,16.2319,4.2691,3.0021,0.0000,67.9554
2022-11-01 12:30:00,102454.9531,1048.6625,309.8170,16.3156,4.9478,3.3415,0.0000,69.8827
2022-11-01 13:00:00,102427.5312,1024.2032,310.5706,16.2416,5.3944,4.2943,0.0000,71.9551
2022-11-01 13:30:00,102403.4062,983.5728,311.4297,16.3509,5.0659,5.2611,0.0000,71.7433
2022-11-01 14:00:00,102377.1953,927.2995,312.2852,16.4038,4.9263,5.6525,0.0000,73.7909
2022-11-01 14:30:00,102353.4922,856.5135,313.5263,16.5646,4.5539,6.1830,0.0000,74.3410
2022-11-01 15:00:00,102352.7969,772.7215,314.7118,16.7534,4.4024,6.7372,0.0000,74.6484
2022-11-01 15:30:00,102343.0078,677.1550,316.3868,16.8604,4.1914,7.1036,0.0000,76.6429
2022-11-01 16:00:00,102330.9297,572.1841,317.9485,16.8402,4.1469,7.5789,0.0000,79.6081
2022-11-01 16:30:00,102334.4297,460.6096,319.3248,16.8573,4.1611,7.9782,0.0000,81.6299
2022-11-01 17:00:00,102341.5000,345.3091,320.5950,16.9571,4.0283,8.1563,0.0000,82.2776
2022-11-01 17:30:00,102337.1562,229.8320,321.2694,17.1141,3.8385,8.1513,0.0000,81.3923
2022-11-01 18:00:00,102333.4141,118.9597,322.0027,17.2815,3.6892,8.1517,0.0000,80.7965
2022-11-01 18:30:00,102343.7656,24.3961,323.0170,17.4235,3.4885,8.1600,0.0000,81.0723
2022-11-01 19:00:00,102352.3906,0.0000,323.7172,17.5104,3.2926,8.2191,0.0000,82.1537
2022-11-01 19:30:00,102359.6094,0.0000,324.3313,17.6161,2.9229,8.0047,0.0000,82.4535
2022-11-01 20:00:00,102368.5625,0.0000,325.0901,17.6973,2.4948,7.6235,0.0000,83.4655
2022-11-01 20:30:00,102370.3750,0.0000,326.0816,17.8563,1.9072,7.2210,0.0000,84.4864
2022-11-01 21:00:00,102329.1641,0.0000,326.4708,18.0126,0.8681,6.7928,0.0000,81.6532
2022-11-01 21:30:00,102317.9297,0.0000,325.8427,18.0035,-0.2293,6.9540,0.0000,80.6302
2022-11-01 22:00:00,102326.6641,0.0000,323.3902,17.4790,-1.5814,7.9075,0.0000,78.3511
