ID,Material_ID
   532,    16
   533,    16
   534,    16
   535,    16
   536,    16
   537,    16
   538,    60
   539,    60
   540,    16
   541,    16
   542,    16
   543,    16
   544,    60
   545,    16
   546,    16
   547,    16
   548,    16
   549,    16
   550,    16
   551,    16
   552,    16
   553,    16
   554,    16
   555,    16
   556,    16
   557,    16
   558,    60
   559,    16
   560,    16
   561,    60
   562,    60
   563,    16
   564,    16
   565,    16
   566,    16
   567,    16
   568,    16
   569,    16
   570,    16
   571,    16
   572,    16
   573,    16
   574,    16
   575,    16
   576,    16
   577,    16
   578,    60
   579,    60
   580,    60
   581,    16
   582,    16
   583,    60
   584,    60
   585,    60
   586,    60
   587,    60
   588,    60
   589,    16
   590,    16
   591,    16
   592,    16
   593,    16
   594,    16
   595,    16
   596,    16
   597,    16
   598,    16
   599,    16
   600,    16
   601,    16
   602,    16
   603,    16
   604,    16
   605,    16
   606,    16
   607,    16
   608,    60
   609,    60
   610,    60
   611,    60
   612,    16
   613,    60
   614,    60
   615,    16
   616,    60
   617,    60
   618,    60
   619,    60
   620,    16
   621,    16
   622,    16
   623,    16
   624,    16
   625,    16
   626,    16
   627,    16
   628,    16
   629,    16
   630,    16
   631,    60
   632,    16
   633,    60
   634,    60
   635,    60
   636,    60
   637,    60
   638,    60
   639,    60
   640,    60
   641,    60
   642,    60
   643,    60
   644,    16
   645,    60
   646,    16
   647,    60
   648,    16
   649,    60
   650,    16
   651,    16
   652,    16
   653,    16
   654,    16
   655,    16
   656,    16
   657,    16
   658,    16
   659,    16
   660,    16
   661,    60
   662,    60
   663,    60
   664,    60
   665,    16
   666,    60
   667,    60
   668,    60
   669,    60
   670,    60
   671,    60
   672,    60
   673,    16
   674,    16
   675,    16
   676,    60
   677,    60
   678,    60
   679,    60
   680,    60
   681,    16
   682,    16
   683,    16
   684,    16
   685,    16
   686,    16
   687,    16
   688,    16
   689,    16
   690,    60
   691,    60
   692,    60
   693,    60
   694,    60
   695,    60
   696,    60
   697,    16
   698,    16
   699,    16
   700,    16
   701,    16
   702,    60
   703,    16
   704,    16
   705,    60
   706,    16
   707,    16
   708,    16
   709,    16
   710,    16
   711,    16
   712,    16
   713,    16
   714,    16
   715,    16
   716,    16
   717,    16
   718,    16
   719,    60
   720,    60
   721,    16
   722,    16
   723,    16
   724,    16
   725,    16
   726,    16
   727,    16
   728,    16
   729,    60
   730,    60
   731,    16
   732,    16
   733,    16
   734,    16
   735,    16
   736,    16
   737,    16
   738,    16
   739,    16
   740,    16
   741,    60
   742,    60
   743,    16
   744,    16
   745,    16
   746,    16
   747,    16
   748,    16
   749,    60
   750,    60
   751,    16
   752,    60
   753,    60
   754,    16
   755,    16
   756,    16
   757,    16
   758,    16
   759,    60
   760,    60
   761,    60
   762,    16
   763,    16
   764,    16
   765,    16
   766,    16
   767,    16
   768,    16
   769,    16
   770,    16
   771,    16
   772,    16
   773,    16
   774,    60
   775,    16
   776,    16
   777,    16
   778,    16
   779,    16
   780,    16
   781,    16
   782,    16
   783,    16
   784,    16
   785,    16
   786,    16
   787,    16
   788,    60
   789,    60
   790,    60
   791,    16
   792,    60
   793,    60
   794,    16
   795,    16
   796,    16
   797,    60
   798,    16
   799,    16
   800,    16
   801,    16
   802,    16
   803,    16
   804,    16
   805,    16
   806,    16
   807,    16
   808,    16
   809,    16
   810,    16
   811,    16
   812,    16
   813,    16
   814,    16
   815,    16
   816,    16
   817,    16
   818,    16
   819,    60
   820,    16
   821,    16
   822,    16
   823,    60
   824,    60
   825,    60
   826,    16
   827,    16
   828,    16
   829,    16
   830,    16
   831,    16
   832,    16
   833,    16
   834,    16
   835,    16
   836,    16
   837,    16
   838,    16
   839,    16
   840,    16
   841,    16
   842,    16
   843,    16
   844,    16
   845,    16
   846,    16
   847,    16
   848,    16
   849,    16
   850,    16
   851,    60
   852,    16
   853,    60
   854,    16
   855,    16
   856,    16
   857,    16
   858,    16
   859,    16
   860,    16
   861,    16
   862,    16
   863,    16
   864,    16
   865,    16
   866,    16
   867,    16
   868,    16
   869,    16
   870,    16
   871,    16
   872,    16
   873,    16
   874,    16
   875,    16
   876,    16
   877,    16
   878,    16
   879,    16
   880,    16
   881,    16
   882,    16
   883,    16
   884,    16
   885,    16
   886,    16
   887,    16
   888,    16
   889,    16
   890,    16
   891,    16
   892,    16
   893,    16
   894,    16
   895,    16
   896,    16
   897,    16
   898,    16
   899,    16
   900,    16
   901,    16
   902,    16
   903,    16
   904,    16
   905,    16
   906,    16
   907,    60
   908,    16
   909,    16
   910,    16
   911,    16
   912,    16
   913,    60
   914,    16
   915,    16
   916,    16
   917,    16
   918,    16
   919,    16
   920,    16
   921,    16
   922,    16
   923,    16
   924,    16
   925,    16
   926,    16
   927,    16
   928,    16
   929,    16
   930,    16
   931,    16
   932,    16
   933,    16
   934,    16
   935,    16
   936,    16
   937,    60
   938,    60
   939,    60
   940,    16
   941,    16
   942,    60
   943,    16
   944,    60
   945,    16
   946,    16
   947,    16
   948,    16
   949,    16
   950,    16
   951,    16
   952,    16
   953,    16
   954,    16
   955,    16
   956,    16
   957,    16
   958,    16
   959,    16
   960,    16
   961,    16
   962,    16
   963,    16
   964,    16
   965,    16
   966,    16
   967,    16
   968,    16
   969,    16
   970,    16
   971,    16
   972,    16
   973,    16
   974,    16
   975,    16
   976,    16
   977,    16
   978,    16
   979,    16
   980,    16
   981,    16
   982,    16
   983,    16
   984,    16
   985,    16
   986,    16
   987,    16
   988,    16
   989,    16
   990,    16
   991,    16
   992,    16
   993,    16
   994,    16
   995,    16
   996,    16
   997,    16
   998,    16
   999,    16
  1000,    16
  1001,    16
  1002,    16
  1003,    16
  1004,    16
  1005,    16
  1006,    16
  1007,    16
  1008,    16
  1009,    16
  1010,    16
  1011,    16
  1012,    16
  1013,    16
  1014,    16
  1015,    16
  1016,    16
  1017,    16
  1018,    16
  1019,    16
  1020,    16
  1021,    16
  1022,    16
  1023,    16
  1024,    16
  1025,    16
  1026,    16
  1027,    16
  1028,    16
  1029,    16
  1030,    16
  1031,    16
  1032,    16
  1033,    16
  1034,    16
  1035,    16
  1036,    16
  1037,    16
  1038,    16
  1039,    16
  1040,    16
  1041,    16
  1042,    16
  1043,     1
  1044,     1
  1045,     1
  1046,     1
  1047,    81
  1048,    16
  1049,     1
  1050,     1
  1051,     1
  1052,    81
  1053,    81
  1054,    81
  1055,    81
  1056,    81
  1057,    81
  1058,    81
  1059,    81
  1060,    81
  1061,    16
  1062,     1
  1063,     1
  1064,     1
  1065,    81
  1066,    81
  1067,    81
  1068,    81
  1069,    81
  1070,    81
  1071,    81
  1072,    81
  1073,    81
  1074,    81
  1075,    81
  1076,    81
  1077,    81
  1078,    81
  1079,     1
  1080,     1
  1081,     1
  1082,    81
  1083,    81
  1084,    81
  1085,    81
  1086,    81
  1087,    81
  1088,    81
  1089,    81
  1090,    81
  1091,    81
  1092,    81
  1093,    81
  1094,    81
  1095,    81
  1096,    81
  1097,    81
  1098,    81
  1099,    81
  1100,     1
  1101,     1
  1102,     1
  1103,    81
  1104,    81
  1105,    81
  1106,    81
  1107,    81
  1108,    81
  1109,    81
  1110,    81
  1111,    81
  1112,    81
  1113,    81
  1114,    81
  1115,    81
  1116,    81
  1117,    81
  1118,    81
  1119,    81
  1120,    81
  1121,    81
  1122,    81
  1123,    81
  1124,    81
  1125,    81
  1126,    81
  1127,    81
  1128,    81
  1129,     1
  1130,     1
  1131,     1
  1132,    81
  1133,     1
  1134,    81
  1135,    81
  1136,    81
  1137,    81
  1138,    81
  1139,    81
  1140,    81
  1141,    81
  1142,    81
  1143,    81
  1144,    81
  1145,    81
  1146,    81
  1147,    81
  1148,    81
  1149,    81
  1150,    81
  1151,    81
  1152,    81
  1153,    81
  1154,    81
  1155,    81
  1156,    81
  1157,    81
  1158,    81
  1159,    81
  1160,    81
  1161,    81
  1162,    81
  1163,    81
  1164,    81
  1165,    81
  1166,     1
  1167,     1
  1168,     1
  1169,    81
  1170,     1
  1171,    81
  1172,     1
  1173,     1
  1174,     1
  1175,     1
  1176,    81
  1177,    81
  1178,    81
  1179,    81
  1180,    81
  1181,    81
  1182,    81
  1183,    81
  1184,    81
  1185,    81
  1186,    81
  1187,    81
  1188,    81
  1189,    81
  1190,    81
  1191,    81
  1192,    81
  1193,    81
  1194,    81
  1195,    81
  1196,    81
  1197,    81
  1198,    81
  1199,    81
  1200,    81
  1201,    81
  1202,    81
  1203,    81
  1204,    81
  1205,    81
  1206,    81
  1207,    81
  1208,     1
  1209,    81
  1210,     1
  1211,    81
  1212,    81
  1213,     1
  1214,     1
  1215,     1
  1216,     1
  1217,    81
  1218,    81
  1219,    81
  1220,    81
  1221,    81
  1222,    81
  1223,    81
  1224,    81
  1225,    81
  1226,    81
  1227,    81
  1228,    81
  1229,    81
  1230,    81
  1231,     1
  1232,    81
  1233,    81
  1234,    81
  1235,    81
  1236,    81
  1237,    81
  1238,    81
  1239,    81
  1240,    81
  1241,    81
  1242,    81
  1243,    81
  1244,    81
  1245,    81
  1246,    81
  1247,     1
  1248,    81
  1249,     1
  1250,     1
  1251,    81
  1252,    81
  1253,     1
  1254,     1
  1255,     1
  1256,     1
  1257,     1
  1258,     1
  1259,    81
  1260,    81
  1261,    81
  1262,    81
  1263,    81
  1264,    81
  1265,    81
  1266,    81
  1267,    81
  1268,    81
  1269,    81
  1270,    81
  1271,    81
  1272,    81
  1273,    81
  1274,    81
  1275,    81
  1276,    81
  1277,    81
  1278,    81
  1279,    81
  1280,    81
  1281,    81
  1282,    81
  1283,    81
  1284,    81
  1285,     1
  1286,     1
  1287,     1
  1288,     1
  1289,    81
  1290,    81
  1291,    81
  1292,    81
  1293,    81
  1294,    81
  1295,     1
  1296,     1
  1297,     1
  1298,     1
  1299,     1
  1300,    81
  1301,    81
  1302,    81
  1303,    81
  1304,    81
  1305,    81
  1306,    81
  1307,    81
  1308,    81
  1309,    81
  1310,    81
  1311,    81
  1312,    81
  1313,    81
  1314,    81
  1315,    81
  1316,    81
  1317,    81
  1318,    81
  1319,    81
  1320,    81
  1321,    81
  1322,    81
  1323,    81
  1324,    81
  1325,     1
  1326,     1
  1327,     1
  1328,     1
  1329,     1
  1330,    81
  1331,     1
  1332,    81
  1333,     1
  1334,     1
  1335,     1
  1336,     1
  1337,     1
  1338,     1
  1339,     1
  1340,     1
  1341,     1
  1342,     1
  1343,     1
  1344,    80
  1345,    81
  1346,    81
  1347,    81
  1348,    81
  1349,    81
  1350,    81
  1351,    81
  1352,    81
  1353,    80
  1354,    81
  1355,    81
  1356,    81
  1357,    81
  1358,    81
  1359,    81
  1360,    81
  1361,    81
  1362,    81
  1363,    81
  1364,    81
  1365,    81
  1366,    81
  1367,    81
  1368,    81
  1369,    81
  1370,     1
  1371,     1
  1372,     1
  1373,     1
  1374,     1
  1375,     1
  1376,     1
  1377,    80
  1378,    80
  1379,    80
  1380,    80
  1381,     1
  1382,     1
  1383,     1
  1384,     1
  1385,     1
  1386,     1
  1387,    80
  1388,    81
  1389,    81
  1390,    81
  1391,    81
  1392,    81
  1393,    81
  1394,    81
  1395,    81
  1396,    81
  1397,    81
  1398,     1
  1399,    81
  1400,    80
  1401,    80
  1402,    80
  1403,    81
  1404,    81
  1405,    81
  1406,    81
  1407,    81
  1408,    81
  1409,    81
  1410,    81
  1411,    81
  1412,    81
  1413,    81
  1414,    81
  1415,     1
  1416,     1
  1417,     1
  1418,     1
  1419,     1
  1420,     1
  1421,    80
  1422,     1
  1423,     1
  1424,    80
  1425,    80
  1426,    80
  1427,    80
  1428,    80
  1429,     1
  1430,     1
  1431,     1
  1432,    81
  1433,    81
  1434,    81
  1435,    81
  1436,    81
  1437,    81
  1438,    81
  1439,    81
  1440,    81
  1441,    81
  1442,    80
  1443,    80
  1444,    80
  1445,    80
  1446,    80
  1447,    80
  1448,    81
  1449,    81
  1450,    81
  1451,    81
  1452,    81
  1453,    81
  1454,    81
  1455,    81
  1456,    81
  1457,    81
  1458,    81
  1459,    81
  1460,    81
  1461,     1
  1462,     1
  1463,     1
  1464,    80
  1465,     1
  1466,     1
  1467,     1
  1468,    80
  1469,    80
  1470,     1
  1471,    80
  1472,    80
  1473,    80
  1474,    80
  1475,    80
  1476,    80
  1477,    80
  1478,    80
  1479,    81
  1480,    81
  1481,    81
  1482,    81
  1483,    81
  1484,    81
  1485,    81
  1486,    81
  1487,    81
  1488,     1
  1489,    81
  1490,    80
  1491,    80
  1492,    80
  1493,     1
  1494,    80
  1495,    80
  1496,    80
  1497,    80
  1498,    80
  1499,    81
  1500,    81
  1501,    81
  1502,    81
  1503,    81
  1504,    81
  1505,    81
  1506,    81
  1507,    81
  1508,    81
  1509,    81
  1510,    81
  1511,    81
  1512,     1
  1513,     1
  1514,    80
  1515,     1
  1516,    80
  1517,     1
  1518,     1
  1519,    80
  1520,     1
  1521,     1
  1522,    80
  1523,    80
  1524,    80
  1525,    80
  1526,    80
  1527,    80
  1528,    80
  1529,    80
  1530,    80
  1531,    80
  1532,    80
  1533,    80
  1534,    80
  1535,    81
  1536,    81
  1537,    81
  1538,    81
  1539,    81
  1540,    81
  1541,    81
  1542,    81
  1543,    81
  1544,    81
  1545,    81
  1546,     1
  1547,    81
  1548,     1
  1549,     1
  1550,     1
  1551,     1
  1552,    61
  1553,    80
  1554,    80
  1555,    80
  1556,    80
  1557,    80
  1558,    61
  1559,    61
  1560,    81
  1561,    81
  1562,    81
  1563,    81
  1564,    81
  1565,    81
  1566,    81
  1567,    81
  1568,    81
  1569,    81
  1570,    81
  1571,     1
  1572,     1
  1573,     1
  1574,    80
  1575,    80
  1576,     1
  1577,    80
  1578,    80
  1579,     1
  1580,     1
  1581,     1
  1582,    80
  1583,    80
  1584,    80
  1585,    80
  1586,    80
  1587,    80
  1588,    80
  1589,    80
  1590,    80
  1591,    80
  1592,    80
  1593,    80
  1594,    80
  1595,    80
  1596,    81
  1597,    81
  1598,    81
  1599,    81
  1600,    81
  1601,    81
  1602,    81
  1603,    81
  1604,     1
  1605,    81
  1606,     1
  1607,     1
  1608,     1
  1609,     1
  1610,    61
  1611,    61
  1612,     1
  1613,    80
  1614,    80
  1615,    80
  1616,    61
  1617,    80
  1618,    80
  1619,    61
  1620,    81
  1621,    81
  1622,    81
  1623,    81
  1624,    81
  1625,     1
  1626,    81
  1627,     1
  1628,    81
  1629,    81
  1630,     1
  1631,    81
  1632,    81
  1633,     1
  1634,     1
  1635,     1
  1636,    80
  1637,     1
  1638,    61
  1639,    61
  1640,    80
  1641,    80
  1642,    80
  1643,    70
  1644,    61
  1645,    61
  1646,    61
  1647,    61
  1648,    80
  1649,    61
  1650,    80
  1651,    80
  1652,    80
  1653,    80
  1654,    80
  1655,    80
  1656,    80
  1657,    80
  1658,    80
  1659,    80
  1660,    61
  1661,    80
  1662,    80
  1663,    80
  1664,    81
  1665,    81
  1666,    81
  1667,    81
  1668,    81
  1669,    81
  1670,    81
  1671,    81
  1672,    70
  1673,    81
  1674,     1
  1675,    81
  1676,     1
  1677,    70
  1678,     1
  1679,    70
  1680,    61
  1681,     1
  1682,    61
  1683,    80
  1684,     1
  1685,    61
  1686,    61
  1687,    80
  1688,    80
  1689,    80
  1690,    61
  1691,     1
  1692,    81
  1693,    81
  1694,     1
  1695,     1
  1696,     1
  1697,     1
  1698,     1
  1699,     1
  1700,     1
  1701,     1
  1702,     1
  1703,     1
  1704,     1
  1705,     1
  1706,     1
  1707,     1
  1708,     1
  1709,    70
  1710,    70
  1711,    80
  1712,    80
  1713,    80
  1714,    70
  1715,    80
  1716,    61
  1717,    61
  1718,    70
  1719,    61
  1720,    80
  1721,    80
  1722,    80
  1723,    80
  1724,    80
  1725,    80
  1726,    80
  1727,    80
  1728,    80
  1729,    80
  1730,    61
  1731,     1
  1732,    61
  1733,     1
  1734,     1
  1735,    61
  1736,    81
  1737,    81
  1738,    81
  1739,     1
