Dates,E-coli,Enterococci,Flow volume,Oil and grease,Surfactants (MBAS),Total Dissolved Solids,Total Nitrogen,Total Phosphorus,Total Suspended Solids,pH,
736695.0000, NaN, NaN,2209.4300, NaN, NaN, NaN,15.0000,8.6000, NaN, NaN,
736726.0000,13000.0000, NaN,3442.0300,0.0000, NaN,680.0000,16.0000,8.7000,10.0000,7.8400,
736754.0000, NaN, NaN,3376.5500, NaN, NaN, NaN,22.0000,7.7000, NaN, NaN,
736785.0000, NaN, NaN,3547.1300, NaN, NaN, NaN,19.0000,7.6000, NaN, NaN,
736815.0000, NaN, NaN,3253.5000, NaN, NaN, NaN,17.0000,8.8000, NaN, NaN,
736846.0000, NaN, NaN,3485.4500, NaN, NaN, NaN,18.0000,9.5000, NaN, NaN,
736876.0000, NaN, NaN,3448.8200, NaN, NaN, NaN,16.0000,6.5000, NaN, NaN,
736907.0000,6900.0000, NaN,3663.1600,0.0000, NaN, NaN,20.0000,7.9000,20.0000,7.5600,
736938.0000, NaN, NaN,3902.9300, NaN, NaN, NaN,16.0000,5.9000, NaN, NaN,
736968.0000, NaN, NaN,3124.6800, NaN, NaN, NaN,16.0000,8.3000, NaN, NaN,
736999.0000, NaN, NaN,1538.5300, NaN, NaN, NaN,17.0000,8.4000, NaN, NaN,
737029.0000, NaN, NaN,2533.2300, NaN, NaN, NaN,15.0000,6.5000, NaN, NaN,
737060.0000, NaN, NaN,5892.1900, NaN, NaN, NaN,18.0000,8.2000, NaN, NaN,
737091.0000,13000.0000, NaN,3944.7500,0.0000, NaN, NaN,15.0000,8.9000,10.0000,7.5700,
737119.0000, NaN, NaN,3562.6100, NaN, NaN, NaN,13.0000,7.8000, NaN, NaN,
737150.0000, NaN, NaN,3892.5700, NaN, NaN, NaN,12.0000,5.2000, NaN, NaN,
737180.0000, NaN, NaN,3708.1700, NaN, NaN, NaN,13.0000,5.1000, NaN, NaN,
737211.0000, NaN, NaN,3863.6000, NaN, NaN, NaN,12.0000,7.0000, NaN, NaN,
737241.0000, NaN, NaN,3858.7600, NaN, NaN, NaN,16.0000,7.4000, NaN, NaN,
737272.0000,17000.0000, NaN,2934.0100,5.0000, NaN, NaN,14.0000,7.0000,15.0000,7.6200,
737303.0000, NaN, NaN,3038.5600,2.5000, NaN, NaN,12.0000,8.0000, NaN, NaN,
737333.0000, NaN, NaN,2641.4000, NaN, NaN, NaN,13.0000,7.8000, NaN, NaN,
737364.0000, NaN, NaN,3636.0900, NaN, NaN, NaN,13.0000,6.4000, NaN, NaN,
737394.0000, NaN, NaN,3463.6100, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
737425.0000, NaN, NaN,3494.2400, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
737456.0000,24000.0000, NaN,3409.1100,5.0000, NaN, NaN,17.0000,7.8000,60.0000,7.8100,
737484.0000, NaN, NaN,3196.2000, NaN, NaN, NaN,13.0000,6.6000, NaN, NaN,
737515.0000, NaN, NaN,3491.3800, NaN, NaN, NaN,12.0000,7.3000, NaN, NaN,
737545.0000, NaN, NaN,3121.1000, NaN, NaN, NaN,14.0000,7.9000, NaN, NaN,
737576.0000, NaN, NaN,2973.2300, NaN, NaN, NaN,16.0000,6.9000, NaN, NaN,
737606.0000, NaN, NaN,3455.7700, NaN, NaN, NaN,19.0000,9.4000, NaN, NaN,
737637.0000,9200.0000, NaN,2804.6000,2.5000, NaN, NaN,17.0000,8.5000,15.0000,7.3500,
737668.0000, NaN, NaN,2656.2000,2.5000, NaN, NaN,14.0000,7.2000, NaN, NaN,
737698.0000, NaN, NaN,3019.9600, NaN, NaN, NaN,12.0000,7.1000, NaN, NaN,
737729.0000, NaN, NaN,2284.3400, NaN, NaN, NaN,15.0000,7.3000, NaN, NaN,
737759.0000, NaN, NaN,2343.3200, NaN, NaN, NaN,18.0000,8.3000, NaN, NaN,
737790.0000, NaN, NaN,2490.3500, NaN, NaN, NaN,15.0000,8.0000, NaN, NaN,
737821.0000,1900.0000, NaN,2401.2600,2.5000, NaN, NaN,24.0000,9.9000,10.0000,7.4600,
737850.0000, NaN, NaN,2122.4600, NaN, NaN, NaN,17.0000,7.7000, NaN, NaN,
737881.0000, NaN, NaN,2291.6300, NaN, NaN, NaN,14.0000,5.8000, NaN, NaN,
737911.0000, NaN, NaN,2129.5500, NaN, NaN, NaN,15.0000,7.3000, NaN, NaN,
737942.0000, NaN, NaN,2408.7600, NaN, NaN, NaN,15.0000,7.6000, NaN, NaN,
737972.0000, NaN, NaN,2284.7800, NaN, NaN, NaN,13.0000,6.6000, NaN, NaN,
738003.0000,1900.0000, NaN,2401.0100,5.0000, NaN, NaN,15.0000,6.8000,15.0000,7.5400,
738034.0000, NaN, NaN,2489.1000,5.0000, NaN, NaN,18.0000,8.4000, NaN, NaN,
738064.0000, NaN, NaN,2385.0100,5.0000, NaN, NaN,16.0000,6.4000, NaN, NaN,
738095.0000, NaN, NaN,2496.8400,5.0000, NaN, NaN,16.0000,6.2000, NaN, NaN,
738125.0000, NaN, NaN,2169.5000,5.0000, NaN, NaN,15.0000,7.2000, NaN, NaN,
738156.0000, NaN, NaN,2250.7600,30.0000, NaN, NaN,20.0000,7.2000, NaN, NaN,
738187.0000,6900.0000, NaN,2205.7400,6.0000, NaN, NaN,20.0000,7.7000,10.0000,7.6100,
738215.0000, NaN, NaN,2105.5600,5.0000, NaN, NaN,24.0000,7.4000, NaN, NaN,
738246.0000, NaN, NaN,1714.8600,14.0000, NaN, NaN,20.0000,7.4000, NaN, NaN,
738276.0000, NaN, NaN,2122.6800,5.0000, NaN, NaN,20.0000,7.2000, NaN, NaN,
738307.0000, NaN, NaN,2312.8300,5.0000, NaN, NaN,22.0000,6.9000, NaN, NaN,
738337.0000, NaN, NaN,2665.4400,5.0000, NaN, NaN,18.0000,9.8000, NaN, NaN,
