Dates,E-coli,Enterococci,Flow volume,Oil and grease,Surfactants (MBAS),Total Dissolved Solids,Total Nitrogen,Total Phosphorus,Total Suspended Solids,pH,
735995.0000,24000.0000, NaN,1799.0000,0.0000, NaN,660.0000,11.0000,5.0000,10.0000,7.7200,
736023.0000, NaN, NaN,1738.0000, NaN, NaN,680.0000,14.0000,9.8000,17.3200,7.1700,
736054.0000, NaN, NaN,1790.0000, NaN, NaN,756.0000,13.0000,8.9000,12.9400,7.0700,
736084.0000,0.0000, NaN,1775.0000, NaN, NaN,795.0000,13.0000,6.5000,71.3300,7.0700,
736115.0000, NaN, NaN,1885.0000, NaN, NaN,745.0000,12.0000,5.8000,16.0300,7.1200,
736145.0000, NaN, NaN,1703.0000, NaN, NaN,540.0000,11.0000,8.5000,17.3900,7.1300,
736176.0000,16000.0000, NaN,1758.3100, NaN, NaN,570.0000,13.0000,7.4000,15.0000,7.5500,
736207.0000, NaN, NaN,1863.9500, NaN, NaN, NaN,13.0000,5.3000,23.0300,7.6100,
736237.0000, NaN, NaN,1753.3200, NaN, NaN, NaN,11.0000,5.7000,20.3300,7.6500,
736268.0000,0.0000, NaN,1776.5200, NaN, NaN, NaN,11.0000,5.2000,98.7600,7.6300,
736298.0000, NaN, NaN,1662.1700, NaN, NaN, NaN,12.0000,7.0000,22.5300,7.6600,
736329.0000, NaN, NaN,1530.9200, NaN, NaN, NaN,14.0000,3.1000,21.5800,7.8100,
736360.0000,24000.0000, NaN,2202.9300, NaN, NaN,720.0000,13.0000,6.6000,10.0000,7.8400,
736389.0000, NaN, NaN,1633.0700, NaN, NaN, NaN,16.0000,12.0000,35.0000,7.5200,
736420.0000, NaN, NaN,1551.3200,0.0000, NaN, NaN,12.0000,6.1000,18.0000,7.6100,
736450.0000,24000.0000, NaN,1751.5500, NaN, NaN, NaN,15.0000,8.5000,36.0000,7.6700,
736481.0000, NaN, NaN,1572.9600, NaN, NaN, NaN,13.0000,6.3000,17.0000,7.6500,
736511.0000, NaN, NaN,1678.7700, NaN, NaN, NaN,8.7000,3.2000,27.0000,7.5600,
736542.0000,16000.0000, NaN,1541.3000, NaN, NaN,460.0000,13.0000,6.8000,15.0000,7.6300,
736573.0000, NaN, NaN,1601.8300,5.0000, NaN, NaN,12.0000,5.5000,23.0000,7.5100,
