Date,Q,Salt,Temp,TSS,DO,AMM,NIT,FRP,FRPADS,POC,DOC,PON,DON,POP,DOP,GRN,BGA,CRYPT,MDIAT,DINO,ZEROS,ONES
31/01/2015,3.5172,35,20,15.0000,220,228.5714,1714.2857,42.7419,4.2742,2.266978,22.669784,228.5714,114.2857,38.4677,85.4839,0,0,0,0,0,0,1
28/02/2015,3.3030,35,20,17.7000,220,192.8571,1446.4286,33.8710,3.3871,2.266978,22.669784,192.8571,96.4286,30.4839,67.7419,0,0,0,0,0,0,1
31/03/2015,3.8771,35,20,15.1000,220,114.2857,857.1429,28.2258,2.8226,2.266978,22.669784,114.2857,57.1429,25.4032,56.4516,0,0,0,0,0,0,1
30/04/2015,3.7999,35,20,13.7000,220,192.8571,1446.4286,55.6452,5.5645,2.266978,22.669784,192.8571,96.4286,50.0806,111.2903,0,0,0,0,0,0,1
31/05/2015,4.0615,35,20,13.0000,220,24.2857,182.1429,30.6452,3.0645,2.266978,22.669784,24.2857,12.1429,27.5806,61.2903,0,0,0,0,0,0,1
30/06/2015,3.9088,35,20,14.2000,220,25.0000,187.5000,25.0000,2.5000,2.266978,22.669784,25.0000,12.5000,22.5000,50.0000,0,0,0,0,0,0,1
31/07/2015,3.9379,35,20,5.0000,220,31.4286,235.7143,30.6452,3.0645,2.266978,22.669784,31.4286,15.7143,27.5806,61.2903,0,0,0,0,0,0,1
31/08/2015,0.3963,35,20,17.4000,220,23.5714,176.7857,22.5806,2.2581,2.266978,22.669784,23.5714,11.7857,20.3226,45.1613,0,0,0,0,0,0,1
30/09/2015,3.7953,35,20,19.3000,220,42.1429,316.0714,21.7742,2.1774,2.266978,22.669784,42.1429,21.0714,19.5968,43.5484,0,0,0,0,0,0,1
31/10/2015,3.8808,35,20,16.8000,220,29.2857,219.6429,21.7742,2.1774,2.266978,22.669784,29.2857,14.6429,19.5968,43.5484,0,0,0,0,0,0,1
30/11/2015,3.8027,35,20,17.1000,220,26.4286,198.2143,21.7742,2.1774,2.266978,22.669784,26.4286,13.2143,19.5968,43.5484,0,0,0,0,0,0,1
31/12/2015,3.9093,35,20,16.6000,220,29.2857,219.6429,29.0323,2.9032,2.266978,22.669784,29.2857,14.6429,26.1290,58.0645,0,0,0,0,0,0,1
31/01/2016,3.8720,35,20,10.0000,220,30.0000,225.0000,24.1935,2.4194,2.266978,22.669784,30.0000,15.0000,21.7742,48.3871,0,0,0,0,0,0,1
29/02/2016,3.7134,35,20, NaN,220,23.5714,176.7857,27.4194,2.7419,2.266978,22.669784,23.5714,11.7857,24.6774,54.8387,0,0,0,0,0,0,1
31/03/2016,3.9633,35,20, NaN,220,15.7143,117.8571,24.1935,2.4194,2.266978,22.669784,15.7143,7.8571,21.7742,48.3871,0,0,0,0,0,0,1
30/04/2016,3.8531,35,20, NaN,220,142.8571,1071.4286,59.6774,5.9677,2.266978,22.669784,142.8571,71.4286,53.7097,119.3548,0,0,0,0,0,0,1
31/05/2016,4.1202,35,20, NaN,220,40.0000,300.0000,39.5161,3.9516,2.266978,22.669784,40.0000,20.0000,35.5645,79.0323,0,0,0,0,0,0,1
30/06/2016,3.8787,35,20, NaN,220,61.4286,460.7143,33.0645,3.3065,2.266978,22.669784,61.4286,30.7143,29.7581,66.1290,0,0,0,0,0,0,1
31/07/2016,4.1482,35,20,20.0000,220,57.8571,433.9286,25.8065,2.5806,2.266978,22.669784,57.8571,28.9286,23.2258,51.6129,0,0,0,0,0,0,1
31/08/2016,4.1792,35,20, NaN,220,50.7143,380.3571,20.1613,2.0161,2.266978,22.669784,50.7143,25.3571,18.1452,40.3226,0,0,0,0,0,0,1
30/09/2016,4.0079,35,20, NaN,220,35.0000,262.5000,41.1290,4.1129,2.266978,22.669784,35.0000,17.5000,37.0161,82.2581,0,0,0,0,0,0,1
31/10/2016,4.1110,35,20,40.0000,220,30.7143,230.3571,20.1613,2.0161,2.266978,22.669784,30.7143,15.3571,18.1452,40.3226,0,0,0,0,0,0,1
30/11/2016,3.9481,35,20, NaN,220,47.8571,358.9286,25.8065,2.5806,2.266978,22.669784,47.8571,23.9286,23.2258,51.6129,0,0,0,0,0,0,1
31/12/2016,4.0142,35,20, NaN,220,29.2857,219.6429,12.0968,1.2097,2.266978,22.669784,29.2857,14.6429,10.8871,24.1935,0,0,0,0,0,0,1
31/01/2017,4.0007,35,20,10.0000,220,33.5714,251.7857,19.3548,1.9355,2.266978,22.669784,33.5714,16.7857,17.4194,38.7097,0,0,0,0,0,0,1
28/02/2017,3.7955,35,20, NaN,220,39.2857,294.6429,24.1935,2.4194,2.266978,22.669784,39.2857,19.6429,21.7742,48.3871,0,0,0,0,0,0,1
31/03/2017,4.0549,35,20, NaN,220,28.5714,214.2857,16.1290,1.6129,2.266978,22.669784,28.5714,14.2857,14.5161,32.2581,0,0,0,0,0,0,1
