Dates,E-coli,Enterococci,Flow volume,Oil and grease,Surfactants (MBAS),Total Dissolved Solids,Total Nitrogen,Total Phosphorus,Total Suspended Solids,pH,
736542.0000,24000.0000, NaN,76.5220,0.0000, NaN, NaN,1.4000,7.9000,0.0000,7.8400,
736573.0000, NaN, NaN,84.5730, NaN, NaN, NaN,1.1000,5.4000,0.0000,7.9500,
736603.0000, NaN, NaN,79.2620, NaN, NaN, NaN,2.7000,8.4000,0.0000,7.8700,
736634.0000,5500.0000, NaN,84.6090,0.0000, NaN, NaN,1.1000,5.2000,0.0000,7.8700,
736664.0000, NaN, NaN,80.9350, NaN, NaN, NaN,1.0000,8.6000,0.0000,7.9200,
736695.0000, NaN, NaN,82.2860, NaN, NaN, NaN,1.1000,7.0000,0.0000,8.0400,
736726.0000,9800.0000, NaN,69.4140,5.0000, NaN, NaN,1.0000,4.6000,0.0000,7.9800,
736754.0000, NaN, NaN,71.8980, NaN, NaN, NaN,1.4000,7.0000,0.0000,7.8300,
736785.0000, NaN, NaN,80.9600, NaN, NaN, NaN,1.4000,5.8000,0.0000,7.9900,
736815.0000,20000.0000, NaN,75.4430,0.0000, NaN, NaN,1.5000,4.4000,0.0000,8.0100,
736846.0000, NaN, NaN,79.1580, NaN, NaN, NaN,2.3000,6.5000,5.0000,7.8800,
736876.0000, NaN, NaN,60.1450, NaN, NaN, NaN,17.0000,4.1000,5.0000,7.6900,
736907.0000,24000.0000, NaN,11.0860,0.0000, NaN, NaN,2.2000,6.7000,0.0000,7.7100,
736938.0000, NaN, NaN,87.4210, NaN, NaN, NaN,3.7000,9.0000,0.0000,7.7600,
736968.0000, NaN, NaN,84.3410, NaN, NaN, NaN,2.3000,6.4000,0.0000,7.7700,
736999.0000,1700.0000, NaN,86.0370,0.0000, NaN, NaN,3.2000,7.1000,0.0000,7.8300,
737029.0000, NaN, NaN,81.4840, NaN, NaN, NaN,1.9000,5.5000,0.0000,7.9100,
737060.0000, NaN, NaN,87.7020, NaN, NaN, NaN,3.2000,9.0000,0.0000,7.9400,
737091.0000,24000.0000, NaN,83.4740,6.0000, NaN, NaN,1.9000,9.9000,10.0000,7.8700,
737119.0000, NaN, NaN,72.2180, NaN, NaN, NaN,15.0000,11.0000,10.0000,7.0900,
737150.0000, NaN, NaN,87.7300, NaN, NaN, NaN,6.9000,6.5000,0.0000,7.5300,
737180.0000,24000.0000, NaN,83.9840,0.0000, NaN, NaN,3.5000,6.4000,5.0000,7.8900,
737211.0000, NaN, NaN,91.1880, NaN, NaN, NaN,6.6000,7.6000,0.0000,7.6900,
737241.0000, NaN, NaN,77.9900, NaN, NaN, NaN,1.6000,6.4000,0.0000,7.7900,
737272.0000,16000.0000, NaN,97.0830,5.0000, NaN, NaN,2.9000,1.7000,5.0000,7.7700,
737303.0000, NaN, NaN,90.5450, NaN, NaN, NaN,1.5000,0.5300,5.0000,7.7600,
737333.0000, NaN, NaN,93.5890, NaN, NaN, NaN,2.3000,6.6000,5.0000,7.7600,
737364.0000,1200.0000, NaN,93.6010,5.0000, NaN, NaN,2.0000,6.0000,5.0000,7.6800,
737394.0000, NaN, NaN,90.4500, NaN, NaN, NaN,2.0000,2.3000,5.0000,7.9700,
737425.0000, NaN, NaN,90.0550, NaN, NaN, NaN,4.4000,1.9000,5.0000,7.9100,
737456.0000,3900.0000, NaN,88.6600,5.0000, NaN, NaN,2.8000,6.7000,5.0000,8.1100,
737484.0000, NaN, NaN,82.2920, NaN, NaN, NaN,2.9000,4.3000,5.0000,7.8000,
737515.0000, NaN, NaN,91.5120, NaN, NaN, NaN,4.9000,9.3000,5.0000,8.0100,
737545.0000,2100.0000, NaN,89.5500,5.0000, NaN, NaN,3.8000,7.0000,5.0000,8.0200,
737576.0000, NaN, NaN,96.5960, NaN, NaN, NaN,7.0000,7.9000,5.0000,7.8100,
737606.0000, NaN, NaN,94.8440, NaN, NaN, NaN,3.4000,4.9000,5.0000,7.7200,
737637.0000,1400.0000, NaN,100.1300,2.5000, NaN, NaN,5.2000,5.8000,0.0000,7.6100,
737668.0000, NaN, NaN,89.0640, NaN, NaN, NaN,4.0000,5.3000,0.0000,7.7500,
737698.0000, NaN, NaN,90.8340, NaN, NaN, NaN,2.8000,5.1000,0.0000,7.6000,
737729.0000,17000.0000, NaN,89.8330,2.5000, NaN, NaN,2.7000,3.7000,5.0000,7.8200,
737759.0000, NaN, NaN,83.5890, NaN, NaN, NaN,7.1000,7.0000,5.0000,7.7700,
737790.0000, NaN, NaN,96.5550, NaN, NaN, NaN,6.1000,4.8000,0.0000,7.8200,
737821.0000,4400.0000, NaN,94.5840,2.5000, NaN, NaN,9.1000,8.5000,0.0000,7.7200,
737850.0000, NaN, NaN,82.4550, NaN, NaN, NaN,5.2000,7.9000,0.0000,7.8600,
737881.0000, NaN, NaN,93.6980, NaN, NaN, NaN,4.5000,4.8000,0.0000,7.8900,
737911.0000,990.0000, NaN,109.0720,7.0000, NaN, NaN,8.0000,13.0000,0.0000,7.6700,
737942.0000, NaN, NaN,100.0380, NaN, NaN, NaN,4.2000,5.7000,0.0000,7.7600,
737972.0000, NaN, NaN,100.3630, NaN, NaN, NaN,8.0000,5.3000,0.0000,7.7000,
738003.0000,17000.0000, NaN,121.2280,5.0000, NaN, NaN,6.4000,4.9000,5.0000,7.7100,
738034.0000, NaN, NaN,124.0240, NaN, NaN, NaN,5.3000,8.0000,5.0000,7.8000,
738064.0000, NaN, NaN,116.1910, NaN, NaN, NaN,2.7000,6.4000,5.0000,7.7300,
738095.0000,24000.0000, NaN,121.3110,6.0000, NaN, NaN,2.2000,3.1000,5.0000,7.9700,
738125.0000, NaN, NaN,115.0620, NaN, NaN, NaN,2.6000,5.5000,5.0000,7.8200,
738156.0000, NaN, NaN,119.5650, NaN, NaN, NaN,6.2000,6.1000,5.0000,8.0400,
738187.0000,16000.0000, NaN,114.9420,5.0000, NaN, NaN,4.3000,7.7000,5.0000,8.0100,
738215.0000, NaN, NaN,108.8120, NaN, NaN, NaN,10.0000,11.0000,5.0000,7.5100,
738246.0000, NaN, NaN,112.6430, NaN, NaN, NaN,9.5000,7.2000,5.0000,7.6000,
738276.0000,8200.0000, NaN,117.8940,5.0000, NaN, NaN,4.8000,7.8000,5.0000,7.6100,
738307.0000, NaN, NaN,115.4800, NaN, NaN, NaN,4.8000,6.8000,5.0000,7.7100,
738337.0000, NaN, NaN,116.7030, NaN, NaN, NaN,4.2000,7.3000,5.0000,7.3300,
