Dates,E-coli,Enterococci,Flow volume,Oil and grease,Surfactants (MBAS),Total Dissolved Solids,Total Nitrogen,Total Phosphorus,Total Suspended Solids,pH,
735995.0000,24000.0000,6100.0000,4071.2100,6.0000,0.5100,630.0000,14.0000,5.4000,30.0000,7.5600,
736023.0000, NaN, NaN,3791.8100, NaN, NaN, NaN,14.0000,4.2000,10.0000,7.5400,
736054.0000, NaN, NaN,4278.8400, NaN, NaN, NaN,15.0000,3.8000,15.0000,7.6500,
736084.0000,24000.0000,8200.0000,4114.6300,8.0000,2.5000, NaN,9.6000,4.0000,5.0000,7.6700,
736115.0000, NaN,5313.0000,4422.5500, NaN, NaN, NaN,15.0000,5.4000,25.0000,7.3000,
736145.0000, NaN, NaN,4348.3100, NaN, NaN, NaN,21.0000,7.9000,120.0000,7.3000,
736176.0000,24000.0000,2100.0000,4495.2300,0.0000,1.5000, NaN,15.0000,3.9000,5.0000,7.1900,
736207.0000, NaN, NaN,4696.4200, NaN, NaN, NaN,20.0000,8.4000,120.0000,7.4100,
736237.0000, NaN, NaN,4435.6300, NaN, NaN, NaN,22.0000,8.2000,161.0000,7.2800,
736268.0000,0.0000,1600.0000,4429.5400,0.0000,1.4000, NaN,18.0000,6.8000,0.0000,7.3900,
736298.0000, NaN, NaN,4281.1600, NaN, NaN, NaN,16.0000,4.6000,10.0000,7.5400,
736329.0000, NaN, NaN,4253.0200, NaN, NaN, NaN,15.0000,5.4000,45.0000,7.4900,
736360.0000,24000.0000,7300.0000,4296.7700,0.0000, NaN, NaN,13.0000,5.3000,10.0000,7.4600,
736389.0000, NaN, NaN,4018.4400, NaN, NaN, NaN,10.0000,2.0000,5.0000,7.4300,
736420.0000, NaN, NaN,4389.2000, NaN, NaN, NaN,22.0000,6.8000,90.0000,7.4200,
736450.0000,24000.0000,24000.0000,4297.1200,0.0000, NaN, NaN,19.0000,5.2000,65.0000,7.5500,
736481.0000,24000.0000, NaN,4613.8000, NaN, NaN,500.0000,19.0000,5.1000,55.0000,7.4400,
736511.0000,24000.0000, NaN,4435.5000, NaN, NaN,520.0000,21.0000,5.7000,110.0000,7.3700,
736542.0000,24000.0000, NaN,4552.3400, NaN, NaN,450.0000,18.0000,2.4000,10.0000,7.5700,
736573.0000,24000.0000, NaN,4496.2200, NaN, NaN,520.0000,17.0000,6.0000,25.0000,7.4600,
736603.0000,24000.0000, NaN,3817.8400, NaN, NaN,520.0000,16.0000,2.6000,15.0000,7.4700,
736634.0000,24000.0000, NaN,4097.3700, NaN, NaN,540.0000,17.0000,3.8000,0.0000,7.4500,
736664.0000,24000.0000, NaN,4458.6600, NaN, NaN,530.0000,13.0000,4.0000,5.0000,7.6700,
736695.0000,24000.0000, NaN,4372.8200, NaN, NaN,570.0000,15.0000,4.7000,5.0000,7.5600,
736726.0000,24000.0000, NaN,4276.1000, NaN, NaN,610.0000,10.0000,5.1000,10.0000,7.7100,
736754.0000,24000.0000, NaN,4272.6100, NaN, NaN,560.0000,14.0000,5.4000,20.0000,7.5600,
736785.0000,24000.0000, NaN,4625.9300, NaN, NaN,530.0000,14.0000,2.5000,5.0000,7.5100,
736815.0000,24000.0000, NaN,4282.0500, NaN, NaN,590.0000,8.9000,2.8000,15.0000,7.6700,
736846.0000,17000.0000, NaN,4563.6000, NaN, NaN,570.0000,14.0000,3.6000,15.0000,7.6300,
736876.0000,20000.0000, NaN,4434.1300, NaN, NaN,510.0000,13.0000,2.0000,15.0000,7.5900,
736907.0000,16000.0000, NaN,4684.9900, NaN, NaN,540.0000,30.0000,4.1000,35.0000,7.5900,
736938.0000,24000.0000, NaN,5190.9800, NaN, NaN,530.0000,16.0000,6.4000,100.0000,7.5400,
736968.0000,16000.0000, NaN,4773.4200, NaN, NaN,740.0000,14.0000,2.4000,50.0000,7.4900,
736999.0000,24000.0000, NaN,4814.7200, NaN, NaN,630.0000,11.0000,0.7900,10.0000,7.6200,
737029.0000,24000.0000, NaN,4480.4300, NaN, NaN,650.0000,20.0000,5.7000,80.0000,7.7200,
737060.0000,24000.0000, NaN,4446.2200, NaN, NaN,620.0000,13.0000,2.4000,25.0000,7.8000,
737091.0000,24000.0000, NaN,4509.0000, NaN, NaN,680.0000,15.0000,3.7000,15.0000,7.6700,
737119.0000,24000.0000, NaN,4140.1800, NaN, NaN,650.0000,42.0000,14.0000,240.0000,7.7000,
737150.0000,24000.0000, NaN,4428.5400, NaN, NaN,610.0000,65.0000,10.0000,200.0000,7.7100,
737180.0000,24000.0000, NaN,4282.7900, NaN, NaN,610.0000,60.0000,7.8000,75.0000,7.7200,
737211.0000,24000.0000, NaN,3066.6800, NaN, NaN,590.0000,75.0000,10.0000,90.0000,7.5800,
737241.0000,18000.0000, NaN,4468.1500, NaN, NaN,660.0000,22.0000,7.3000,15.0000,7.5700,
737272.0000,5200.0000, NaN,5466.9700, NaN, NaN,615.0000,14.3000,5.2000,15.0000,7.5200,
737303.0000,24000.0000, NaN,5841.2400, NaN, NaN,560.0000,8.8000,6.9000,15.0000,7.3600,
737333.0000,24000.0000, NaN,5232.0800, NaN, NaN,590.0000,37.0000,7.3000,5.0000,7.7400,
737364.0000,16000.0000, NaN,5096.4600, NaN, NaN,520.0000,24.0000,7.8000,94.0000,7.5300,
