Dates,E-coli,Enterococci,Flow volume,Oil and grease,Surfactants (MBAS),Total Dissolved Solids,Total Nitrogen,Total Phosphorus,Total Suspended Solids,pH,
737456.0000,2400.0000, NaN,360.2810,5.0000, NaN, NaN,4.4000,1.1000,5.0000,8.2200,
737484.0000, NaN, NaN,343.5090, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
737515.0000, NaN, NaN,372.6290, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
737545.0000, NaN, NaN,356.0370, NaN, NaN, NaN,3.0000,0.9700, NaN, NaN,
737576.0000, NaN, NaN,372.8470, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
737606.0000, NaN, NaN,340.2860, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
737637.0000,24000.0000, NaN,375.5540,2.5000, NaN, NaN,7.8000,1.6000,20.0000,8.1200,
737668.0000, NaN, NaN,378.2270, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
737698.0000, NaN, NaN,364.1760, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
737729.0000,19000.0000, NaN,367.3170, NaN, NaN, NaN,8.6000,1.7000, NaN, NaN,
737759.0000,20000.0000, NaN,358.0290, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
737790.0000,10550.0000, NaN,371.5380, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
737821.0000,24000.0000, NaN,368.9490,2.5000, NaN, NaN,10.0000,1.6000,10.0000,8.2300,
737850.0000, NaN, NaN,356.6530, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
737881.0000, NaN, NaN,383.0100, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
737911.0000, NaN, NaN,374.8290, NaN, NaN, NaN,6.4000,2.3000, NaN, NaN,
737942.0000, NaN, NaN,400.0620, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
737972.0000, NaN, NaN,385.5500, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
738003.0000,4600.0000, NaN,391.4800,5.0000, NaN, NaN,5.5000,1.4000,5.0000,8.0000,
738034.0000, NaN, NaN,398.7780, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
738064.0000, NaN, NaN,379.8670, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
738095.0000, NaN, NaN,389.0450, NaN, NaN, NaN,6.7000,1.1000, NaN, NaN,
738125.0000, NaN, NaN,379.0260, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
738156.0000, NaN, NaN,392.4230, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
738187.0000,8700.0000, NaN,388.5040,5.0000, NaN, NaN,6.7000,1.9000,5.0000,8.3300,
738215.0000, NaN, NaN,358.7640, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
738246.0000, NaN, NaN,392.6540, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
738276.0000, NaN, NaN,377.6450, NaN, NaN, NaN,12.0000,4.4000, NaN, NaN,
738307.0000, NaN, NaN,407.1030, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
738337.0000, NaN, NaN,397.1250, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
