Dates,E-coli,Enterococci,Flow volume,Oil and grease,Surfactants (MBAS),Total Dissolved Solids,Total Nitrogen,Total Phosphorus,Total Suspended Solids,pH,
735995.0000,24000.0000, NaN,303.8820,0.0000,0.4600, NaN,32.0000,5.3000,15.0000,8.0000,
736023.0000, NaN, NaN,285.3800, NaN, NaN, NaN,27.0000,4.2000,17.7000,7.6100,
736054.0000, NaN, NaN,334.9800, NaN, NaN, NaN,16.0000,3.5000,15.1000,7.6800,
736084.0000, NaN, NaN,328.3100, NaN,0.4900, NaN,27.0000,6.9000,13.7000,7.5200,
736115.0000, NaN, NaN,350.9100, NaN, NaN, NaN,3.4000,3.8000,13.0000,7.6500,
736145.0000, NaN, NaN,337.7200, NaN, NaN, NaN,3.5000,3.1000,14.2000,7.8600,
736176.0000,0.0000, NaN,340.2360,0.0000,0.6600, NaN,4.4000,3.8000,5.0000,7.8700,
736207.0000, NaN, NaN,34.2420, NaN, NaN, NaN,3.3000,2.8000,17.4000,7.7600,
736237.0000, NaN, NaN,327.9180, NaN, NaN, NaN,5.9000,2.7000,19.3000,7.6600,
736268.0000, NaN, NaN,335.3040, NaN,0.5700, NaN,4.1000,2.7000,16.8000,7.8200,
736298.0000, NaN, NaN,328.5530, NaN, NaN, NaN,3.7000,2.7000,17.1000,7.7200,
736329.0000, NaN, NaN,337.7630, NaN,0.4900, NaN,4.1000,3.6000,16.6000,7.9000,
736360.0000,24000.0000, NaN,334.5420,0.0000, NaN, NaN,4.2000,3.0000,10.0000,7.9400,
736389.0000, NaN, NaN,320.8350, NaN, NaN, NaN,3.3000,3.4000, NaN, NaN,
736420.0000, NaN, NaN,342.4330, NaN, NaN, NaN,2.2000,3.0000, NaN, NaN,
736450.0000, NaN, NaN,332.9060, NaN, NaN, NaN,20.0000,7.4000, NaN, NaN,
736481.0000, NaN, NaN,355.9870, NaN, NaN, NaN,5.6000,4.9000, NaN, NaN,
736511.0000, NaN, NaN,335.1220, NaN, NaN, NaN,8.6000,4.1000, NaN, NaN,
736542.0000,24000.0000, NaN,358.4030,0.0000, NaN, NaN,8.1000,3.2000,20.0000,8.1100,
736573.0000, NaN, NaN,361.0820, NaN, NaN, NaN,7.1000,2.5000, NaN, NaN,
736603.0000, NaN, NaN,346.2790, NaN, NaN, NaN,4.9000,5.1000, NaN, NaN,
736634.0000, NaN, NaN,355.1900, NaN, NaN, NaN,4.3000,2.5000,40.0000, NaN,
736664.0000, NaN, NaN,341.1160, NaN, NaN, NaN,6.7000,3.2000, NaN, NaN,
736695.0000, NaN, NaN,346.8230, NaN, NaN, NaN,4.1000,1.5000, NaN, NaN,
736726.0000,24000.0000, NaN,345.6630,0.0000, NaN, NaN,4.7000,2.4000,10.0000,8.2900,
736754.0000, NaN, NaN,327.9300, NaN, NaN, NaN,5.5000,3.0000, NaN, NaN,
736785.0000, NaN, NaN,350.3460, NaN, NaN, NaN,4.0000,2.0000, NaN, NaN,
736815.0000, NaN, NaN,337.7430, NaN, NaN, NaN,2.5000,1.4000, NaN, NaN,
736846.0000, NaN, NaN,355.8980, NaN, NaN, NaN,2.9000,1.6000, NaN, NaN,
736876.0000, NaN, NaN,343.9150, NaN, NaN, NaN,3.3000,2.0000, NaN, NaN,
736907.0000,10000.0000, NaN,361.2670,0.0000, NaN, NaN,3.3000,1.4000,15.0000,8.0300,
736938.0000, NaN, NaN,363.8110, NaN, NaN, NaN,3.1000,1.3000, NaN, NaN,
736968.0000, NaN, NaN,347.1900, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
736999.0000, NaN, NaN,356.9480, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
737029.0000, NaN, NaN,332.2860, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
737060.0000, NaN, NaN,335.9800, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
737091.0000,24000.0000, NaN,351.4420,0.0000, NaN, NaN,5.4000,1.6000,10.0000,8.2200,
737119.0000, NaN, NaN,324.5010, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
737150.0000, NaN, NaN,357.0510, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
737180.0000, NaN, NaN,342.6600, NaN, NaN, NaN,7.2000,1.4000, NaN, NaN,
737211.0000, NaN, NaN,357.0440, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
737241.0000, NaN, NaN,356.9290, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
737272.0000,8700.0000, NaN,368.1000,5.0000, NaN, NaN,4.5000,2.3000,10.0000,8.0900,
737303.0000, NaN, NaN,377.5300, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
737333.0000, NaN, NaN,355.8960, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
737364.0000,19000.0000, NaN,365.3410, NaN, NaN, NaN,6.0000,1.8000, NaN, NaN,
737394.0000,20000.0000, NaN,356.4400, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
737425.0000,10550.0000, NaN,365.9510, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
